date,open,close,expected_bars,actual_bars,ok
2024-08-22,09:30,16:00,390,390,True
2024-08-23,09:30,16:00,390,390,True
2024-08-26,09:30,16:00,390,390,True
2024-08-27,09:30,16:00,390,390,True
2024-08-28,09:30,16:00,390,390,True
2024-08-29,09:30,16:00,390,390,True
2024-08-30,09:30,16:00,390,390,True
2024-09-03,09:30,16:00,390,390,True
2024-09-04,09:30,16:00,390,390,True
2024-09-05,09:30,16:00,390,390,True
2024-09-06,09:30,16:00,390,390,True
2024-09-09,09:30,16:00,390,390,True
2024-09-10,09:30,16:00,390,390,True
2024-09-11,09:30,16:00,390,390,True
2024-09-12,09:30,16:00,390,390,True
2024-09-13,09:30,16:00,390,390,True
2024-09-16,09:30,16:00,390,390,True
2024-09-17,09:30,16:00,390,390,True
2024-09-18,09:30,16:00,390,390,True
2024-09-19,09:30,16:00,390,390,True
2024-09-20,09:30,16:00,390,390,True
2024-09-23,09:30,16:00,390,390,True
2024-09-24,09:30,16:00,390,390,True
2024-09-25,09:30,16:00,390,390,True
2024-09-26,09:30,16:00,390,390,True
2024-09-27,09:30,16:00,390,390,True
2024-09-30,09:30,16:00,390,390,True
2024-10-01,09:30,16:00,390,390,True
2024-10-02,09:30,16:00,390,390,True
2024-10-03,09:30,16:00,390,390,True
2024-10-04,09:30,16:00,390,390,True
2024-10-07,09:30,16:00,390,390,True
2024-10-08,09:30,16:00,390,390,True
2024-10-09,09:30,16:00,390,390,True
2024-10-10,09:30,16:00,390,390,True
2024-10-11,09:30,16:00,390,390,True
2024-10-14,09:30,16:00,390,390,True
2024-10-15,09:30,16:00,390,390,True
2024-10-16,09:30,16:00,390,390,True
2024-10-17,09:30,16:00,390,390,True
2024-10-18,09:30,16:00,390,390,True
2024-10-21,09:30,16:00,390,390,True
2024-10-22,09:30,16:00,390,390,True
2024-10-23,09:30,16:00,390,390,True
2024-10-24,09:30,16:00,390,390,True
2024-10-25,09:30,16:00,390,390,True
2024-10-28,09:30,16:00,390,390,True
2024-10-29,09:30,16:00,390,390,True
2024-10-30,09:30,16:00,390,390,True
2024-10-31,09:30,16:00,390,390,True
2024-11-01,09:30,16:00,390,390,True
2024-11-04,09:30,16:00,390,390,True
2024-11-05,09:30,16:00,390,390,True
2024-11-06,09:30,16:00,390,390,True
2024-11-07,09:30,16:00,390,390,True
2024-11-08,09:30,16:00,390,390,True
2024-11-11,09:30,16:00,390,390,True
2024-11-12,09:30,16:00,390,390,True
