z_entry,reversal_delta,initial_capital,final_equity,total_pnl,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,max_drawdown_usd,total_trades,win_rate_pct,profit_factor,avg_trade_pnl,avg_win_pnl,avg_loss_pnl,win_loss_ratio,avg_duration_mins,total_commissions,total_slippage,exit_reasons_breakdown
2.75,0.05,100000.0,95027.79395096068,-4972.20604903932,-4.97220604903932,-6.22397590229723,-2.116553880521432,-2.5087886753966915,5.46074509919934,5460.745099199339,553,49.90958408679928,0.7595202899354982,-8.991331010921476,56.898520789493595,-74.64331331025203,0.7622721750439602,19.962025316455698,613.7460000000001,4411.6202490394935,"{'TAKE_PROFIT': 502, 'FORCED_EOD': 51}"
2.75,0.15,100000.0,94954.42407540066,-5045.5759245993395,-5.04557592459934,-6.315195025736942,-2.144533978185258,-2.54012142190298,5.549165584279341,5549.165584279341,553,49.90958408679928,0.7562863371376963,-9.124007096925077,56.72938055087039,-74.73965688317617,0.7590265050258763,19.871609403254972,613.7460000000001,4411.633924599482,"{'TAKE_PROFIT': 502, 'FORCED_EOD': 51}"
2.75,0.25,100000.0,94931.79645728062,-5068.203542719377,-5.068203542719377,-6.34332374015536,-2.1810905726372223,-2.57838640797052,5.595664679126826,5597.079622399382,553,50.09041591320072,0.7530867903900565,-9.164925032042628,55.80524049400804,-74.37048970855,0.7503680655150022,19.76491862567812,613.739,4411.663742719485,"{'TAKE_PROFIT': 502, 'FORCED_EOD': 51}"
2.5,0.25,100000.0,88775.32205476105,-11224.677945238946,-11.224677945238945,-13.9307054887162,-3.969428995313873,-4.404900335689478,11.439226457930573,11453.586291679007,932,48.39055793991417,0.6925391474969685,-12.043645863990637,56.059839278936565,-75.89951239093486,0.7386060530954364,20.196351931330472,1035.594,7433.494345239188,"{'TAKE_PROFIT': 854, 'FORCED_EOD': 78}"
2.5,0.05,100000.0,88352.13565348118,-11647.864346518822,-11.647864346518821,-14.44734629036647,-4.126366531258739,-4.5550532707181395,11.735187176952595,11736.149735878833,933,48.338692390139336,0.6871709763255888,-12.484313340320771,56.731926441552986,-77.2488862482566,0.7344044580685893,20.438370846730976,1036.5810000000001,7441.341946519192,"{'TAKE_PROFIT': 854, 'FORCED_EOD': 79}"
2.5,0.15,100000.0,88202.60642860112,-11797.393571398876,-11.797393571398876,-14.629743192901856,-4.158923824420073,-4.578439193361046,11.900868137312463,11905.18486115888,933,48.12433011789925,0.6819416309959052,-12.644580462378618,56.335234116571065,-76.63618530937946,0.735099664592468,20.324758842443728,1036.5880000000002,7441.426971399175,"{'TAKE_PROFIT': 854, 'FORCED_EOD': 79}"
2.25,0.25,100000.0,82168.50372216158,-17831.49627783842,-17.831496277838422,-21.92198258545034,-5.385973293702672,-5.580118763573644,18.11614837326777,18161.342712498445,1374,48.03493449781659,0.6696107725046685,-12.977799328849194,54.757095680273636,-75.5898871524081,0.7243971084368687,19.46943231441048,1529.654,10958.162077838746,"{'TAKE_PROFIT': 1278, 'FORCED_EOD': 96}"
1.5,0.05,100000.0,79135.61965110229,-20864.380348897714,-20.86438034889771,-25.535594043730814,-5.39814344043212,-6.051837722037141,21.383596590406448,21513.335289177805,2604,50.96006144393242,0.761318179297781,-8.012434849807109,50.15121124761211,-68.45343592363272,0.7326324905525744,16.80952380952381,2889.495,20767.479248897638,"{'TAKE_PROFIT': 2474, 'FORCED_EOD': 130}"
2.25,0.05,100000.0,82024.48838018172,-17975.51161981828,-17.97551161981828,-22.094369261622315,-5.4613991267932045,-5.64001106908682,18.218983072352447,18250.636261838314,1376,48.11046511627907,0.669697480783797,-13.063598560914805,55.05414848821847,-76.22038924232409,0.7223021167366027,19.767441860465116,1531.621,10973.789719818738,"{'TAKE_PROFIT': 1278, 'FORCED_EOD': 98}"
1.5,0.25,100000.0,78811.90815146238,-21188.091848537617,-21.188091848537617,-25.91919011624756,-5.461589218870688,-6.107048685593535,21.634375723660902,21750.13741991768,2598,50.307929176289456,0.7541527926874924,-8.155539587581842,49.72906841949603,-66.75754010288065,0.7449206238405146,16.386066204772902,2883.0550000000003,20719.868748537585,"{'TAKE_PROFIT': 2472, 'FORCED_EOD': 126}"
1.5,0.15,100000.0,78813.5059955624,-21186.494004437598,-21.1864940044376,-25.917297685602403,-5.504175236443477,-6.109601942708539,21.62957420825871,21742.46635861766,2602,50.76863950807071,0.7562726559208174,-8.142388164657046,49.76573459190105,-67.8587270884769,0.733372651199521,16.626441199077632,2887.255,20751.63920443759,"{'TAKE_PROFIT': 2472, 'FORCED_EOD': 130}"
2.25,0.15,100000.0,81705.77728152159,-18294.222718478413,-18.294222718478416,-22.475587273578924,-5.522619269380911,-5.677328213149178,18.505162727865656,18534.809986898428,1376,47.81976744186046,0.6643404394388239,-13.29521999889445,55.02749413000093,-75.90851511980415,0.7249185950107531,19.623546511627907,1531.6560000000002,10973.916718478722,"{'TAKE_PROFIT': 1278, 'FORCED_EOD': 98}"
1.75,0.05,100000.0,78931.41346044216,-21068.586539557844,-21.06858653955784,-25.777624692733713,-5.5249594507104645,-6.109337480283789,21.478140618376212,21582.790932877906,2245,50.512249443207125,0.7366749366584744,-9.384671064391112,51.976381682046785,-72.01602463276248,0.7217335578726322,17.765256124721603,2495.801,17904.99933955795,"{'TAKE_PROFIT': 2121, 'FORCED_EOD': 124}"
1.75,0.15,100000.0,78796.7418610221,-21203.258138977893,-21.203258138977894,-25.93715204326855,-5.5557768348470296,-6.097102622770617,21.567356150172895,21660.06121221793,2244,50.222816399286984,0.7338004501144104,-9.448867263359189,51.86200965302666,-71.30863296144949,0.7272893547274147,17.60516934046346,2494.695,17897.02143897792,"{'TAKE_PROFIT': 2120, 'FORCED_EOD': 124}"
1.75,0.25,100000.0,78867.34162064215,-21132.658379357847,-21.132658379357846,-25.85353082582753,-5.583831407368739,-6.103214311869525,21.498705816646588,21591.568856957892,2240,50.17857142857143,0.7314378096474108,-9.43422249078483,51.20594167387995,-70.50908317275903,0.7262318465894222,17.399107142857144,2490.593,17865.394779357925,"{'TAKE_PROFIT': 2120, 'FORCED_EOD': 120}"
2.0,0.25,100000.0,79012.2841122019,-20987.7158877981,-20.987715887798096,-25.681794075793853,-6.213507441896191,-6.473303058809231,21.170972812088326,21217.02556017817,1823,49.09489851892485,0.6958278053969774,-11.51273499056415,53.644402102369625,-74.3528618204949,0.7214840261546313,18.5858475041141,2031.477,14540.113887798318,"{'TAKE_PROFIT': 1714, 'FORCED_EOD': 109}"
2.0,0.15,100000.0,78769.66178460194,-21230.338215398064,-21.230338215398064,-25.96922161596519,-6.29851944000663,-6.584098174199149,21.363846980846755,21396.91770319805,1826,48.95947426067908,0.6959578113002689,-11.626691246110843,54.35862434416201,-74.92161843248844,0.7255399106620253,18.766703176341732,2034.6059999999998,14563.791215398287,"{'TAKE_PROFIT': 1714, 'FORCED_EOD': 112}"
2.0,0.05,100000.0,78532.10984634203,-21467.890153657965,-21.467890153657965,-26.250419489675203,-6.4155317024845555,-6.63652825936281,21.606491080217953,21641.444413257967,1826,49.39759036144578,0.6934982945430282,-11.756785407260915,53.85119299332688,-75.8026690840252,0.7104128870928582,18.921139101861993,2034.585,14563.636253658313,"{'TAKE_PROFIT': 1714, 'FORCED_EOD': 112}"
