stop_pct,rr,period,candidate_entries,skipped_overlaps,trades,gross_pnl,net_pnl,costs,win_rate_pct,profit_factor,net_sharpe,stops,targets,forced_eod,avg_net_trade
0.0025,0.5,development,218,1,217,376.72687912499214,-1582.5663108828953,1959.2931900078877,68.66359447004609,0.5993611540430143,-3.9799126220012373,67,149,1,-7.292932308216107
0.0025,0.5,validation,87,0,87,74.42038275000218,-684.6781173167682,759.0985000667705,67.81609195402298,0.5821487035638272,-4.037206101701813,28,59,0,-7.869863417434117
0.0025,0.5,holdout,80,0,80,128.55561950000703,-564.1056314508234,692.6612509508304,68.75,0.6123913921993451,-3.6493456894603584,24,55,1,-7.051320393135292
0.0025,0.5,full,385,1,384,579.7028813750013,-2831.3500596504873,3411.0529410254885,68.48958333333334,0.5980493688773788,-3.935266385329854,119,263,2,-7.373307447006478
0.0025,0.75,development,218,1,217,711.6576524374902,-1247.8224395876844,1959.4800920251746,60.36866359447005,0.7484688502737615,-2.6324226229545746,84,131,2,-5.750333822984721
0.0025,0.75,validation,87,0,87,348.4923581249884,-410.5572405206055,759.0495986455938,60.91954022988506,0.7869681981372804,-2.063441097791144,32,53,2,-4.719048741616155
0.0025,0.75,holdout,80,0,80,188.86401174999494,-503.77512605027823,692.6391378002731,60.0,0.7297745860241477,-2.7685085651586574,31,47,2,-6.297189075628478
0.0025,0.75,full,385,1,384,1249.0140223124738,-2162.154806158568,3411.1688284710417,60.416666666666664,0.7529641999530131,-2.536834823795578,147,231,6,-5.630611474371271
0.0025,1.0,development,218,1,217,1413.2281467499902,-546.3099275772547,1959.5380743272449,55.76036866359447,0.8998040971381028,-0.9809357589571489,92,119,6,-2.517557269941266
0.0025,1.0,validation,87,0,87,332.911214750008,-426.1766001131662,759.0878148631741,52.87356321839081,0.8159245688153963,-1.8323076284077988,38,46,3,-4.898581610496163
0.0025,1.0,holdout,80,1,79,524.0024297499991,-159.961455944581,683.9638856945803,56.9620253164557,0.9192755160510763,-0.729264731023824,33,44,2,-2.024828556260519
0.0025,1.0,full,385,2,383,2270.1417912499974,-1132.4479836350017,3402.5897748849993,55.35248041775457,0.8838421825529164,-1.1264602287839114,163,209,11,-2.956783247088777
0.0025,1.5,development,218,3,215,2473.2152374999796,531.2280487663243,1941.9871887336553,49.30232558139535,1.0867860686168687,0.7538146832386039,103,98,14,2.470828133796857
0.0025,1.5,validation,87,0,87,325.12018237500973,-433.927640986432,759.0478233614417,42.5287356321839,0.8447067171849949,-1.4479815191485392,46,35,6,-4.987674034326805
0.0025,1.5,holdout,80,1,79,558.8499597500083,-125.08107506186548,683.931034811874,46.835443037974684,0.9489094553465847,-0.43413576034095974,41,35,3,-1.5833047476185504
0.0025,1.5,full,385,4,381,3357.1853796249975,-27.780667281973592,3384.966046906971,47.24409448818898,0.9975552914879139,-0.015957006599921233,190,168,23,-0.0729151372230278
0.0025,2.0,development,218,5,213,2743.058158999984,819.1095693057124,1923.9485896942713,43.1924882629108,1.1209456406132425,0.9953688375965525,113,77,23,3.845584832421185
0.0025,2.0,validation,87,2,85,291.51211974999836,-450.13322789896466,741.6453476489628,35.294117647058826,0.8498033256359063,-1.2651894380524582,49,27,9,-5.295685034105467
0.0025,2.0,holdout,80,3,77,537.6729050000044,-128.6928624822153,666.3657674822199,38.961038961038966,0.9530300729237383,-0.39131338017333905,46,27,4,-1.6713358763924064
0.0025,2.0,full,385,10,375,3572.243183749986,240.28347892453235,3331.959704825454,40.53333333333333,1.0192082322404519,0.16684163325811338,208,131,36,0.6407559437987529
0.0025,3.0,development,218,13,205,2437.1873504999908,584.9035788794025,1852.2837716205884,35.12195121951219,1.0786955788319783,0.6226449286918331,124,49,32,2.853188189655622
0.0025,3.0,validation,87,4,83,-140.22575924999688,-864.260754244775,724.0349949947778,27.710843373493976,0.7411322115429834,-2.1565248004863657,55,15,13,-10.412780171623794
0.0025,3.0,holdout,80,5,75,391.1603987499951,-257.92276727787737,649.0831660278725,32.0,0.9115207965362455,-0.6807468204073975,48,15,12,-3.4389702303716985
0.0025,3.0,full,385,22,363,2688.121989999989,-537.2799426432498,3225.4019326432385,32.78236914600551,0.960742851333065,-0.3053712762641523,227,79,57,-1.4801100348298892
0.005,0.5,development,218,2,216,1337.4394489999777,-613.0602445991244,1950.4996935991023,68.98148148148148,0.9071358671196806,-0.8056658569368044,59,145,12,-2.8382418731440944
0.005,0.5,validation,87,2,85,370.90028849998794,-370.7979196582416,741.6982081582291,67.05882352941175,0.8592343714393298,-1.1448779705347099,22,55,8,-4.362328466567548
0.005,0.5,holdout,80,1,79,157.26668324999653,-526.6074480728926,683.8741313228891,65.82278481012658,0.8002146658498155,-1.7389518624922475,22,51,6,-6.66591706421383
0.005,0.5,full,385,5,380,1865.6064207499621,-1510.4656123302589,3376.0720330802205,67.89473684210526,0.8727676208230537,-1.0937595762138717,103,251,26,-3.9749095061322604
0.005,0.75,development,218,4,214,2369.6705179999803,436.61778203381516,1933.0527359661655,62.149532710280376,1.0557839148373307,0.48440352425761213,70,122,22,2.0402700095038093
0.005,0.75,validation,87,3,84,109.64239987499366,-623.2403875166516,732.8827873916451,55.952380952380956,0.8180877143546972,-1.5529530537817826,29,41,14,-7.419528422817281
0.005,0.75,holdout,80,1,79,330.74343762501036,-353.08560922029864,683.829046845309,56.9620253164557,0.889805879029339,-0.8961951514351693,27,43,9,-4.469438091396185
0.005,0.75,full,385,8,377,2810.0563554999844,-539.7082147031352,3349.7645702031195,59.6816976127321,0.9626685804813483,-0.31052283841968337,126,206,45,-1.4315867764008892
0.005,1.0,development,218,9,209,2131.0239929999852,243.25210992458608,1887.7718830753993,54.54545454545454,1.0269434367933052,0.23106882755933222,80,94,35,1.1638856934190722
0.005,1.0,validation,87,6,81,-152.26607050000706,-859.0482242728194,706.7821537728124,48.148148148148145,0.7776763616399756,-1.9024403260769602,33,30,18,-10.605533632997771
0.005,1.0,holdout,80,4,76,195.48144150001025,-462.1268740076256,657.6083155076354,48.68421052631579,0.8735088862508606,-1.0780064854442455,31,34,11,-6.080616763258232
0.005,1.0,full,385,19,366,2174.239363999988,-1077.9229883558592,3252.1623523558474,51.91256830601093,0.9348515311893677,-0.5419117688427776,144,158,64,-2.945144776928577
0.005,1.5,development,218,19,199,891.3524504999561,-906.7620977867641,1798.1145482867205,44.221105527638194,0.9120114667967479,-0.7180026284148515,90,57,52,-4.556593456214895
0.005,1.5,validation,87,8,79,-49.03604949999266,-738.2887829786182,689.2527334786255,43.037974683544306,0.8237368087744876,-1.3539714984033917,36,21,22,-9.345427632640737
0.005,1.5,holdout,80,8,72,-250.89501600000102,-873.884763843544,622.9897478435425,38.88888888888889,0.783491113547395,-1.815188681169181,34,19,19,-12.137288386715888
