config_key,basis,window,threshold,hook,stop_pct,rr,trades,gross_pnl,commission,slippage,costs,net_pnl,net_return_pct,net_sharpe,max_drawdown_pct,max_drawdown_usd,win_rate_pct,profit_factor,reconciliation_error
z_w120_t1.5_h0.15,z,120,1.5,0.15,0.01,2.0,324,7505.938210999975,89.81700000000001,2560.029670677132,2649.846670677132,4856.091540322844,4.856091540322844,1.6803541796651398,1.8595713821933813,1882.021188179977,50.617283950617285,1.2664671076245981,-9.094947017729282e-13
z_w60_t1.5_h0.15,z,60,1.5,0.15,0.01,2.0,329,6963.069562999975,91.406,2599.552172827534,2690.958172827534,4272.11139017244,4.27211139017244,1.4688183179375607,1.4039764611035066,1418.6113403599884,49.24012158054711,1.2232792161909096,0.0
z_w60_t1.5_h0.15,z,60,1.5,0.15,0.01,1.5,348,6859.436667999961,96.999,2749.9600180713214,2846.959018071321,4012.47764992864,4.012477649928639,1.4531178121741164,1.3383720606078287,1340.3229233035381,50.57471264367817,1.2063854113102386,0.0
z_w120_t1.5_h0.15,z,120,1.5,0.15,0.01,3.0,306,6411.237978999971,84.525,2417.8085320019522,2502.3335320019523,3908.90444699802,3.9089044469980196,1.3262834580231082,1.9720180272510879,1998.425273099987,49.673202614379086,1.2239325836858168,-4.547473508864641e-13
z_w60_t1.5_h0.15,z,60,1.5,0.15,0.01,3.0,304,6572.321392999978,83.874,2401.7768198447684,2485.650819844768,4086.670573155212,4.086670573155212,1.301765981256503,1.5550084805730613,1573.2034374599898,49.34210526315789,1.2377179008616785,-1.8189894035458565e-12
z_w60_t1.5_h0,z,60,1.5,0.0,0.01,1.0,409,6782.772459000005,114.59,3230.218130085844,3344.8081300858444,3437.9643289141623,3.437964328914162,1.2672919311127955,1.598192425621503,1599.8788816973392,51.83374083129584,1.153989911566575,-1.3642420526593924e-12
z_w120_t1.5_h0.15,z,120,1.5,0.15,0.01,1.5,341,6165.14834199996,94.864,2694.2076807661106,2789.0716807661106,3376.0766612338493,3.376076661233849,1.2468177523241133,1.6168038644314153,1638.3460109099688,50.733137829912025,1.1777112744792284,9.094947017729282e-13
absolute_qqq_points_w0_t0.25_h0,absolute_qqq_points,0,0.25,0.0,0.005,1.5,433,5963.203174750002,119.62300000000002,3421.816990705867,3541.439990705867,2421.7631840441363,2.4217631840441363,1.1382306507248108,1.573269068524319,1634.3749320991483,48.26789838337183,1.1230385081852947,-4.547473508864641e-13
z_w120_t1.5_h0.15,z,120,1.5,0.15,0.01,1.0,395,6209.356130999958,110.39,3120.8596596746866,3231.2496596746864,2978.106471325271,2.978106471325271,1.1264625246264726,2.0465972922827924,2075.6140210099693,50.8860759493671,1.139574486918712,0.0
z_w60_t1.5_h0.15,z,60,1.5,0.15,0.01,1.0,404,6106.399312999947,113.00800000000001,3192.4475181070793,3305.455518107079,2800.943794892868,2.800943794892868,1.0596639799969712,1.6587721852676651,1669.3247566199861,51.23762376237624,1.125972561765399,0.0
z_w30_t3_h0,z,30,3.0,0.0,0.0075,3.0,219,3373.64606474999,60.2,1729.7494976394714,1789.9494976394715,1583.6965671105188,1.5836965671105188,0.9872086179045801,1.1042200575845262,1118.735098809033,47.94520547945205,1.2099656723201047,-2.2737367544323206e-13
z_w60_t2_h0.15,z,60,2.0,0.15,0.01,2.0,306,5021.666719999981,84.77000000000001,2418.252130815758,2503.022130815758,2518.6445891842222,2.5186445891842224,0.9653010402237161,2.2244338476684056,2231.237452491958,46.40522875816993,1.1518280233071538,4.547473508864641e-13
z_w120_t1.5_h0,z,120,1.5,0.0,0.01,2.0,326,5256.442757000017,90.37,2574.5976634135377,2664.9676634135376,2591.4750935864795,2.5914750935864794,0.8816943879709397,2.0978624504807697,2100.03365734806,48.77300613496933,1.1323529675081003,0.0
z_w30_t3_h0.15,z,30,3.0,0.15,0.0075,3.0,220,3167.6322907500103,60.494,1737.9324916412695,1798.4264916412694,1369.20579910874,1.36920579910874,0.8495321077336313,1.1270765396761862,1141.6483817249828,47.27272727272727,1.1805765351771165,6.821210263296962e-13
