config_key,basis,window,threshold,hook,stop_pct,rr,trades,gross_pnl,commission,slippage,costs,net_pnl,net_return_pct,net_sharpe,max_drawdown_pct,max_drawdown_usd,win_rate_pct,profit_factor,reconciliation_error
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,0.5,4814,-2832.4624457750647,1332.4850000000001,38030.09848300117,39362.58348300117,-42195.04592877624,-42.195045928776246,-23.002104995629754,42.09923002838719,42029.56298194147,64.54092230992937,0.3280495310494416,7.275957614183426e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,0.75,4090,-848.6966620373946,1136.1490000000001,32309.70916665582,33445.85816665582,-34294.55482869322,-34.29455482869322,-17.912974603600055,34.17813339816264,34117.68134190074,55.81907090464547,0.48146096239573805,0.0
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,1.0,3590,-724.2983789000779,999.376,28358.663625558038,29358.039625558038,-30082.338004458114,-30.082338004458116,-14.26863090120529,30.087725371266373,30090.043899934797,48.85793871866295,0.5518749040200137,-3.637978807091713e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,1.5,2972,3318.2663360249185,829.738,23475.941680165262,24305.679680165264,-20987.413344140346,-20.987413344140347,-9.819610034911443,21.110938148019386,21143.99373815088,41.21803499327052,0.6710382082302956,3.637978807091713e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,2.0,2519,3229.095707499923,704.914,19897.892422579775,20602.806422579775,-17373.710715079847,-17.37371071507985,-7.268952142902014,17.624620866750295,17678.30433796876,35.529972211194924,0.7086829365105044,-3.637978807091713e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0015,3.0,2004,1419.7087501999888,562.4499999999999,15829.560172196352,16392.01017219635,-14972.301421996364,-14.972301421996365,-6.4288932983125315,15.047181784635832,15060.44489294001,28.1936127744511,0.7175180660134087,1.8189894035458565e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0025,0.5,3075,-19.299739249924244,857.899,24291.0727854177,25148.9717854177,-25168.271524667623,-25.168271524667624,-12.689654682069456,25.109309516001478,25089.540766164675,64.61788617886178,0.5640419112320675,0.0
z_w30_t1.5_h0,z,30,1.5,0.0,0.0025,0.75,2485,1518.8570566249887,695.1700000000001,19630.797918704382,20325.96791870438,-18807.11086207939,-18.80711086207939,-8.962677347311429,18.756663783652893,18745.01705749688,55.975855130784716,0.6756874680701741,-3.637978807091713e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0025,1.0,2103,1840.6915069999704,589.323,16613.58998018642,17202.912980186422,-15362.22147318645,-15.36222147318645,-6.500161239068046,15.471687315940663,15491.723458117063,49.548264384213034,0.7277547613218085,-1.8189894035458565e-12
z_w30_t1.5_h0,z,30,1.5,0.0,0.0025,1.5,1647,3956.4019255000367,463.218,13009.768233611103,13472.986233611104,-9516.584308111065,-9.516584308111064,-3.9921744484902355,9.880146706537008,9920.005291545254,42.62295081967213,0.8128339817546661,0.0
