window,warmup_bars,z_entry,hook_delta,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,convergence_exits,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
30,30,3.0000000000,0.0000000000,250,96960,296,196,296,221,1363.2046000000,2419.3910952397,81.0810000000,2338.3100952397,-1056.1864952397,-1.0561864952,29.0540540541,0.8499350257,-0.5216322221,-1.0135839735,2625.5755336198,2.6145870453,-3.5681976191,52.6081081081,0,0,192,104,0.0000000000,0.0000000000
30,30,3.0000000000,0.1500000000,250,96960,292,196,292,137,1018.7692000000,2387.1303109598,80.0310000000,2307.0993109598,-1368.3611109598,-1.3683611110,27.0547945205,0.8021916789,-0.7622540278,-1.3820154523,2467.1494547999,2.4575412072,-4.6861681882,52.5582191781,0,0,187,105,0.0000000000,0.0000000000
30,30,3.0000000000,0.3000000000,250,96960,292,196,292,132,955.4431000000,2387.1538219398,80.0310000000,2307.1228219398,-1431.7107219398,-1.4317107219,28.0821917808,0.7925774469,-0.8245217157,-1.4445071722,2438.9414720399,2.4294430796,-4.9031189108,52.4657534247,0,0,187,105,0.0000000000,0.0000000000
90,90,2.5000000000,0.1500000000,250,96960,536,247,536,1768,1857.8237000000,4380.9508758195,146.0340000000,4234.9168758195,-2523.1271758195,-2.5231271758,29.1044776119,0.7845951515,-1.0422067460,-2.1390864413,3969.9823657797,3.9596690583,-4.7073268206,54.2593283582,0,0,367,169,0.0000000000,0.0000000000
90,90,2.5000000000,0.3000000000,250,96960,517,247,517,1651,1712.6405000000,4225.3208192595,140.8750000000,4084.4458192595,-2512.6803192595,-2.5126803193,28.4332688588,0.7824010130,-1.0881643278,-2.1577456096,3875.7495887197,3.8655595494,-4.8601166717,55.8800773694,0,0,350,167,0.0000000000,0.0000000000
60,60,3.0000000000,0.0000000000,250,96960,335,206,335,469,233.2343000000,2736.8629814997,91.6020000000,2645.2609814997,-2503.6286814997,-2.5036286815,24.7761194030,0.6819097440,-1.3845757420,-2.7533734778,3762.6626538198,3.7550540267,-7.4735184522,49.0656716418,0,0,219,116,0.0000000000,0.0000000000
90,90,2.5000000000,0.0000000000,250,96960,642,247,642,2259,1732.7755000000,5247.9366185794,174.9650000000,5072.9716185794,-3515.1611185793,-3.5151611186,26.4797507788,0.7310689252,-1.4334270279,-2.8391597732,4701.3053379996,4.6886071860,-5.4753288451,46.4018691589,0,0,469,173,0.0000000000,0.0000000000
60,60,3.0000000000,0.3000000000,250,96960,298,205,298,284,97.4809000000,2434.5931477397,81.4590000000,2353.1341477397,-2337.1122477398,-2.3371122477,28.1879194631,0.6767192149,-1.4598668458,-2.5517332771,3353.4933917999,3.3471914166,-7.8426585495,54.0973154362,0,0,181,117,0.0000000000,0.0000000000
60,60,3.0000000000,0.1500000000,250,96960,305,206,305,293,93.6640000000,2491.7593352798,83.4260000000,2408.3333352798,-2398.0953352798,-2.3980953353,28.1967213115,0.6732360833,-1.4931828159,-2.6057790376,3351.7423844999,3.3454436999,-7.8626076567,53.0163934426,0,0,187,118,0.0000000000,0.0000000000
60,60,2.5000000000,0.0000000000,250,96960,645,250,645,2375,1096.9829000000,5271.4167041795,176.5680000000,5094.8487041795,-4174.4338041794,-4.1744338042,29.7674418605,0.7343800094,-1.5435429484,-2.8971028577,5173.4727901597,5.1512836399,-6.4719903941,61.7364341085,0,0,457,188,0.0000000000,0.0000000000
60,60,2.5000000000,0.3000000000,250,96960,572,250,572,1839,766.8196000000,4673.7259708795,156.2400000000,4517.4859708795,-3906.9063708795,-3.9069063709,29.0209790210,0.7310686136,-1.5784974003,-2.9840010453,4703.2210609197,4.6902131041,-6.8302558931,68.1101398601,0,0,384,188,0.0000000000,0.0000000000
