variant,signal_time,entry_time,exit_time,direction,source_dislocation,signal_z,signal_residual,signal_fair_qqq,signal_qqq_close,signal_qqq_vwap,entry_reference,entry_price,exit_reference,exit_price,shares,stop_usd_per_share,target_usd_per_share,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
normal_convergence,2024-08-22 11:32:00-04:00,2024-08-22 11:33:00-04:00,2024-08-22 15:59:00-04:00,SHORT,HIGH,3.0015882670,0.0034853242,478.2630980679,479.9300000000,482.9045860951,479.9700000000,479.8740060000,474.8300000000,474.9249660000,41,,,,,FORCED_EOD,266,210.7400000000,7.8293600000,0.2870000000,8.1163600000,202.6236400000
normal_convergence,2024-08-23 10:48:00-04:00,2024-08-23 10:49:00-04:00,2024-08-23 10:50:00-04:00,SHORT,HIGH,3.0388359888,0.0005103280,476.3768915114,476.6200000000,480.2143456681,476.5900000000,476.4946820000,477.3100000000,477.4054620000,41,,,,,CONVERGENCE,1,-29.5200000000,7.8219800000,0.2870000000,8.1089800000,-37.6289800000
normal_convergence,2024-08-23 13:23:00-04:00,2024-08-23 13:24:00-04:00,2024-08-23 13:25:00-04:00,LONG,LOW,-3.0297749908,0.0004911684,477.7553416536,477.9900000000,479.0759447085,477.9900000000,478.0855980000,478.1100000000,478.0143780000,41,,,,,CONVERGENCE,1,4.9200000000,7.8400200000,0.2870000000,8.1270200000,-3.2070200000
normal_convergence,2024-08-23 15:40:00-04:00,2024-08-23 15:41:00-04:00,2024-08-23 15:59:00-04:00,LONG,LOW,-3.3084080721,-0.0010833201,480.0700695578,479.5500000000,479.0844505153,479.5499000000,479.6458099800,480.0200000000,479.9239960000,41,,,,,FORCED_EOD,18,19.2741000000,7.8684731800,0.2870000000,8.1554731800,11.1186268200
normal_convergence,2024-08-27 13:19:00-04:00,2024-08-27 13:20:00-04:00,2024-08-27 15:59:00-04:00,LONG,LOW,-3.3294506882,-0.0024499382,477.7103608548,476.5400000000,475.5290060259,476.5500000000,476.6453100000,476.8300000000,476.7346340000,41,,,,,FORCED_EOD,159,11.4800000000,7.8177160000,0.2870000000,8.1047160000,3.3752840000
normal_convergence,2024-08-28 10:58:00-04:00,2024-08-28 10:59:00-04:00,2024-08-28 12:31:00-04:00,SHORT,HIGH,3.0528425962,0.0026535978,471.1397845150,472.3900000000,474.5207951917,472.3900000000,472.2955220000,470.6550000000,470.7491310000,42,,,,,CONVERGENCE,92,72.8700000000,7.9215780000,0.2940000000,8.2155780000,64.6544220000
normal_convergence,2024-08-28 13:53:00-04:00,2024-08-28 13:54:00-04:00,2024-08-28 15:34:00-04:00,SHORT,HIGH,3.3654830955,0.0015026207,469.3747078525,470.0800000000,472.4160081211,470.0600000000,469.9659880000,472.1100000000,472.2044220000,42,,,,,CONVERGENCE,100,-86.1000000000,7.9142280000,0.2940000000,8.2082280000,-94.3082280000
normal_convergence,2024-08-30 14:29:00-04:00,2024-08-30 14:30:00-04:00,2024-08-30 14:31:00-04:00,LONG,LOW,-3.1373769280,0.0009032633,472.5931239548,473.0200000000,473.6837509688,473.0300000000,473.1246060000,473.1600000000,473.0653680000,42,,,,,CONVERGENCE,1,5.4600000000,7.9479960000,0.2940000000,8.2419960000,-2.7819960000
normal_convergence,2024-08-30 15:50:00-04:00,2024-08-30 15:51:00-04:00,2024-08-30 15:55:00-04:00,LONG,LOW,-5.2289481785,-0.0007999119,476.2909908444,475.9100000000,473.8013776846,475.9200000000,476.0151840000,475.7900000000,475.6948420000,42,,,,,CONVERGENCE,4,-5.4600000000,7.9943640000,0.2940000000,8.2883640000,-13.7483640000
normal_convergence,2024-09-03 12:49:00-04:00,2024-09-03 12:50:00-04:00,2024-09-03 12:51:00-04:00,LONG,LOW,-3.1214918832,0.0016784155,464.6501240251,465.4300000000,468.0832984732,465.4100000000,465.5030820000,465.2500000000,465.1569500000,42,,,,,CONVERGENCE,1,-6.7200000000,7.8175440000,0.2940000000,8.1115440000,-14.8315440000
