stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
2.7500000000,8.7500000000,250.0000000000,96960.0000000000,229.0000000000,206.0000000000,229.0000000000,575.0000000000,3188.0673000000,1870.4806263398,62.7900000000,1807.6906263398,1317.5866736602,1.3175866737,43.2314410480,1.1755783304,0.8279741513,1.6732998875,1530.6286458599,1.5168615471,5.7536535968,117.7510917031,36.0000000000,11.0000000000,182.0000000000,107.7183406114,342.7401746725
2.7500000000,9.2500000000,250.0000000000,96960.0000000000,227.0000000000,206.0000000000,227.0000000000,577.0000000000,3120.9973000000,1854.1532803398,62.2090000000,1791.9442803398,1266.8440196602,1.2668440197,43.6123348018,1.1722130133,0.8087611421,1.6097378490,1512.1249458599,1.4982051239,5.5808106593,119.0881057269,35.0000000000,8.0000000000,184.0000000000,107.6618942731,362.1354625551
2.7500000000,8.5000000000,250.0000000000,96960.0000000000,229.0000000000,206.0000000000,229.0000000000,575.0000000000,3075.3173000000,1870.4818763398,62.7900000000,1807.6918763398,1204.8354236602,1.2048354237,43.2314410480,1.1605533786,0.7705775272,1.5310465186,1539.8804958600,1.5261927397,5.2612900597,117.2096069869,36.0000000000,11.0000000000,182.0000000000,107.7183406114,332.9475982533
2.7500000000,10.5000000000,250.0000000000,96960.0000000000,225.0000000000,206.0000000000,225.0000000000,579.0000000000,3010.6073000000,1837.8977623398,61.6560000000,1776.2417623398,1172.7095376602,1.1727095377,44.0000000000,1.1606849237,0.7420661519,1.4917085111,1465.8656958599,1.4515988147,5.2120423896,121.3155555556,35.0000000000,5.0000000000,185.0000000000,107.6533333333,411.0400000000
3.0000000000,8.7500000000,250.0000000000,96960.0000000000,228.0000000000,206.0000000000,228.0000000000,576.0000000000,3055.5825000000,1862.1387632998,62.4610000000,1799.6777632998,1193.4437367002,1.1934437367,43.4210526316,1.1545849375,0.7383351152,1.4321620251,1657.6379458599,1.6430663425,5.2344023539,119.0307017544,35.0000000000,11.0000000000,182.0000000000,117.4078947368,342.4396929825
2.7500000000,9.0000000000,250.0000000000,96960.0000000000,228.0000000000,206.0000000000,228.0000000000,576.0000000000,2995.3073000000,1862.2482583398,62.4960000000,1799.7522583398,1133.0590416602,1.1330590417,43.4210526316,1.1515368021,0.7380045887,1.4404689851,1521.3767958599,1.5075323420,4.9695572003,118.4298245614,36.0000000000,9.0000000000,183.0000000000,107.6842105263,352.4210526316
2.5000000000,8.7500000000,250.0000000000,96960.0000000000,232.0000000000,206.0000000000,232.0000000000,572.0000000000,3047.8738000000,1895.0237716398,63.6370000000,1831.3867716398,1152.8500283602,1.1528500284,42.2413793103,1.1511103377,0.7255340602,1.4769255953,1556.3127378599,1.5419975400,4.9691811567,113.0862068966,43.0000000000,11.0000000000,178.0000000000,97.9633620690,342.8717672414
3.0000000000,9.2500000000,250.0000000000,96960.0000000000,226.0000000000,206.0000000000,226.0000000000,578.0000000000,2998.7625000000,1845.8134672998,61.8800000000,1783.9334672998,1152.9490327002,1.1529490327,43.8053097345,1.1524649912,0.7236536624,1.3842997864,1639.1342458599,1.6243791985,5.1015443925,120.3849557522,34.0000000000,8.0000000000,184.0000000000,117.3451327434,361.8141592920
2.7500000000,10.2500000000,250.0000000000,96960.0000000000,225.0000000000,206.0000000000,225.0000000000,579.0000000000,2958.6073000000,1837.8993623398,61.6560000000,1776.2433623398,1120.7079376602,1.1207079377,44.0000000000,1.1535596528,0.7159383856,1.4259868378,1475.1175458599,1.4609161078,4.9809241674,121.2088888889,35.0000000000,5.0000000000,185.0000000000,107.6533333333,401.2533333333
2.7500000000,8.2500000000,250.0000000000,96960.0000000000,229.0000000000,206.0000000000,229.0000000000,575.0000000000,2962.5673000000,1870.4708263398,62.7900000000,1807.6808263398,1092.0964736602,1.0920964737,43.2314410480,1.1455303045,0.7110017667,1.3888087718,1549.1323458600,1.5355259205,4.7689802343,117.0611353712,36.0000000000,11.0000000000,182.0000000000,107.7183406114,323.1550218341
