variant,signal_time,entry_time,exit_time,direction,source_dislocation,signal_z,signal_residual,signal_fair_qqq,signal_qqq_close,signal_qqq_vwap,entry_reference,entry_price,exit_reference,exit_price,shares,stop_usd_per_share,target_usd_per_share,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
normal_dollar_bracket,2024-08-22 11:32:00-04:00,2024-08-22 11:33:00-04:00,2024-08-22 15:59:00-04:00,SHORT,HIGH,3.0015882670,0.0034853242,478.2630980679,479.9300000000,482.9045860951,479.9700000000,479.8740060000,474.8300000000,474.9249660000,41,2.7500000000,10.5000000000,482.7200000000,469.4700000000,FORCED_EOD,266,210.7400000000,7.8293600000,0.2870000000,8.1163600000,202.6236400000
normal_dollar_bracket,2024-08-23 10:48:00-04:00,2024-08-23 10:49:00-04:00,2024-08-23 11:15:00-04:00,SHORT,HIGH,3.0388359888,0.0005103280,476.3768915114,476.6200000000,480.2143456681,476.5900000000,476.4946820000,479.3400000000,479.4358680000,41,2.7500000000,10.5000000000,479.3400000000,466.0900000000,STOP,26,-112.7500000000,7.8386260000,0.2870000000,8.1256260000,-120.8756260000
normal_dollar_bracket,2024-08-23 13:23:00-04:00,2024-08-23 13:24:00-04:00,2024-08-23 15:59:00-04:00,LONG,LOW,-3.0297749908,0.0004911684,477.7553416536,477.9900000000,479.0759447085,477.9900000000,478.0855980000,480.0200000000,479.9239960000,41,2.7500000000,10.5000000000,475.2400000000,488.4900000000,FORCED_EOD,155,83.2300000000,7.8556820000,0.2870000000,8.1426820000,75.0873180000
normal_dollar_bracket,2024-08-27 13:19:00-04:00,2024-08-27 13:20:00-04:00,2024-08-27 15:59:00-04:00,LONG,LOW,-3.3294506882,-0.0024499382,477.7103608548,476.5400000000,475.5290060259,476.5500000000,476.6453100000,476.8300000000,476.7346340000,41,2.7500000000,10.5000000000,473.8000000000,487.0500000000,FORCED_EOD,159,11.4800000000,7.8177160000,0.2870000000,8.1047160000,3.3752840000
normal_dollar_bracket,2024-08-28 10:58:00-04:00,2024-08-28 10:59:00-04:00,2024-08-28 15:59:00-04:00,SHORT,HIGH,3.0528425962,0.0026535978,471.1397845150,472.3900000000,474.5207951917,472.3900000000,472.2955220000,471.2800000000,471.3742560000,42,2.7500000000,10.5000000000,475.1400000000,461.8900000000,FORCED_EOD,300,46.6200000000,7.9268280000,0.2940000000,8.2208280000,38.3991720000
normal_dollar_bracket,2024-08-30 14:29:00-04:00,2024-08-30 14:30:00-04:00,2024-08-30 15:59:00-04:00,LONG,LOW,-3.1373769280,0.0009032633,472.5931239548,473.0200000000,473.6837509688,473.0300000000,473.1246060000,476.3900000000,476.2947220000,42,2.7500000000,10.5000000000,470.2800000000,483.5300000000,FORCED_EOD,89,141.1200000000,7.9751280000,0.2940000000,8.2691280000,132.8508720000
normal_dollar_bracket,2024-09-03 12:49:00-04:00,2024-09-03 12:50:00-04:00,2024-09-03 14:18:00-04:00,LONG,LOW,-3.1214918832,0.0016784155,464.6501240251,465.4300000000,468.0832984732,465.4100000000,465.5030820000,462.6600000000,462.5674680000,42,2.7500000000,10.5000000000,462.6600000000,475.9100000000,STOP,88,-115.5000000000,7.7957880000,0.2940000000,8.0897880000,-123.5897880000
normal_dollar_bracket,2024-09-05 13:53:00-04:00,2024-09-05 13:54:00-04:00,2024-09-05 15:59:00-04:00,LONG,LOW,-3.0731811997,0.0020617530,460.6901706653,461.6400000000,461.2040397911,461.6400000000,461.7323280000,461.1400000000,461.0477720000,43,2.7500000000,10.5000000000,458.8900000000,472.1400000000,FORCED_EOD,125,-21.5000000000,7.9359080000,0.3010000000,8.2369080000,-29.7369080000
normal_dollar_bracket,2024-09-06 12:03:00-04:00,2024-09-06 12:04:00-04:00,2024-09-06 15:59:00-04:00,SHORT,HIGH,3.0142543437,0.0036668198,447.2599782667,448.9000000000,453.5540694631,448.9300000000,448.8402140000,448.8700000000,448.9597740000,44,2.7500000000,10.5000000000,451.6800000000,438.4300000000,FORCED_EOD,235,2.6400000000,7.9006400000,0.3080000000,8.2086400000,-5.5686400000
normal_dollar_bracket,2024-09-09 11:19:00-04:00,2024-09-09 11:20:00-04:00,2024-09-09 15:59:00-04:00,LONG,LOW,-3.1542299382,-0.0000242073,450.3109008252,450.3000000000,452.7979687051,450.3400000000,450.4300680000,454.5100000000,454.4190980000,44,2.7500000000,10.5000000000,447.5900000000,460.8400000000,FORCED_EOD,279,183.4800000000,7.9626800000,0.3080000000,8.2706800000,175.2093200000
normal_dollar_bracket,2024-09-10 14:37:00-04:00,2024-09-10 14:38:00-04:00,2024-09-10 15:59:00-04:00,SHORT,HIGH,3.4525082717,0.0013276165,457.4127313003,458.0200000000,455.7759681961,458.0000000000,457.9084000000,458.6700000000,458.7617340000,43,2.7500000000,10.5000000000,460.7500000000,447.5000000000,FORCED_EOD,81,-28.8100000000,7.8833620000,0.3010000000,8.1843620000,-36.9943620000
normal_dollar_bracket,2024-09-11 11:52:00-04:00,2024-09-11 11:53:00-04:00,2024-09-11 15:52:00-04:00,LONG,LOW,-3.0463752165,0.0012186554,456.4437523664,457.0000000000,455.2403625898,457.0200000000,457.1114040000,467.5200000000,467.4264960000,43,2.7500000000,10.5000000000,454.2700000000,467.5200000000,TAKE_PROFIT_BRACKET,239,451.5000000000,7.9510440000,0.3010000000,8.2520440000,443.2479560000
normal_dollar_bracket,2024-09-11 15:55:00-04:00,2024-09-11 15:56:00-04:00,2024-09-11 15:59:00-04:00,LONG,LOW,-3.6279999415,-0.0039782492,470.5017732866,468.6300000000,460.3126265828,468.6300000000,468.7237260000,468.4500000000,468.3563100000,42,2.7500000000,10.5000000000,465.8800000000,479.1300000000,FORCED_EOD,3,-7.5600000000,7.8714720000,0.2940000000,8.1654720000,-15.7254720000
normal_dollar_bracket,2024-09-12 13:27:00-04:00,2024-09-12 13:28:00-04:00,2024-09-12 15:59:00-04:00,LONG,LOW,-3.4689167225,-0.0010874111,472.9843284209,472.4700000000,469.6043485469,472.4700000000,472.5644940000,473.2400000000,473.1453520000,42,2.7500000000,10.5000000000,469.7200000000,482.9700000000,FORCED_EOD,151,32.3400000000,7.9439640000,0.2940000000,8.2379640000,24.1020360000
normal_dollar_bracket,2024-09-13 15:38:00-04:00,2024-09-13 15:39:00-04:00,2024-09-13 15:59:00-04:00,SHORT,HIGH,3.1616746823,0.0012625140,474.5209107075,475.1200000000,474.8812988752,475.1200000000,475.0249760000,475.3400000000,475.4350680000,42,2.7500000000,10.5000000000,477.8700000000,464.6200000000,FORCED_EOD,20,-9.2400000000,7.9838640000,0.2940000000,8.2778640000,-17.5178640000
normal_dollar_bracket,2024-09-18 14:03:00-04:00,2024-09-18 14:04:00-04:00,2024-09-18 15:59:00-04:00,SHORT,HIGH,3.2212724699,0.0001435428,476.3316260398,476.4000000000,474.1099398952,476.4000000000,476.3047200000,471.3300000000,471.4242660000,41,2.7500000000,10.5000000000,479.1500000000,465.9000000000,FORCED_EOD,115,207.8700000000,7.7713860000,0.2870000000,8.0583860000,199.8116140000
normal_dollar_bracket,2024-09-20 14:54:00-04:00,2024-09-20 14:55:00-04:00,2024-09-20 15:59:00-04:00,LONG,LOW,-3.1210933473,0.0013465501,480.6427903936,481.2900000000,481.2105045098,481.2900000000,481.3862580000,482.4200000000,482.3235160000,41,2.7500000000,10.5000000000,478.5400000000,491.7900000000,FORCED_EOD,64,46.3300000000,7.9024220000,0.2870000000,8.1894220000,38.1405780000
normal_dollar_bracket,2024-09-23 14:57:00-04:00,2024-09-23 14:58:00-04:00,2024-09-23 15:59:00-04:00,LONG,LOW,-3.0737441081,-0.0012082966,483.7395008143,483.1550000000,482.9222660269,483.1600000000,483.2566320000,483.0200000000,482.9233960000,41,2.7500000000,10.5000000000,480.4100000000,493.6600000000,FORCED_EOD,61,-5.7400000000,7.9226760000,0.2870000000,8.2096760000,-13.9496760000
normal_dollar_bracket,2024-09-24 13:31:00-04:00,2024-09-24 13:32:00-04:00,2024-09-24 15:59:00-04:00,LONG,LOW,-3.0249393715,-0.0028899121,486.8569738720,485.4500000000,483.7274305806,485.4650000000,485.5620930000,485.3500000000,485.2529300000,41,2.7500000000,10.5000000000,482.7150000000,495.9650000000,FORCED_EOD,147,-4.7150000000,7.9606830000,0.2870000000,8.2476830000,-12.9626830000
normal_dollar_bracket,2024-09-25 13:46:00-04:00,2024-09-25 13:47:00-04:00,2024-09-25 15:59:00-04:00,SHORT,HIGH,3.2699866940,0.0006030674,484.5537814036,484.8460000000,486.2654606992,484.8400000000,484.7430320000,485.9300000000,486.0271860000,41,2.7500000000,10.5000000000,487.5900000000,474.3400000000,FORCED_EOD,132,-44.6900000000,7.9603140000,0.2870000000,8.2473140000,-52.9373140000
normal_dollar_bracket,2024-09-26 11:00:00-04:00,2024-09-26 11:01:00-04:00,2024-09-26 11:56:00-04:00,SHORT,HIGH,3.0813135310,0.0009918055,485.5134650611,485.9950000000,490.4354213224,486.0000000000,485.9028000000,488.7500000000,488.8477500000,41,2.7500000000,10.5000000000,488.7500000000,475.5000000000,STOP,55,-112.7500000000,7.9929500000,0.2870000000,8.2799500000,-121.0299500000
normal_dollar_bracket,2024-09-27 14:29:00-04:00,2024-09-27 14:30:00-04:00,2024-09-27 15:59:00-04:00,SHORT,HIGH,3.3962460330,0.0027654919,484.8990156909,486.2400000000,488.1506720680,486.2600000000,486.1627480000,486.7800000000,486.8773560000,41,2.7500000000,10.5000000000,489.0100000000,475.7600000000,FORCED_EOD,89,-21.3200000000,7.9789280000,0.2870000000,8.2659280000,-29.5859280000
normal_dollar_bracket,2024-09-30 11:27:00-04:00,2024-09-30 11:28:00-04:00,2024-09-30 14:20:00-04:00,LONG,LOW,-3.0401614794,-0.0011501593,487.1803350040,486.6200000000,486.3272087788,486.6100000000,486.7073220000,483.8600000000,483.7632280000,41,2.7500000000,10.5000000000,483.8600000000,497.1100000000,STOP,172,-112.7500000000,7.9578540000,0.2870000000,8.2448540000,-120.9948540000
normal_dollar_bracket,2024-10-02 14:26:00-04:00,2024-10-02 14:27:00-04:00,2024-10-02 15:59:00-04:00,LONG,LOW,-3.0917410620,-0.0016397864,483.3525950296,482.5600000000,481.5760186485,482.5500000000,482.6465100000,481.9400000000,481.8436120000,41,2.7500000000,10.5000000000,479.8000000000,493.0500000000,FORCED_EOD,92,-25.0100000000,7.9088180000,0.2870000000,8.1958180000,-33.2058180000
normal_dollar_bracket,2024-10-03 12:53:00-04:00,2024-10-03 12:54:00-04:00,2024-10-03 15:59:00-04:00,SHORT,HIGH,3.0243340625,0.0011537981,479.2470456508,479.8000000000,481.8633252180,479.7900000000,479.6940420000,481.6300000000,481.7263260000,41,2.7500000000,10.5000000000,482.5400000000,469.2900000000,FORCED_EOD,185,-75.4400000000,7.8836440000,0.2870000000,8.1706440000,-83.6106440000
normal_dollar_bracket,2024-10-04 14:30:00-04:00,2024-10-04 14:31:00-04:00,2024-10-04 15:59:00-04:00,LONG,LOW,-3.3423691466,-0.0005875914,485.7554257247,485.4700000000,484.9132980634,485.4501000000,485.5471900200,487.4900000000,487.3925020000,41,2.7500000000,10.5000000000,482.7001000000,495.9501000000,FORCED_EOD,88,83.6359000000,7.9781088200,0.2870000000,8.2651088200,75.3707911800
normal_dollar_bracket,2024-10-07 15:49:00-04:00,2024-10-07 15:50:00-04:00,2024-10-07 15:59:00-04:00,SHORT,HIGH,3.2022694547,0.0011097082,481.0062234290,481.5400000000,484.3594001124,481.5100000000,481.4136980000,482.0600000000,482.1564120000,41,2.7500000000,10.5000000000,484.2600000000,471.0100000000,FORCED_EOD,9,-22.5500000000,7.9012740000,0.2870000000,8.1882740000,-30.7382740000
normal_dollar_bracket,2024-10-09 15:51:00-04:00,2024-10-09 15:52:00-04:00,2024-10-09 15:59:00-04:00,SHORT,HIGH,3.2406433565,0.0013777789,492.8409740934,493.5200000000,491.3437921323,493.5200000000,493.4212960000,493.1700000000,493.2686340000,40,2.7500000000,10.5000000000,496.2700000000,483.0200000000,FORCED_EOD,7,14.0000000000,7.8935200000,0.2800000000,8.1735200000,5.8264800000
normal_dollar_bracket,2024-10-10 14:37:00-04:00,2024-10-10 14:38:00-04:00,2024-10-10 15:59:00-04:00,SHORT,HIGH,3.4257574482,-0.0008083241,492.3079443911,491.9100000000,492.3676564080,491.9000000000,491.8016200000,492.6000000000,492.6985200000,40,2.7500000000,10.5000000000,494.6500000000,481.4000000000,FORCED_EOD,81,-28.0000000000,7.8760000000,0.2800000000,8.1560000000,-36.1560000000
normal_dollar_bracket,2024-10-14 15:55:00-04:00,2024-10-14 15:56:00-04:00,2024-10-14 15:59:00-04:00,SHORT,HIGH,3.1614650506,0.0018031630,496.8840370950,497.7800000000,497.1751668727,497.7700000000,497.6704460000,497.5000000000,497.5995000000,40,2.7500000000,10.5000000000,500.5200000000,487.2700000000,FORCED_EOD,3,10.8000000000,7.9621600000,0.2800000000,8.2421600000,2.5578400000
normal_dollar_bracket,2024-10-15 14:04:00-04:00,2024-10-15 14:05:00-04:00,2024-10-15 15:35:00-04:00,LONG,LOW,-3.2165077548,-0.0000273882,491.7034668957,491.6900000000,493.3171594712,491.6900000000,491.7883380000,488.9400000000,488.8422120000,40,2.7500000000,10.5000000000,488.9400000000,502.1900000000,STOP,90,-110.0000000000,7.8450400000,0.2800000000,8.1250400000,-118.1250400000
normal_dollar_bracket,2024-10-15 15:50:00-04:00,2024-10-15 15:51:00-04:00,2024-10-15 15:59:00-04:00,LONG,LOW,-3.6852410086,-0.0021952073,491.3846912739,490.3060000000,492.4923128921,490.3100000000,490.4080620000,490.7800000000,490.6818440000,40,2.7500000000,10.5000000000,487.5600000000,500.8100000000,FORCED_EOD,8,18.8000000000,7.8487200000,0.2800000000,8.1287200000,10.6712800000
normal_dollar_bracket,2024-10-16 14:53:00-04:00,2024-10-16 14:54:00-04:00,2024-10-16 15:59:00-04:00,LONG,LOW,-3.0254278686,-0.0037817065,493.3455882086,491.4799000000,489.8250089901,491.4800000000,491.5782960000,490.9300000000,490.8318140000,40,2.7500000000,10.5000000000,488.7300000000,501.9800000000,FORCED_EOD,65,-22.0000000000,7.8592800000,0.2800000000,8.1392800000,-30.1392800000
normal_dollar_bracket,2024-10-17 12:26:00-04:00,2024-10-17 12:27:00-04:00,2024-10-17 15:59:00-04:00,SHORT,HIGH,3.3876686943,0.0003280614,493.9879416290,494.1500000000,493.5340990148,494.1400000000,494.0411720000,491.3500000000,491.4482700000,40,2.7500000000,10.5000000000,496.8900000000,483.6400000000,FORCED_EOD,212,111.6000000000,7.8839200000,0.2800000000,8.1639200000,103.4360800000
normal_dollar_bracket,2024-10-18 12:48:00-04:00,2024-10-18 12:49:00-04:00,2024-10-18 15:59:00-04:00,LONG,LOW,-3.2428257086,-0.0016169949,495.5713363208,494.7700000000,494.4385278274,494.7600000000,494.8589520000,494.5100000000,494.4110980000,40,2.7500000000,10.5000000000,492.0100000000,505.2600000000,FORCED_EOD,190,-10.0000000000,7.9141600000,0.2800000000,8.1941600000,-18.1941600000
normal_dollar_bracket,2024-10-21 13:30:00-04:00,2024-10-21 13:31:00-04:00,2024-10-21 15:59:00-04:00,LONG,LOW,-3.0244828961,-0.0024895850,495.6833458153,494.4493000000,493.6983894777,494.4600000000,494.5588920000,495.4800000000,495.3809040000,40,2.7500000000,10.5000000000,491.7100000000,504.9600000000,FORCED_EOD,148,40.8000000000,7.9195200000,0.2800000000,8.1995200000,32.6004800000
normal_dollar_bracket,2024-10-22 15:54:00-04:00,2024-10-22 15:55:00-04:00,2024-10-22 15:59:00-04:00,SHORT,HIGH,3.1731312005,-0.0007677306,497.0776217114,496.6960000000,494.9869946124,496.7000000000,496.6006600000,496.0300000000,496.1292060000,40,2.7500000000,10.5000000000,499.4500000000,486.2000000000,FORCED_EOD,4,26.8000000000,7.9418400000,0.2800000000,8.2218400000,18.5781600000
normal_dollar_bracket,2024-10-23 13:58:00-04:00,2024-10-23 13:59:00-04:00,2024-10-23 15:59:00-04:00,SHORT,HIGH,3.0118903217,0.0041126513,484.1189874177,486.1100000000,490.6703374908,486.1100000000,486.0127780000,488.3700000000,488.4676740000,41,2.7500000000,10.5000000000,488.8600000000,475.6100000000,FORCED_EOD,120,-92.6600000000,7.9907360000,0.2870000000,8.2777360000,-100.9377360000
normal_dollar_bracket,2024-10-24 14:22:00-04:00,2024-10-24 14:23:00-04:00,2024-10-24 15:59:00-04:00,LONG,LOW,-3.4495587016,-0.0001995795,492.4382805698,492.3400000000,491.3033064937,492.3500000000,492.4484700000,492.3300000000,492.2315340000,40,2.7500000000,10.5000000000,489.6000000000,502.8500000000,FORCED_EOD,96,-0.8000000000,7.8774400000,0.2800000000,8.1574400000,-8.9574400000
normal_dollar_bracket,2024-10-25 13:13:00-04:00,2024-10-25 13:14:00-04:00,2024-10-25 15:59:00-04:00,SHORT,HIGH,3.2422980628,-0.0009166755,498.5870425343,498.1300000000,498.6203946125,498.1000000000,498.0003800000,495.2800000000,495.3790560000,40,2.7500000000,10.5000000000,500.8500000000,487.6000000000,FORCED_EOD,165,112.8000000000,7.9470400000,0.2800000000,8.2270400000,104.5729600000
normal_dollar_bracket,2024-10-28 14:43:00-04:00,2024-10-28 14:44:00-04:00,2024-10-28 15:59:00-04:00,SHORT,HIGH,3.0273313224,0.0001523168,495.8322764197,495.9078000000,496.8418647298,495.8900000000,495.7908220000,495.4000000000,495.4990800000,40,2.7500000000,10.5000000000,498.6400000000,485.3900000000,FORCED_EOD,75,19.6000000000,7.9303200000,0.2800000000,8.2103200000,11.3896800000
normal_dollar_bracket,2024-10-29 13:49:00-04:00,2024-10-29 13:50:00-04:00,2024-10-29 15:59:00-04:00,SHORT,HIGH,3.2754208214,-0.0004250062,499.8523403203,499.6399000000,497.5718042462,499.6000000000,499.5000800000,500.1400000000,500.2400280000,40,2.7500000000,10.5000000000,502.3500000000,489.1000000000,FORCED_EOD,129,-21.6000000000,7.9979200000,0.2800000000,8.2779200000,-29.8779200000
