window,warmup_bars,z_entry,hook_delta,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,convergence_exits,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
90,90,3.0000000000,0.1500000000,250,96960,275,193,275,372,1076.6339000000,2246.9603486198,74.7180000000,2172.2423486198,-1170.3264486198,-1.1703264486,37.0909090909,0.7968309868,-0.7889865304,-0.9279422834,1843.9069515399,1.8349899001,-4.2557325404,47.9600000000,0,0,165,110,0.0000000000,0.0000000000
90,90,3.0000000000,0.3000000000,250,96960,266,191,266,335,982.2058000000,2172.9804922398,72.2050000000,2100.7754922398,-1190.7746922398,-1.1907746922,36.4661654135,0.7894768258,-0.7986831198,-0.9434171540,1781.8239764399,1.7743612305,-4.4765965874,49.3045112782,0,0,158,108,0.0000000000,0.0000000000
90,90,3.0000000000,0.0000000000,250,96960,316,194,316,561,829.7540000000,2582.6099143997,85.8410000000,2496.7689143997,-1752.8559143997,-1.7528559144,32.9113924051,0.7204589469,-1.0833929623,-1.2202718245,2271.3710969799,2.2636555749,-5.5470123873,42.7594936709,0,0,204,112,0.0000000000,0.0000000000
60,60,3.0000000000,0.3000000000,250,96960,298,205,298,284,-97.1709000000,2434.7905257397,81.4660000000,2353.3245257397,-2531.9614257397,-2.5319614257,35.9060402685,0.6441145773,-1.6160163016,-1.8297748190,3030.7659019399,3.0210878067,-8.4965148515,54.0973154362,0,0,181,117,0.0000000000,0.0000000000
60,60,3.0000000000,0.1500000000,250,96960,305,206,305,293,-93.4240000000,2491.7497232798,83.4260000000,2408.3237232798,-2585.1737232797,-2.5851737233,35.4098360656,0.6424523203,-1.6446802367,-1.8629853714,3058.9014327799,3.0501751033,-8.4759794206,53.0163934426,0,0,187,118,0.0000000000,0.0000000000
60,60,3.0000000000,0.0000000000,250,96960,335,206,335,469,-230.8493000000,2737.2767724997,91.6160000000,2645.6607724997,-2968.1260724997,-2.9681260725,33.7313432836,0.6155428186,-1.6926553345,-1.8432137307,3521.9310476799,3.5088209978,-8.8600778284,49.0656716418,0,0,219,116,0.0000000000,0.0000000000
30,30,3.0000000000,0.0000000000,250,96960,296,196,296,221,-1364.0834000000,2420.1928394797,81.1090000000,2339.0838394797,-3784.2762394797,-3.7842762395,31.4189189189,0.5412326503,-1.8957441873,-2.1033261653,4077.6837294798,4.0776837295,-12.7847170253,52.6081081081,0,0,192,104,0.0000000000,0.0000000000
30,30,3.0000000000,0.1500000000,250,96960,292,196,292,137,-1021.8394000000,2387.2921209598,80.0380000000,2307.2541209598,-3409.1315209598,-3.4091315210,34.2465753425,0.5570920140,-1.9074261831,-2.1447308485,3735.3846949598,3.7353846950,-11.6751079485,52.5582191781,0,0,187,105,0.0000000000,0.0000000000
30,30,3.0000000000,0.3000000000,250,96960,292,196,292,132,-958.4632000000,2387.3156379198,80.0380000000,2307.2776379198,-3345.7788379198,-3.3457788379,34.5890410959,0.5625924585,-1.9316507799,-2.1936486347,3663.5330319198,3.6635330319,-11.4581467052,52.4657534247,0,0,187,105,0.0000000000,0.0000000000
60,60,2.5000000000,0.1500000000,250,96960,579,250,579,1906,-733.1570000000,4731.1932711195,158.2070000000,4572.9862711195,-5464.3502711196,-5.4643502711,38.1692573402,0.6379086645,-2.2361127163,-2.4193441226,5738.7573381196,5.7387573381,-9.4375652351,67.5388601036,0,0,391,188,0.0000000000,0.0000000000
60,60,2.5000000000,0.3000000000,250,96960,572,250,572,1839,-766.6675000000,4673.9663005395,156.2470000000,4517.7193005395,-5440.6338005396,-5.4406338005,37.2377622378,0.6342748347,-2.2560722617,-2.4362082980,5728.4446225396,5.7284446225,-9.5115975534,68.1101398601,0,0,384,188,0.0000000000,0.0000000000
30,30,2.5000000000,0.0000000000,250,96960,721,250,721,1891,-671.1694000000,5894.0298232794,196.5460000000,5697.4838232794,-6565.1992232794,-6.5651992233,35.5062413315,0.6534983585,-2.2744971073,-2.4885885994,7540.2111157995,7.5035068253,-9.1056854692,68.6130374480,0,0,529,192,0.0000000000,0.0000000000
30,30,2.5000000000,0.1500000000,250,96960,682,250,682,1563,-815.3834000000,5575.1484499194,185.9270000000,5389.2214499194,-6390.5318499194,-6.3905318499,38.1231671554,0.6516458693,-2.3108689145,-2.5199699627,7405.6769703195,7.3678511027,-9.3702813049,71.6099706745,0,0,491,191,0.0000000000,0.0000000000
30,30,2.5000000000,0.3000000000,250,96960,679,250,679,1532,-962.1837000000,5550.4450905794,185.0660000000,5365.3790905794,-6512.6287905794,-6.5126287906,37.9970544919,0.6453604142,-2.4055501902,-2.6326772176,7419.1104757396,7.3883724786,-9.5915004280,71.7511045655,0,0,488,191,0.0000000000,0.0000000000
60,60,2.5000000000,0.0000000000,250,96960,645,250,645,2375,-1097.3462000000,5272.3047155195,176.5960000000,5095.7087155195,-6369.6509155195,-6.3696509155,35.3488372093,0.6134637579,-2.4180149507,-2.6111592298,6621.8697795195,6.6218697795,-9.8754277760,61.7364341085,0,0,457,188,0.0000000000,0.0000000000
