variant,signal_time,entry_time,exit_time,direction,source_dislocation,signal_z,signal_residual,signal_fair_qqq,signal_qqq_close,signal_qqq_vwap,entry_reference,entry_price,exit_reference,exit_price,shares,stop_usd_per_share,target_usd_per_share,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
reverse_convergence,2024-08-22 11:30:00-04:00,2024-08-22 11:31:00-04:00,2024-08-22 15:59:00-04:00,LONG,HIGH,3.2410803802,0.0031743757,478.5209945817,480.0400000000,482.9534401724,480.0500000000,480.1460100000,474.8300000000,474.7350340000,41,,,,,FORCED_EOD,268,-214.0200000000,7.8300160000,0.2870000000,8.1170160000,-222.1370160000
reverse_convergence,2024-08-23 15:41:00-04:00,2024-08-23 15:42:00-04:00,2024-08-23 15:59:00-04:00,SHORT,LOW,-1.5708932924,-0.0008337551,480.0701609228,479.6699000000,479.0853724829,479.6300000000,479.5340740000,480.0200000000,480.1160040000,41,,,,,FORCED_EOD,17,-15.9900000000,7.8691300000,0.2870000000,8.1561300000,-24.1461300000
reverse_convergence,2024-08-26 15:49:00-04:00,2024-08-26 15:50:00-04:00,2024-08-26 15:59:00-04:00,SHORT,LOW,-2.0458763294,-0.0003628958,474.7122710896,474.5400000000,475.7573265079,474.5800000000,474.4850840000,475.3300000000,475.4250660000,42,,,,,FORCED_EOD,9,-31.5000000000,7.9792440000,0.2940000000,8.2732440000,-39.7732440000
reverse_convergence,2024-08-27 14:08:00-04:00,2024-08-27 14:09:00-04:00,2024-08-27 15:59:00-04:00,SHORT,LOW,-2.4680776536,-0.0025272956,478.7349046041,477.5250000000,475.7439138891,477.5100000000,477.4144980000,476.8300000000,476.9253660000,41,,,,,FORCED_EOD,110,27.8800000000,7.8255880000,0.2870000000,8.1125880000,19.7674120000
reverse_convergence,2024-08-29 14:01:00-04:00,2024-08-29 14:02:00-04:00,2024-08-29 15:59:00-04:00,LONG,HIGH,2.7051973008,0.0030426925,473.9678615203,475.4100000000,476.0551103650,475.4000000000,475.4950800000,470.6800000000,470.5858640000,42,,,,,FORCED_EOD,117,-198.2400000000,7.9470720000,0.2940000000,8.2410720000,-206.4810720000
reverse_convergence,2024-08-30 15:51:00-04:00,2024-08-30 15:52:00-04:00,2024-08-30 15:55:00-04:00,SHORT,LOW,-3.2381782372,-0.0008255492,476.5233934967,476.1300000000,473.8368645334,476.1000000000,476.0047800000,475.7900000000,475.8851580000,42,,,,,CONVERGENCE,3,13.0200000000,7.9958760000,0.2940000000,8.2898760000,4.7301240000
reverse_convergence,2024-09-03 15:27:00-04:00,2024-09-03 15:28:00-04:00,2024-09-03 15:59:00-04:00,LONG,HIGH,2.1206275632,0.0026017655,461.2599098833,462.4600000000,466.6335305973,462.4750000000,462.5674950000,461.8400000000,461.7476320000,43,,,,,FORCED_EOD,31,-27.3050000000,7.9491090000,0.3010000000,8.2501090000,-35.5551090000
reverse_convergence,2024-09-04 11:22:00-04:00,2024-09-04 11:23:00-04:00,2024-09-04 11:24:00-04:00,LONG,HIGH,2.7273434360,-0.0017517852,463.3602075704,462.5485000000,460.9949991586,462.5100000000,462.6025020000,462.7300000000,462.6374540000,43,,,,,CONVERGENCE,1,9.4600000000,7.9570640000,0.3010000000,8.2580640000,1.2019360000
reverse_convergence,2024-09-04 12:47:00-04:00,2024-09-04 12:48:00-04:00,2024-09-04 12:49:00-04:00,LONG,HIGH,2.4116983270,-0.0011262633,463.2116983337,462.6900000000,461.3024717495,462.6800000000,462.7725360000,462.4500000000,462.3575100000,43,,,,,CONVERGENCE,1,-9.8900000000,7.9561180000,0.3010000000,8.2571180000,-18.1471180000
reverse_convergence,2024-09-04 15:09:00-04:00,2024-09-04 15:10:00-04:00,2024-09-04 15:52:00-04:00,LONG,HIGH,2.3803758517,0.0013632698,459.0042533450,459.6300000000,461.4076754580,459.6200000000,459.7119240000,461.8300000000,461.7376340000,43,,,,,CONVERGENCE,42,95.0300000000,7.9244700000,0.3010000000,8.2254700000,86.8045300000
