stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
11.2500000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,252.7817000000,1643.8552234598,55.2720000000,1588.5832234598,-1391.0735234598,-1.3910735235,39.3034825871,0.8428352422,-0.6926726172,-1.1402821657,2497.9950707199,2.4785525869,-6.9207637983,161.3731343284,2.0000000000,3.0000000000,196.0000000000,441.9402985075,540.1492537313
11.5000000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,230.0317000000,1643.8551734598,55.2720000000,1588.5831734598,-1413.8234734598,-1.4138234735,39.3034825871,0.8406744482,-0.7028684330,-1.1532883626,2520.7450207199,2.5011254686,-7.0339476292,161.3731343284,2.0000000000,3.0000000000,196.0000000000,451.7611940299,540.1492537313
11.7500000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,207.2817000000,1643.8551234598,55.2720000000,1588.5831234598,-1436.5734234598,-1.4365734235,39.3034825871,0.8385247051,-0.7129843557,-1.1660024395,2543.4949707199,2.5236983504,-7.1471314600,161.3781094527,2.0000000000,3.0000000000,196.0000000000,461.5820895522,540.1492537313
11.2500000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,217.5317000000,1643.8527734598,55.2720000000,1588.5807734598,-1426.3210734598,-1.4263210735,39.3034825871,0.8388529418,-0.7159512916,-1.1697684313,2509.7427207199,2.4907895794,-7.0961247436,161.2835820896,2.0000000000,3.0000000000,196.0000000000,441.9402985075,530.3283582090
12.0000000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,184.5317000000,1643.8550734598,55.2720000000,1588.5830734598,-1459.3233734598,-1.4593233735,39.3034825871,0.8363859285,-0.7230192829,-1.1784195360,2566.2449207199,2.5462712322,-7.2603152908,161.3830845771,2.0000000000,3.0000000000,196.0000000000,471.4029850746,540.1492537313
11.5000000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,194.7817000000,1643.8527234598,55.2720000000,1588.5807234598,-1449.0710234598,-1.4490710235,39.3034825871,0.8367023573,-0.7261459974,-1.1825261305,2532.4926707199,2.5133677257,-7.2093085744,161.2835820896,2.0000000000,3.0000000000,196.0000000000,451.7611940299,530.3283582090
12.2500000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,161.7817000000,1643.8550234598,55.2720000000,1588.5830234598,-1482.0733234598,-1.4820733235,39.3034825871,0.8342580347,-0.7329721688,-1.1905418184,2588.9948707199,2.5688441140,-7.3734991217,161.3830845771,2.0000000000,3.0000000000,196.0000000000,481.2238805970,540.1492537313
11.7500000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,172.0317000000,1643.8526734598,55.2720000000,1588.5806734598,-1471.8209734598,-1.4718209735,39.3034825871,0.8345627715,-0.7362576570,-1.1949823450,2555.2426207199,2.5359458721,-7.3224924053,161.2885572139,2.0000000000,3.0000000000,196.0000000000,461.5820895522,530.3283582090
11.2500000000,13.2500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,182.2817000000,1643.8503234598,55.2720000000,1588.5783234598,-1461.5686234598,-1.4615686235,39.3034825871,0.8348706414,-0.7394848681,-1.1991412284,2521.4903707199,2.5030322812,-7.2714856889,161.2835820896,2.0000000000,3.0000000000,196.0000000000,441.9402985075,520.5074626866
11.0000000000,13.7500000000,250.0000000000,96960.0000000000,202.0000000000,196.0000000000,202.0000000000,251.0000000000,147.8623000000,1652.1577075798,55.5800000000,1596.5777075798,-1504.2954075798,-1.5042954076,39.1089108911,0.8321899418,-0.7405256167,-1.1935067834,2611.2169548399,2.5908932384,-7.4470069682,159.8168316832,4.0000000000,3.0000000000,195.0000000000,432.3762376238,540.4702970297
12.5000000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,139.0317000000,1643.8549734598,55.2720000000,1588.5829734598,-1504.8232734598,-1.5048232735,39.3034825871,0.8321409407,-0.7428420238,-1.2023717665,2611.7448207199,2.5914169958,-7.4866829525,161.3880597015,2.0000000000,3.0000000000,196.0000000000,491.0447761194,540.1492537313
12.0000000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,149.2817000000,1643.8526234598,55.2720000000,1588.5806234598,-1494.5709234598,-1.4945709235,39.3034825871,0.8324341004,-0.7462851999,-1.2071392593,2577.9925707199,2.5585240184,-7.4356762361,161.2935323383,2.0000000000,3.0000000000,196.0000000000,471.4029850746,530.3283582090
11.5000000000,13.2500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,159.5317000000,1643.8502734598,55.2720000000,1588.5782734598,-1484.3185734598,-1.4843185735,39.3034825871,0.8327302664,-0.7496740780,-1.2116386285,2544.2403207199,2.5256156945,-7.3846695197,161.2835820896,2.0000000000,3.0000000000,196.0000000000,451.7611940299,520.5074626866
12.7500000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,116.2817000000,1643.8549234598,55.2720000000,1588.5829234598,-1527.5732234598,-1.5275732235,39.3034825871,0.8300345647,-0.7526279147,-1.2139121525,2634.4947707199,2.6139898775,-7.5998667834,161.3930348259,2.0000000000,3.0000000000,196.0000000000,500.8656716418,540.1492537313
12.2500000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,126.5317000000,1643.8525734598,55.2720000000,1588.5805734598,-1517.3208734598,-1.5173208735,39.3034825871,0.8303162606,-0.7562276139,-1.2189993816,2600.7425207199,2.5811021647,-7.5488600670,161.2935323383,2.0000000000,3.0000000000,196.0000000000,481.2238805970,530.3283582090
11.7500000000,13.2500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,136.7817000000,1643.8502234598,55.2720000000,1588.5782234598,-1507.0685234598,-1.5070685235,39.3034825871,0.8306008379,-0.7597770404,-1.2238321535,2566.9902707199,2.5481991079,-7.4978533505,161.2885572139,2.0000000000,3.0000000000,196.0000000000,461.5820895522,520.5074626866
13.0000000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,93.5317000000,1643.8548734598,55.2720000000,1588.5828734598,-1550.3231734598,-1.5503231735,39.3034825871,0.8279388253,-0.7623289643,-1.2251660191,2657.2447207199,2.6365627593,-7.7130506142,161.3930348259,2.0000000000,3.0000000000,196.0000000000,510.6865671642,540.1492537313
11.2500000000,13.0000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,147.0317000000,1643.8478734598,55.2720000000,1588.5758734598,-1496.8161734598,-1.4968161735,39.3034825871,0.8308883410,-0.7632680138,-1.2283857158,2533.2380207199,2.5152806963,-7.4468466341,161.2736318408,2.0000000000,3.0000000000,196.0000000000,441.9402985075,510.6865671642
11.0000000000,13.5000000000,250.0000000000,96960.0000000000,202.0000000000,196.0000000000,202.0000000000,251.0000000000,112.6123000000,1652.1552575798,55.5800000000,1596.5752575798,-1539.5429575798,-1.5395429576,39.1089108911,0.8282579392,-0.7638240849,-1.2220323467,2622.9646048399,2.6031564315,-7.6214997900,159.7277227723,4.0000000000,3.0000000000,195.0000000000,432.3762376238,530.6435643564
12.5000000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,103.7817000000,1643.8525234598,55.2720000000,1588.5805234598,-1540.0708234598,-1.5400708235,39.3034825871,0.8282091697,-0.7660839457,-1.2305655224,2623.4924707199,2.6036803110,-7.6620438978,161.2985074627,2.0000000000,3.0000000000,196.0000000000,491.0447761194,530.3283582090
12.0000000000,13.2500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,114.0317000000,1643.8501734598,55.2720000000,1588.5781734598,-1529.8184734598,-1.5298184735,39.3034825871,0.8284822722,-0.7697927200,-1.2357243378,2589.7402207199,2.5707825212,-7.6110371814,161.2935323383,2.0000000000,3.0000000000,196.0000000000,471.4029850746,520.5074626866
6.2500000000,13.5000000000,250.0000000000,96960.0000000000,205.0000000000,196.0000000000,205.0000000000,247.0000000000,516.8443000000,1676.8238239798,56.4900000000,1620.3338239798,-1159.9795239798,-1.1599795240,39.5121951220,0.8693242889,-0.7719415714,-1.1608427625,1587.9636188399,1.5862902176,-5.6584367023,155.7512195122,8.0000000000,3.0000000000,194.0000000000,246.0365853659,531.4390243902
13.2500000000,13.7500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,70.7817000000,1643.8548234598,55.2720000000,1588.5828234598,-1573.0731234598,-1.5730731235,39.3034825871,0.8258536423,-0.7719443514,-1.2361366588,2679.9946707199,2.6591356411,-7.8262344451,161.3930348259,2.0000000000,3.0000000000,196.0000000000,520.5074626866,540.1492537313
11.5000000000,13.0000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,124.2817000000,1643.8478234598,55.2720000000,1588.5758234598,-1519.5661234598,-1.5195661235,39.3034825871,0.8287581754,-0.7734471697,-1.2406179294,2555.9879707199,2.5378693791,-7.5600304650,161.2736318408,2.0000000000,3.0000000000,196.0000000000,451.7611940299,510.6865671642
12.7500000000,13.5000000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,81.0317000000,1643.8524734598,55.2720000000,1588.5804734598,-1562.8207734598,-1.5628207735,39.3034825871,0.8261127460,-0.7758533001,-1.2418407718,2646.2424207199,2.6262584574,-7.7752277287,161.3034825871,2.0000000000,3.0000000000,196.0000000000,500.8656716418,530.3283582090
12.2500000000,13.2500000000,250.0000000000,96960.0000000000,201.0000000000,196.0000000000,201.0000000000,253.0000000000,91.2817000000,1643.8501234598,55.2720000000,1588.5781234598,-1552.5684234598,-1.5525684235,39.3034825871,0.8263744865,-0.7797201426,-1.2473180283,2612.4901707199,2.5933659345,-7.7242210122,161.2935323383,2.0000000000,3.0000000000,196.0000000000,481.2238805970,520.5074626866
