variant,signal_time,entry_time,exit_time,direction,source_dislocation,signal_z,signal_residual,signal_fair_qqq,signal_qqq_close,signal_qqq_vwap,entry_reference,entry_price,exit_reference,exit_price,shares,stop_usd_per_share,target_usd_per_share,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
reverse_dollar_bracket,2024-08-22 11:30:00-04:00,2024-08-22 11:31:00-04:00,2024-08-22 15:59:00-04:00,LONG,HIGH,3.2410803802,0.0031743757,478.5209945817,480.0400000000,482.9534401724,480.0500000000,480.1460100000,474.8300000000,474.7350340000,41,11.0000000000,13.7500000000,469.0500000000,493.8000000000,FORCED_EOD,268,-214.0200000000,7.8300160000,0.2870000000,8.1170160000,-222.1370160000
reverse_dollar_bracket,2024-08-23 15:41:00-04:00,2024-08-23 15:42:00-04:00,2024-08-23 15:59:00-04:00,SHORT,LOW,-1.5708932924,-0.0008337551,480.0701609228,479.6699000000,479.0853724829,479.6300000000,479.5340740000,480.0200000000,480.1160040000,41,11.0000000000,13.7500000000,490.6300000000,465.8800000000,FORCED_EOD,17,-15.9900000000,7.8691300000,0.2870000000,8.1561300000,-24.1461300000
reverse_dollar_bracket,2024-08-26 15:49:00-04:00,2024-08-26 15:50:00-04:00,2024-08-26 15:59:00-04:00,SHORT,LOW,-2.0458763294,-0.0003628958,474.7122710896,474.5400000000,475.7573265079,474.5800000000,474.4850840000,475.3300000000,475.4250660000,42,11.0000000000,13.7500000000,485.5800000000,460.8300000000,FORCED_EOD,9,-31.5000000000,7.9792440000,0.2940000000,8.2732440000,-39.7732440000
reverse_dollar_bracket,2024-08-27 14:08:00-04:00,2024-08-27 14:09:00-04:00,2024-08-27 15:59:00-04:00,SHORT,LOW,-2.4680776536,-0.0025272956,478.7349046041,477.5250000000,475.7439138891,477.5100000000,477.4144980000,476.8300000000,476.9253660000,41,11.0000000000,13.7500000000,488.5100000000,463.7600000000,FORCED_EOD,110,27.8800000000,7.8255880000,0.2870000000,8.1125880000,19.7674120000
reverse_dollar_bracket,2024-08-29 14:01:00-04:00,2024-08-29 14:02:00-04:00,2024-08-29 15:59:00-04:00,LONG,HIGH,2.7051973008,0.0030426925,473.9678615203,475.4100000000,476.0551103650,475.4000000000,475.4950800000,470.6800000000,470.5858640000,42,11.0000000000,13.7500000000,464.4000000000,489.1500000000,FORCED_EOD,117,-198.2400000000,7.9470720000,0.2940000000,8.2410720000,-206.4810720000
reverse_dollar_bracket,2024-08-30 15:51:00-04:00,2024-08-30 15:52:00-04:00,2024-08-30 15:59:00-04:00,SHORT,LOW,-3.2381782372,-0.0008255492,476.5233934967,476.1300000000,473.8368645334,476.1000000000,476.0047800000,476.3900000000,476.4852780000,42,11.0000000000,13.7500000000,487.1000000000,462.3500000000,FORCED_EOD,7,-12.1800000000,8.0009160000,0.2940000000,8.2949160000,-20.4749160000
reverse_dollar_bracket,2024-09-03 15:27:00-04:00,2024-09-03 15:28:00-04:00,2024-09-03 15:59:00-04:00,LONG,HIGH,2.1206275632,0.0026017655,461.2599098833,462.4600000000,466.6335305973,462.4750000000,462.5674950000,461.8400000000,461.7476320000,43,11.0000000000,13.7500000000,451.4750000000,476.2250000000,FORCED_EOD,31,-27.3050000000,7.9491090000,0.3010000000,8.2501090000,-35.5551090000
reverse_dollar_bracket,2024-09-04 11:22:00-04:00,2024-09-04 11:23:00-04:00,2024-09-04 15:59:00-04:00,LONG,HIGH,2.7273434360,-0.0017517852,463.3602075704,462.5485000000,460.9949991586,462.5100000000,462.6025020000,460.6200000000,460.5278760000,43,11.0000000000,13.7500000000,451.5100000000,476.2600000000,FORCED_EOD,276,-81.2700000000,7.9389180000,0.3010000000,8.2399180000,-89.5099180000
reverse_dollar_bracket,2024-09-06 12:05:00-04:00,2024-09-06 12:06:00-04:00,2024-09-06 15:59:00-04:00,LONG,HIGH,1.8243161203,0.0035905345,447.2939755426,448.9000000000,453.5348722921,448.8700000000,448.9597740000,448.8700000000,448.7802260000,44,11.0000000000,13.7500000000,437.8700000000,462.6200000000,FORCED_EOD,233,0.0000000000,7.9001120000,0.3080000000,8.2081120000,-8.2081120000
reverse_dollar_bracket,2024-09-09 12:39:00-04:00,2024-09-09 12:40:00-04:00,2024-09-09 15:59:00-04:00,LONG,HIGH,2.1542183943,0.0007756308,453.8329931534,454.1850000000,452.8040520127,454.1900000000,454.2808380000,454.5100000000,454.4190980000,44,11.0000000000,13.7500000000,443.1900000000,467.9400000000,FORCED_EOD,199,14.0800000000,7.9965600000,0.3080000000,8.3045600000,5.7754400000
reverse_dollar_bracket,2024-09-10 15:32:00-04:00,2024-09-10 15:33:00-04:00,2024-09-10 15:59:00-04:00,SHORT,LOW,-2.9365050112,0.0009089245,458.7030735348,459.1200000000,456.1342379189,459.1300000000,459.0381740000,458.6700000000,458.7617340000,43,11.0000000000,13.7500000000,470.1300000000,445.3800000000,FORCED_EOD,26,19.7800000000,7.8930800000,0.3010000000,8.1940800000,11.5859200000
reverse_dollar_bracket,2024-09-11 14:29:00-04:00,2024-09-11 14:30:00-04:00,2024-09-11 15:59:00-04:00,SHORT,LOW,-2.6303916809,-0.0027451157,466.4103503551,465.1300000000,458.3156440408,465.1499000000,465.0568700200,468.4500000000,468.5436900000,43,11.0000000000,13.7500000000,476.1499000000,451.3999000000,FORCED_EOD,89,-141.9043000000,8.0289591400,0.3010000000,8.3299591400,-150.2342591400
reverse_dollar_bracket,2024-09-12 13:28:00-04:00,2024-09-12 13:29:00-04:00,2024-09-12 15:59:00-04:00,SHORT,LOW,-2.7896137462,-0.0011272475,472.9080844490,472.3750000000,469.6106605393,472.3750000000,472.2805250000,473.2400000000,473.3346480000,42,11.0000000000,13.7500000000,483.3750000000,458.6250000000,FORCED_EOD,150,-36.3300000000,7.9431660000,0.2940000000,8.2371660000,-44.5671660000
reverse_dollar_bracket,2024-09-13 11:38:00-04:00,2024-09-13 11:39:00-04:00,2024-09-13 15:59:00-04:00,LONG,HIGH,2.3846811443,0.0001743773,474.7472148531,474.8300000000,474.4038030412,474.8500000000,474.9449700000,475.3400000000,475.2449320000,42,11.0000000000,13.7500000000,463.8500000000,488.6000000000,FORCED_EOD,260,20.5800000000,7.9815960000,0.2940000000,8.2755960000,12.3044040000
reverse_dollar_bracket,2024-09-16 13:08:00-04:00,2024-09-16 13:09:00-04:00,2024-09-16 15:59:00-04:00,SHORT,LOW,-1.5838613547,0.0011403040,471.2125744274,471.7499000000,471.7002039312,471.7300000000,471.6356540000,473.2200000000,473.3146440000,42,11.0000000000,13.7500000000,482.7300000000,457.9800000000,FORCED_EOD,170,-62.5800000000,7.9375800000,0.2940000000,8.2315800000,-70.8115800000
reverse_dollar_bracket,2024-09-17 11:47:00-04:00,2024-09-17 11:48:00-04:00,2024-09-17 15:59:00-04:00,SHORT,LOW,-2.1730292707,0.0010391187,475.0963185106,475.5900000000,476.0441990318,475.5500000000,475.4548900000,473.5100000000,473.6047020000,42,11.0000000000,13.7500000000,486.5500000000,461.8000000000,FORCED_EOD,251,85.6800000000,7.9721040000,0.2940000000,8.2661040000,77.4138960000
reverse_dollar_bracket,2024-09-20 12:09:00-04:00,2024-09-20 12:10:00-04:00,2024-09-20 15:59:00-04:00,SHORT,LOW,-2.1231851334,0.0010359472,481.1016041166,481.6000000000,481.0501181034,481.5800000000,481.4836840000,482.4200000000,482.5164840000,41,11.0000000000,13.7500000000,492.5800000000,467.8300000000,FORCED_EOD,229,-34.4400000000,7.9048000000,0.2870000000,8.1918000000,-42.6318000000
reverse_dollar_bracket,2024-09-26 14:43:00-04:00,2024-09-26 14:44:00-04:00,2024-09-26 15:59:00-04:00,LONG,HIGH,2.4742088527,0.0020851085,488.2170145725,489.2350000000,489.0350231054,489.2300000000,489.3278460000,489.4400000000,489.3421120000,40,11.0000000000,13.7500000000,478.2300000000,502.9800000000,FORCED_EOD,75,8.4000000000,7.8293600000,0.2800000000,8.1093600000,0.2906400000
reverse_dollar_bracket,2024-09-27 14:30:00-04:00,2024-09-27 14:31:00-04:00,2024-09-27 15:59:00-04:00,LONG,HIGH,1.7760597345,0.0023113396,485.0887950642,486.2100000000,488.1408318470,486.2000000000,486.2972400000,486.7800000000,486.6826440000,41,11.0000000000,13.7500000000,475.2000000000,499.9500000000,FORCED_EOD,88,23.7800000000,7.9784360000,0.2870000000,8.2654360000,15.5145640000
reverse_dollar_bracket,2024-09-30 13:12:00-04:00,2024-09-30 13:13:00-04:00,2024-09-30 15:59:00-04:00,LONG,HIGH,2.2487865857,-0.0006920970,486.2465297568,485.9100000000,486.4478954169,485.9000000000,485.9971800000,488.0500000000,487.9523900000,41,11.0000000000,13.7500000000,474.9000000000,499.6500000000,FORCED_EOD,166,88.1500000000,7.9863900000,0.2870000000,8.2733900000,79.8766100000
reverse_dollar_bracket,2024-10-02 14:21:00-04:00,2024-10-02 14:22:00-04:00,2024-10-02 15:59:00-04:00,SHORT,LOW,-2.4225119338,-0.0011591030,483.4907155167,482.9303000000,481.5702915065,482.9400000000,482.8434120000,481.9400000000,482.0363880000,41,11.0000000000,13.7500000000,493.9400000000,469.1900000000,FORCED_EOD,97,41.0000000000,7.9120160000,0.2870000000,8.1990160000,32.8009840000
reverse_dollar_bracket,2024-10-03 15:51:00-04:00,2024-10-03 15:52:00-04:00,2024-10-03 15:59:00-04:00,SHORT,LOW,-2.4800387340,-0.0004998251,481.3205760930,481.0800000000,481.3899488385,481.0600000000,480.9637880000,481.6300000000,481.7263260000,41,11.0000000000,13.7500000000,492.0600000000,467.3100000000,FORCED_EOD,7,-23.3700000000,7.8940580000,0.2870000000,8.1810580000,-31.5510580000
reverse_dollar_bracket,2024-10-04 14:31:00-04:00,2024-10-04 14:32:00-04:00,2024-10-04 15:59:00-04:00,SHORT,LOW,-2.2370198515,-0.0004506846,485.6088564234,485.3900000000,484.9140074841,485.3405000000,485.2434319000,487.4900000000,487.5874980000,41,11.0000000000,13.7500000000,496.3405000000,471.5905000000,FORCED_EOD,87,-88.1295000000,7.9772101000,0.2870000000,8.2642101000,-96.3937101000
reverse_dollar_bracket,2024-10-07 15:24:00-04:00,2024-10-07 15:25:00-04:00,2024-10-07 15:59:00-04:00,SHORT,LOW,-1.8659583330,-0.0005504858,482.5756510562,482.3100000000,484.6506757203,482.3106000000,482.2141378800,482.0600000000,482.1564120000,41,11.0000000000,13.7500000000,493.3106000000,468.5606000000,FORCED_EOD,34,10.2746000000,7.9078389200,0.2870000000,8.1948389200,2.0797610800
reverse_dollar_bracket,2024-10-09 10:07:00-04:00,2024-10-09 10:08:00-04:00,2024-10-09 15:59:00-04:00,SHORT,LOW,-2.5690763610,-0.0016105401,490.1393891174,489.3500000000,488.6364721872,489.2800000000,489.1821440000,493.1700000000,493.2686340000,40,11.0000000000,13.7500000000,500.2800000000,475.5300000000,FORCED_EOD,351,-155.6000000000,7.8596000000,0.2800000000,8.1396000000,-163.7396000000
reverse_dollar_bracket,2024-10-10 12:17:00-04:00,2024-10-10 12:18:00-04:00,2024-10-10 15:59:00-04:00,SHORT,LOW,-1.4468135740,-0.0006527112,494.6378556596,494.3150000000,492.0634708648,494.3400000000,494.2411320000,492.6000000000,492.6985200000,40,11.0000000000,13.7500000000,505.3400000000,480.5900000000,FORCED_EOD,221,69.6000000000,7.8955200000,0.2800000000,8.1755200000,61.4244800000
