stop_usd,target_usd,rr,development_candidate_entries,development_skipped_overlaps,development_trades,development_gross_pnl,development_costs,development_net_pnl,development_win_rate_pct,development_profit_factor,development_net_sharpe,development_max_drawdown_usd,development_max_drawdown_pct,development_stops,development_targets,development_forced_eod,development_avg_net_trade,development_avg_gross_risk_usd,development_avg_gross_reward_usd,validation_candidate_entries,validation_skipped_overlaps,validation_trades,validation_gross_pnl,validation_costs,validation_net_pnl,validation_win_rate_pct,validation_profit_factor,validation_net_sharpe,validation_max_drawdown_usd,validation_max_drawdown_pct,validation_stops,validation_targets,validation_forced_eod,validation_avg_net_trade,validation_avg_gross_risk_usd,validation_avg_gross_reward_usd,dev_net_sharpe,robust_score
2.0,1.25,0.625,410,180,230,3931.342799999984,2005.9929213198004,1925.3498786801842,61.30434782608696,1.1452153644854133,1.240161756898309,1858.4910333799635,1.8172755331312507,46,109,75,8.37108642904428,216.3304347826087,135.20652173913044,221,94,127,2421.6238999999937,1100.940608339883,1320.683291660111,61.417322834645674,1.2014335308078292,1.6542031596630358,1191.395385839991,1.1653698336426017,24,60,43,10.399081036693788,203.63779527559055,127.27362204724409,1.240161756898309,1.240161756898309
3.0,1.25,0.4166666666666667,410,204,206,3887.347799999996,1797.1075321998069,2090.2402678001895,63.59223300970874,1.172302545931252,1.2088617139266253,2760.9424023799656,2.6841870196300284,24,103,79,10.146797416505775,324.84466019417476,135.35194174757282,221,105,116,3954.5252999999975,1006.5742032198928,2947.9510967801048,67.24137931034483,1.5888220788309666,4.10359935630312,1141.8747177600017,1.1131377657221169,8,61,47,25.413371523966422,308.19827586206895,128.41594827586206,1.2088617139266253,1.2088617139266253
2.5,1.25,0.5,410,201,209,3822.6757999999923,1823.2300883998068,1999.4457116001868,62.67942583732058,1.165188440824051,1.1994879699611907,2099.420102379954,2.0445547324160063,30,101,78,9.566725892823861,270.7894736842105,135.39473684210526,221,100,121,3555.1452999999974,1049.5283126198872,2505.6169873801114,65.28925619834712,1.4493267765017874,3.4294918420711538,948.336017759997,0.9223116261820183,13,62,46,20.707578408100094,255.6611570247934,127.8305785123967,1.1994879699611907,1.1994879699611907
2.25,1.25,0.5555555555555556,410,192,218,3704.5127999999827,1901.6464535597904,1802.8663464401934,61.92660550458715,1.1428037833991767,1.1451268492125366,1791.4021523799602,1.74802858374901,38,103,77,8.27002911211098,243.58830275229357,135.3268348623853,221,98,123,3149.3437999999974,1066.7378123198841,2082.605987680114,63.41463414634146,1.3548281066837087,2.6726454316278705,963.1931297400006,0.9410491171579602,17,61,45,16.931755997399303,229.82926829268294,127.6829268292683,1.1451268492125366,1.1451268492125366
1.75,1.25,0.7142857142857143,410,176,234,3742.555399999983,2040.945504319774,1701.6098956802082,58.97435897435898,1.1276631219218616,1.1178136686146625,1644.1102890599577,1.6123901122583248,56,108,70,7.27183716102653,189.23931623931625,135.17094017094018,221,90,131,3047.198899999994,1135.6480613398785,1911.5508386601161,61.06870229007634,1.3065081087823163,2.525275708774039,1047.376085839991,1.0224834881983151,26,61,44,14.591991134810048,178.36641221374046,127.40458015267176,1.1178136686146625,1.1178136686146625
2.75,1.25,0.45454545454545453,410,203,207,2952.880799999993,1805.8175991198004,1147.0632008801929,62.31884057971014,1.0902096773103336,0.6605599210672164,2430.18125237996,2.3755871255409136,29,100,78,5.541368120194169,297.7705314009662,135.3502415458937,221,103,118,3803.9852999999976,1023.8912672198912,2780.0940327801068,66.94915254237289,1.5241076381796617,3.8177897495404403,1045.1053677599994,1.0169692909087973,10,62,46,23.56011892186531,282.41101694915255,128.36864406779662,0.6605599210672164,0.6605599210672164
2.0,1.0,0.5,410,162,248,2755.4886999999776,2162.35110341977,593.1375965802079,62.903225806451616,1.044374430561876,0.41586218791012336,2077.2188216799404,2.0453603669139624,45,131,72,2.3916838571782573,216.08870967741936,108.04435483870968,221,86,135,1721.9028999999928,1170.6272968198914,551.2756031801015,62.22222222222222,1.0832352978921258,0.7135681195776582,1233.035412919955,1.2114199139442186,23,73,39,4.08352298651927,204.4,102.2,0.41586218791012336,0.41586218791012336
1.75,1.0,0.5714285714285714,410,158,252,2677.7316999999757,2197.302080819741,480.42961918023434,61.111111111111114,1.035737547841308,0.35149040643373425,1872.6561535399087,1.8474097609284474,55,131,66,1.9064667427787076,189.03472222222223,108.01984126984127,221,81,140,2424.9470999999935,1213.967383659884,1210.9797163401097,62.142857142857146,1.1914750372686747,1.6655187545668906,1043.6553358399833,1.0232487149951317,25,77,38,8.649855116715068,178.85,102.2,0.35149040643373425,0.35149040643373425
2.25,1.75,0.7777777777777778,410,224,186,2144.8061999999964,1622.1885762398144,522.6176237601827,55.91397849462365,1.0409045076890169,0.3492947927208308,2372.5672748999496,2.348009958097951,38,60,88,2.8097721707536705,243.29032258064515,189.2258064516129,221,114,107,4019.9583999999927,927.9629658398998,3091.995434160094,60.747663551401864,1.5554074813939702,3.779406858329471,938.0192013999767,0.9016813125385625,17,43,47,28.897153590281253,230.21495327102804,179.05607476635515,0.3492947927208308,0.3492947927208308
2.25,0.75,0.3333333333333333,410,139,271,2802.477099999999,2362.99057429974,439.48652570025956,69.74169741697416,1.0347813098195444,0.3282603916567006,1459.0857918999245,1.4475149271023378,36,174,61,1.6217214970489282,243.2241697416974,81.07472324723247,221,72,149,2921.442999999997,1292.9794261198479,1628.4635738801492,72.48322147651007,1.3072629410880574,2.549772804303488,839.2688443599618,0.8235487965021521,13,100,36,10.929285730739256,231.29697986577182,77.0989932885906,0.3282603916567006,0.3282603916567006
