stop_usd,target_usd,rr,development_candidate_entries,development_skipped_overlaps,development_trades,development_gross_pnl,development_costs,development_net_pnl,development_win_rate_pct,development_profit_factor,development_net_sharpe,development_max_drawdown_usd,development_max_drawdown_pct,development_stops,development_targets,development_forced_eod,development_avg_net_trade,development_avg_gross_risk_usd,development_avg_gross_reward_usd,validation_candidate_entries,validation_skipped_overlaps,validation_trades,validation_gross_pnl,validation_costs,validation_net_pnl,validation_win_rate_pct,validation_profit_factor,validation_net_sharpe,validation_max_drawdown_usd,validation_max_drawdown_pct,validation_stops,validation_targets,validation_forced_eod,validation_avg_net_trade,validation_avg_gross_risk_usd,validation_avg_gross_reward_usd,selected,holdout_candidate_entries,holdout_skipped_overlaps,holdout_trades,holdout_gross_pnl,holdout_costs,holdout_net_pnl,holdout_win_rate_pct,holdout_profit_factor,holdout_net_sharpe,holdout_max_drawdown_usd,holdout_max_drawdown_pct,holdout_stops,holdout_targets,holdout_forced_eod,holdout_avg_net_trade,holdout_avg_gross_risk_usd,holdout_avg_gross_reward_usd,full_candidate_entries,full_skipped_overlaps,full_trades,full_gross_pnl,full_costs,full_net_pnl,full_win_rate_pct,full_profit_factor,full_net_sharpe,full_max_drawdown_usd,full_max_drawdown_pct,full_stops,full_targets,full_forced_eod,full_avg_net_trade,full_avg_gross_risk_usd,full_avg_gross_reward_usd
0.25,0.25,1.0,410,2,408,-155.25,3558.468155479648,-3713.718155479648,49.26470588235294,0.4985226105474532,-9.95084098413457,3820.027755439689,3.817357694142487,207,201,0,-9.10225038107757,27.072916666666668,27.072916666666668,221,0,221,510.57499999999675,1919.2038622797966,-1408.6288622798,53.84615384615385,0.592305155564032,-6.44759575692848,1422.7737202798016,1.4227737202798016,100,117,4,-6.373886254659729,25.923076923076923,25.923076923076923,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.5,2.0,410,8,402,277.2394999999997,3506.067627379646,-3228.828127379647,34.32835820895522,0.6582745484292611,-6.015303592279569,3714.7695595397236,3.7085680511909356,264,135,3,-8.031910764625987,27.073383084577113,54.146766169154226,221,2,219,355.4549999999964,1901.8052823597998,-1546.3502823598033,35.61643835616438,0.6789340411137527,-5.605131879990232,1554.9924743597949,1.554858100537419,139,74,6,-7.060960193423759,25.918949771689498,51.837899543378995,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.75,3.0,410,21,389,447.1876999999976,3392.504105459652,-2945.3164054596546,26.47814910025707,0.7120848267077491,-4.33385181848398,3820.720560299742,3.8074571124131067,286,98,5,-7.571507469047956,27.056555269922878,81.16966580976863,221,7,214,493.94499999999556,1858.3089003598038,-1364.3639003598084,27.570093457943923,0.74154467035662,-4.127942241746125,1399.3934241998068,1.3989033950015561,152,53,9,-6.375532244672002,25.91355140186916,77.74065420560747,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,4.0,410,33,377,527.1016999999972,3287.9663544996765,-2760.86465449968,22.281167108753316,0.7368009160402881,-3.6505502758976753,3627.3785669397475,3.6120221557396484,293,73,11,-7.323248420423554,27.060344827586206,108.24137931034483,221,14,207,810.1349999999945,1797.3475383198092,-987.2125383198149,24.637681159420293,0.8140667698451144,-2.6988554389898445,1128.3981201598217,1.127020284172977,153,41,13,-4.769142697197173,25.89009661835749,103.56038647342996,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.25,5.0,410,44,366,867.2116999999959,3192.2163277796712,-2325.0046277796755,19.94535519125683,0.7782659564539378,-2.852678141507451,3458.0574286597257,3.4407161390839933,293,59,14,-6.352471660600206,27.06967213114754,135.3483606557377,221,23,198,1061.0649999999966,1718.930278719819,-657.8652787198225,23.232323232323232,0.8726898812334729,-1.5558094792140111,1079.7528895199357,1.0778719521542672,149,32,17,-3.3225519127263765,25.856060606060606,129.28030303030303,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.5,6.0,410,55,355,248.41169999999215,3096.5596568996893,-2848.1479568996974,16.901408450704224,0.7302196247419368,-3.407108884303775,3993.924328979745,3.968377202072089,295,43,17,-8.022951991266753,27.07957746478873,162.4774647887324,221,26,195,609.7199999999945,1692.961771719823,-1083.2417717198286,19.48717948717949,0.7963633873631509,-2.6218695180049827,1121.6612955598248,1.1212305241313048,153,23,19,-5.555086008819634,25.867948717948718,155.2076923076923,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.75,7.0,410,62,348,55.85079999999158,3035.51531107969,-2979.664511079699,16.379310344827587,0.7137604854326007,-3.4625939664911014,4045.78362497974,4.023492196257847,290,32,26,-8.562254342183042,27.07758620689655,189.54310344827587,221,31,190,316.5099999999919,1649.427671759824,-1332.9176717598325,17.894736842105264,0.74817170660818,-3.267569957721926,1371.33719559983,1.370810536718874,152,18,20,-7.015356167157013,25.856578947368423,180.99605263157895,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,2.0,8.0,410,67,343,-760.5542000000049,2991.8726717996988,-3752.4268717997033,14.577259475218659,0.6419980758717678,-4.334173274718747,4769.307699699741,4.739422046110846,292,22,29,-10.940020034401467,27.08454810495627,216.67638483965015,221,34,187,440.03049999999376,1623.5233756598268,-1183.492875659833,17.11229946524064,0.7750692806408952,-2.7683189829407544,1228.7130478998588,1.2281576728848012,151,15,21,-6.328838907271835,25.891711229946523,207.13368983957218,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,2.25,9.0,410,72,338,-635.2088000000059,2948.2034679197022,-3583.412267919708,14.201183431952662,0.6544217129746306,-3.884376503474932,4744.556772619748,4.705661080722186,289,17,32,-10.601811443549432,27.075443786982248,243.67899408284023,221,35,186,581.3004999999958,1614.6573896598302,-1033.3568896598345,16.666666666666664,0.8034880929132522,-2.235867721734705,1181.9032263999543,1.1814493191971078,151,13,22,-5.555682202472228,25.870967741935484,232.83870967741936,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,2.5,10.0,410,76,334,-865.6677000000045,2913.4159596997083,-3779.0836596997124,13.77245508982036,0.6331068096884338,-4.088216506601238,5081.960314399752,5.034532539950009,287,13,34,-11.314621735627881,27.09131736526946,270.91317365269464,221,39,182,934.7104999999945,1579.6114702198317,-644.900970219837,17.032967032967033,0.8737396374291855,-1.2731152099800076,1154.4087263999536,1.1539653783962953,147,10,25,-3.5434119242848183,25.803571428571427,258.0357142857143,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,2.75,11.0,410,76,334,-652.8827000000058,2913.478060699712,-3566.360760699718,13.47305389221557,0.6549391467364618,-3.7464712690982647,4894.861935399749,4.8436391859207975,288,12,34,-10.67772682844227,27.09131736526946,298.0044910179641,221,40,181,1112.6586999999947,1571.0083067798323,-458.3496067798377,17.12707182320442,0.9096910798315816,-0.8620044807378586,1126.914226399953,1.1264814375954828,146,7,28,-2.532318269501866,25.814917127071823,283.9640883977901,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
