stop_usd,target_usd,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
3.0,1.25,125,48390,228,228,1376,2852.6743999999944,1988.4936634397868,172.63400000000016,1815.8596634397854,864.1807365602077,0.8641807365602078,60.526315789473685,1.0616529384435018,0.45532270112226214,0.567051401806505,2288.8267501799564,2.261587861749545,3.790266388421964,116.64035087719299,28,108,92,324.5,135.20833333333334
2.5,1.25,125,48390,238,238,1366,2750.9123999999874,2075.549911719784,180.2220000000001,1895.3279117197826,675.3624882802033,0.6753624882802033,59.2436974789916,1.0462925950155904,0.3620144934019887,0.4494077920787565,2320.903942379955,2.2992206466016247,2.8376575137823665,109.51680672268908,37,111,90,270.44117647058823,135.22058823529412
2.75,1.25,125,48390,230,230,1374,2112.657399999991,2005.8678374797864,174.08300000000014,1831.784837479785,106.78956252020464,0.10678956252020463,59.130434782608695,1.0073572106782884,0.07389624594579385,0.09167269998310949,2192.3656951399607,2.1710366337522364,0.46430244574002016,114.18695652173913,33,106,91,297.3467391304348,135.1576086956522
2.25,1.25,125,48390,245,245,1359,2218.2298999999766,2136.649795179774,185.46500000000015,1951.1847951797736,81.58010482020256,0.08158010482020256,58.36734693877551,1.005345422668527,0.06226525296112989,0.07858950249308438,2139.287456299964,2.1186925714799845,0.3329800196742962,104.15510204081633,47,111,87,243.32142857142858,135.17857142857142
2.0,1.25,125,48390,260,260,1344,2214.124899999979,2267.1082070997745,196.65800000000002,2070.4502070997737,-52.983307099795525,-0.052983307099795526,57.30769230769231,0.9966927211478448,-0.009220010436150785,-0.011486930419465007,2294.126489219969,2.2715878128523177,-0.20378195038382893,95.74230769230769,56,115,89,216.1076923076923,135.06730769230768
2.0,1.0,125,48390,284,284,1320,2358.867199999985,2475.9426730797336,214.56400000000002,2261.3786730797337,-117.07547307974858,-0.11707547307974857,60.91549295774647,0.9924827596412712,-0.051270507086718355,-0.06456766462766836,2248.772021099954,2.2354300955977418,-0.41223758126672033,82.80281690140845,52,146,86,215.85915492957747,107.92957746478874
3.0,1.0,125,48390,251,251,1353,1856.8457000000008,2188.528823339742,189.82600000000016,1998.7028233397427,-331.6831233397412,-0.3316831233397412,62.54980079681275,0.9770361010223735,-0.15422165898244497,-0.18603803158174817,2090.529735719945,2.0753417488626793,-1.3214467065328335,100.02390438247012,27,134,90,324.1195219123506,108.0398406374502
1.75,1.25,125,48390,263,263,1341,1923.5418999999797,2293.3688899397457,198.842,2094.5268899397465,-369.8269899397661,-0.3698269899397661,54.752851711026615,0.9769448746616053,-0.18725311174931358,-0.23590993629587215,2846.3967418398533,2.815534583764473,-1.4061862735352324,92.93155893536121,68,112,83,189.01330798479088,135.00950570342206
1.75,1.0,125,48390,288,288,1316,2065.3245999999835,2510.920715999693,217.46200000000002,2293.4587159996945,-445.5961159997098,-0.44559611599970983,59.02777777777778,0.9715797400247359,-0.25680082994358355,-0.3249430776372147,2339.6459470198024,2.325094725148706,-1.5472087361101035,80.11805555555556,64,144,80,188.76909722222223,107.86805555555556
2.5,1.0,125,48390,264,264,1340,1732.0186999999926,2301.780064619743,199.6820000000001,2102.098064619743,-569.7613646197503,-0.5697613646197504,61.74242424242424,0.9627462865146459,-0.28459506170159843,-0.34466131778133524,2770.8098823399487,2.755676873800795,-2.158186987196024,92.17424242424242,38,140,86,270.13257575757575,108.0530303030303
