stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
1.0000000000,5.5000000000,125.0000000000,48390.0000000000,230.0000000000,125.0000000000,230.0000000000,1477.0000000000,1492.6693000000,1952.2014145798,123.4660000000,1828.7354145798,-459.5321145798,-0.4595321146,38.6956521739,0.9566973101,-0.3522491042,-0.5705791049,3101.1228929999,3.1011228930,-1.9979657156,118.8826086957,117.0000000000,7.0000000000,106.0000000000,76.6869565217,421.7782608696
2.5000000000,7.5000000000,125.0000000000,48390.0000000000,141.0000000000,125.0000000000,141.0000000000,1566.0000000000,689.1614000000,1196.9314850799,75.6070000000,1121.3244850799,-507.7700850799,-0.5077700851,44.6808510638,0.9368564969,-0.3971638679,-0.6763670565,2949.1042946400,2.9491042946,-3.6012062772,218.9078014184,19.0000000000,2.0000000000,120.0000000000,191.5070921986,574.5212765957
3.0000000000,7.5000000000,125.0000000000,48390.0000000000,137.0000000000,125.0000000000,137.0000000000,1570.0000000000,612.9789000000,1162.9414542199,73.4510000000,1089.4904542199,-549.9625542199,-0.5499625542,45.2554744526,0.9310405692,-0.4325629851,-0.7394051171,2841.7970637800,2.8417970638,-4.0143252133,227.8029197080,14.0000000000,2.0000000000,121.0000000000,229.7737226277,574.4343065693
2.5000000000,7.2500000000,125.0000000000,48390.0000000000,141.0000000000,125.0000000000,141.0000000000,1566.0000000000,649.9114000000,1196.9315350799,75.6070000000,1121.3245350799,-547.0201350799,-0.5470201351,44.6808510638,0.9319755760,-0.4331795949,-0.7307661535,2949.1042946400,2.9491042946,-3.8795754261,218.8936170213,19.0000000000,2.0000000000,120.0000000000,191.5070921986,555.3705673759
2.5000000000,7.0000000000,125.0000000000,48390.0000000000,141.0000000000,125.0000000000,141.0000000000,1566.0000000000,640.6614000000,1196.9375850799,75.6070000000,1121.3305850799,-556.2761850799,-0.5562761851,44.6808510638,0.9308245444,-0.4426649210,-0.7436709155,2949.1042946400,2.9491042946,-3.9452211708,218.8226950355,19.0000000000,3.0000000000,119.0000000000,191.5070921986,536.2198581560
1.0000000000,5.2500000000,125.0000000000,48390.0000000000,230.0000000000,125.0000000000,230.0000000000,1477.0000000000,1357.6693000000,1952.1899145798,123.4660000000,1828.7239145798,-594.5206145799,-0.5945206146,38.6956521739,0.9439770562,-0.4686458616,-0.7452688476,3120.1266929999,3.1201266930,-2.5848722373,118.7608695652,117.0000000000,7.0000000000,106.0000000000,76.6869565217,402.6065217391
3.0000000000,7.2500000000,125.0000000000,48390.0000000000,137.0000000000,125.0000000000,137.0000000000,1570.0000000000,573.7289000000,1162.9415042199,73.4510000000,1089.4905042199,-589.2126042199,-0.5892126042,45.2554744526,0.9261190321,-0.4690284755,-0.7941586505,2841.7970637800,2.8417970638,-4.3008219286,227.7883211679,14.0000000000,2.0000000000,121.0000000000,229.7737226277,555.2864963504
3.0000000000,7.0000000000,125.0000000000,48390.0000000000,137.0000000000,125.0000000000,137.0000000000,1570.0000000000,564.4789000000,1162.9475542199,73.4510000000,1089.4965542199,-598.4686542199,-0.5984686542,45.2554744526,0.9249584223,-0.4786933702,-0.8071466672,2841.7970637800,2.8417970638,-4.3683843374,227.7153284672,14.0000000000,3.0000000000,120.0000000000,229.7737226277,536.1386861314
2.5000000000,6.7500000000,125.0000000000,48390.0000000000,141.0000000000,125.0000000000,141.0000000000,1566.0000000000,582.6614000000,1196.9338850799,75.6070000000,1121.3268850799,-614.2724850799,-0.6142724851,44.6808510638,0.9236124426,-0.4966606297,-0.8240072389,2949.1042946400,2.9491042946,-4.3565424474,218.7517730496,19.0000000000,3.0000000000,119.0000000000,191.5070921986,517.0691489362
1.2500000000,5.5000000000,125.0000000000,48390.0000000000,204.0000000000,125.0000000000,204.0000000000,1503.0000000000,1082.9273000000,1731.3080038198,109.4520000000,1621.8560038198,-648.3807038199,-0.6483807038,40.1960784314,0.9361737618,-0.5113231613,-0.8302312683,3442.0051922799,3.4420051923,-3.1783367834,139.9950980392,84.0000000000,6.0000000000,114.0000000000,95.8088235294,421.5588235294
