symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
AAPL,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.0897183159,227.6900000000,226.3617409755,569.3700000000,565.6508213340,226.6594086270,227.7100000000,227.6644580000,227.7500000000,227.7955500000,87,19806.8078460000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,230.7100000000,220.2100000000,FORCED_EOD,358,-3.4800000000,7.9250040000,0.6090000000,8.5340040000,-12.0140040000
AAPL,QQQ,2025-08-25 14:02:00-04:00,2025-08-25 14:03:00-04:00,2025-08-25 15:59:00-04:00,LONG,-2.5433717800,228.2000000000,228.4152489616,572.2450000000,571.6247967680,228.5900642874,228.2100000000,228.2556420000,227.1500000000,227.1045700000,87,19858.2408540000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,225.2100000000,235.7100000000,FORCED_EOD,116,-92.2200000000,7.9232640000,0.6090000000,8.5322640000,-100.7522640000
AAPL,QQQ,2025-08-26 11:37:00-04:00,2025-08-26 11:38:00-04:00,2025-08-26 15:59:00-04:00,SHORT,2.5069033551,227.2100000000,226.0926689970,570.7550000000,570.6400555056,226.1249353026,227.2000000000,227.1545600000,229.3000000000,229.3458600000,88,19989.6012800000,3.0000000000,7.5000000000,264.0000000000,660.0000000000,2.5000000000,230.2000000000,219.7000000000,FORCED_EOD,261,-184.8000000000,8.0344000000,0.6160000000,8.6504000000,-193.4504000000
AAPL,QQQ,2025-08-27 10:18:00-04:00,2025-08-27 10:19:00-04:00,2025-08-27 15:59:00-04:00,LONG,-2.5895760999,229.3774000000,229.3337634425,572.5900000000,571.5272961763,229.8659651548,229.3700000000,229.4158740000,230.5000000000,230.4539000000,87,19959.1810380000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,226.3700000000,236.8700000000,FORCED_EOD,340,98.3100000000,8.0017380000,0.6090000000,8.6107380000,89.6992620000
AAPL,QQQ,2025-08-28 10:53:00-04:00,2025-08-28 10:54:00-04:00,2025-08-28 15:59:00-04:00,SHORT,2.5955037640,231.7835000000,230.4930979527,575.7200000000,574.6423914118,230.8687752336,231.7850000000,231.7386430000,232.4900000000,232.5364980000,86,19929.5232980000,3.0000000000,7.5000000000,258.0000000000,645.0000000000,2.5000000000,234.7850000000,224.2850000000,FORCED_EOD,305,-60.6300000000,7.9855300000,0.6020000000,8.5875300000,-69.2175300000
AAPL,QQQ,2025-08-29 11:34:00-04:00,2025-08-29 11:35:00-04:00,2025-08-29 15:59:00-04:00,LONG,-3.9240418312,232.1400000000,232.5760924134,570.0050000000,571.1452253061,232.2235977574,232.1600000000,232.2064320000,232.2700000000,232.2235460000,86,19969.7531520000,3.0000000000,7.5000000000,258.0000000000,645.0000000000,2.5000000000,229.1600000000,239.6600000000,FORCED_EOD,264,9.4600000000,7.9881960000,0.6020000000,8.5901960000,0.8698040000
AAPL,QQQ,2025-09-02 10:42:00-04:00,2025-09-02 10:43:00-04:00,2025-09-02 15:59:00-04:00,LONG,-2.9644968069,229.4137000000,229.5390264671,563.4500000000,563.2615266146,229.5885830952,229.4300000000,229.4758860000,229.7300000000,229.6840540000,87,19964.4020820000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,226.4300000000,236.9300000000,FORCED_EOD,316,26.1000000000,7.9893840000,0.6090000000,8.5983840000,17.5016160000
AAPL,QQQ,2025-09-03 12:38:00-04:00,2025-09-03 12:39:00-04:00,2025-09-03 15:59:00-04:00,SHORT,2.5136594347,236.9200000000,236.2752936625,569.2400000000,569.6089843031,236.1399845273,236.9100000000,236.8626180000,238.4900000000,238.5376980000,84,19896.4599120000,3.0000000000,7.5000000000,252.0000000000,630.0000000000,2.5000000000,239.9100000000,229.4100000000,FORCED_EOD,200,-132.7200000000,7.9867200000,0.5880000000,8.5747200000,-141.2947200000
AAPL,QQQ,2025-09-04 12:22:00-04:00,2025-09-04 12:23:00-04:00,2025-09-04 15:59:00-04:00,SHORT,2.7156373891,237.6600000000,238.0314420453,572.0650000000,571.1640033730,238.6469072490,237.6695000000,237.6219661000,239.7100000000,239.7579420000,84,19960.2451524000,3.0000000000,7.5000000000,252.0000000000,630.0000000000,2.5000000000,240.6695000000,230.1695000000,FORCED_EOD,216,-171.4020000000,8.0199756000,0.5880000000,8.6079756000,-180.0099756000
AAPL,QQQ,2025-09-05 10:07:00-04:00,2025-09-05 10:08:00-04:00,2025-09-05 15:59:00-04:00,SHORT,2.7909791720,240.9495000000,240.0903874886,578.3300000000,579.8550621836,239.3210624233,240.9450000000,240.8968110000,239.6700000000,239.7179340000,83,19994.4353130000,3.0000000000,7.5000000000,249.0000000000,622.5000000000,2.5000000000,243.9450000000,233.4450000000,FORCED_EOD,351,105.8250000000,7.9782090000,0.5810000000,8.5592090000,97.2657910000
AAPL,QQQ,2025-09-08 11:31:00-04:00,2025-09-08 11:32:00-04:00,2025-09-08 15:59:00-04:00,LONG,-2.5145302365,238.5836000000,239.3248554917,580.5900000000,579.8153721564,239.7367849385,238.5800000000,238.6277160000,237.9200000000,237.8724160000,83,19806.1004280000,3.0000000000,7.5000000000,249.0000000000,622.5000000000,2.5000000000,235.5800000000,246.0800000000,FORCED_EOD,267,-54.7800000000,7.9099000000,0.5810000000,8.4909000000,-63.2709000000
AAPL,QQQ,2025-09-09 11:54:00-04:00,2025-09-09 11:55:00-04:00,2025-09-09 15:59:00-04:00,LONG,-2.9161867379,236.0900000000,236.5063577423,578.9400000000,578.6995439348,236.6697558167,236.1000000000,236.1472200000,234.3500000000,234.3031300000,84,19836.3664800000,3.0000000000,7.5000000000,252.0000000000,630.0000000000,2.5000000000,233.1000000000,243.6000000000,FORCED_EOD,244,-147.0000000000,7.9035600000,0.5880000000,8.4915600000,-155.4915600000
AAPL,QQQ,2025-09-10 10:02:00-04:00,2025-09-10 10:03:00-04:00,2025-09-10 15:59:00-04:00,LONG,-2.6017805129,228.9145000000,230.2025503665,582.6800000000,582.2958755812,230.7446758919,228.9275000000,228.9732855000,226.7800000000,226.7346440000,87,19920.6758385000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,225.9275000000,236.4275000000,FORCED_EOD,356,-186.8325000000,7.9293105000,0.6090000000,8.5383105000,-195.3708105000
AAPL,QQQ,2025-09-11 10:42:00-04:00,2025-09-11 10:43:00-04:00,2025-09-11 15:59:00-04:00,LONG,-2.9832999003,228.5800000000,228.3647117208,584.1000000000,583.0029973506,229.5936623106,228.5900000000,228.6357180000,230.0200000000,229.9739960000,87,19891.3074660000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,2.5000000000,225.5900000000,236.0900000000,FORCED_EOD,316,124.4100000000,7.9798140000,0.6090000000,8.5888140000,115.8211860000
AAPL,QQQ,2025-09-12 12:32:00-04:00,2025-09-12 12:33:00-04:00,2025-09-12 15:59:00-04:00,LONG,-2.5526405327,233.6350000000,232.7596060784,586.6700000000,585.6783050600,234.3360791804,233.6350000000,233.6817270000,234.0600000000,234.0131880000,85,19862.9467950000,3.0000000000,7.5000000000,255.0000000000,637.5000000000,2.5000000000,230.6350000000,241.1350000000,FORCED_EOD,206,36.1250000000,7.9508150000,0.5950000000,8.5458150000,27.5791850000
AAPL,QQQ,2025-09-15 14:43:00-04:00,2025-09-15 14:44:00-04:00,2025-09-15 15:59:00-04:00,SHORT,3.0106426464,235.3400000000,236.3702008079,590.1300000000,590.2653523197,236.1533948926,235.3450000000,235.2979310000,236.7600000000,236.8073520000,84,19765.0262040000,3.0000000000,7.5000000000,252.0000000000,630.0000000000,2.5000000000,238.3450000000,227.8450000000,FORCED_EOD,75,-118.8600000000,7.9313640000,0.5880000000,8.5193640000,-127.3793640000
AAPL,QQQ,2025-09-16 13:05:00-04:00,2025-09-16 13:06:00-04:00,2025-09-16 15:59:00-04:00,LONG,-2.6133075129,239.0600000000,239.1836290025,591.2800000000,591.4138653395,238.9670740682,239.0550000000,239.1028110000,238.1400000000,238.0923720000,83,19845.5333130000,3.0000000000,7.5000000000,249.0000000000,622.5000000000,2.5000000000,236.0550000000,246.5550000000,FORCED_EOD,173,-75.9450000000,7.9214370000,0.5810000000,8.5024370000,-84.4474370000
AAPL,QQQ,2025-09-17 12:37:00-04:00,2025-09-17 12:38:00-04:00,2025-09-17 15:59:00-04:00,SHORT,2.7580285589,239.7200000000,239.5818408590,588.0499000000,589.4211919876,237.9395397075,239.7250000000,239.6770550000,238.9500000000,238.9977900000,83,19893.1955650000,3.0000000000,7.5000000000,249.0000000000,622.5000000000,2.5000000000,242.7250000000,232.2250000000,FORCED_EOD,201,64.3250000000,7.9460050000,0.5810000000,8.5270050000,55.7979950000
