stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
1.7500000000,4.2500000000,125.0000000000,48390.0000000000,239.0000000000,125.0000000000,239.0000000000,1338.0000000000,6076.6749000000,2056.5723865398,155.9530000000,1900.6193865398,4020.1025134602,4.0201025135,45.1882845188,1.2164892808,2.0185489215,3.2346038516,1519.0006352999,1.4536373363,16.8205126086,106.4016736402,99.0000000000,37.0000000000,103.0000000000,163.1307531381,396.1746861925
1.2500000000,6.2500000000,125.0000000000,48390.0000000000,255.0000000000,125.0000000000,255.0000000000,1322.0000000000,6073.5610000000,2197.1463738398,168.6580000000,2028.4883738398,3876.4146261602,3.8764146262,39.6078431373,1.2199610402,1.9023673822,3.1327163999,2590.5352010399,2.4476999347,15.2016259849,98.8156862745,135.0000000000,16.0000000000,104.0000000000,118.1078431373,590.5392156863
1.7500000000,4.0000000000,125.0000000000,48390.0000000000,239.0000000000,125.0000000000,239.0000000000,1338.0000000000,5664.4410000000,2056.5474197598,155.9460000000,1900.6014197598,3607.8935802402,3.6078935802,45.6066945607,1.1947940797,1.8197209413,2.8991239987,1612.1399395199,1.5495143521,15.0957890387,105.3263598326,99.0000000000,39.0000000000,101.0000000000,163.1234309623,372.8535564854
1.2500000000,6.5000000000,125.0000000000,48390.0000000000,250.0000000000,125.0000000000,250.0000000000,1327.0000000000,5850.5160000000,2154.0682208398,165.4030000000,1988.6652208398,3696.4477791602,3.6964477792,39.2000000000,1.2128115192,1.8079612401,2.9896571354,2569.5310010399,2.4324728743,14.7857911166,101.4640000000,133.0000000000,14.0000000000,103.0000000000,118.1450000000,614.3540000000
1.2500000000,6.0000000000,125.0000000000,48390.0000000000,257.0000000000,125.0000000000,257.0000000000,1320.0000000000,5820.5192000000,2214.2480986798,169.8410000000,2044.4070986798,3606.2711013202,3.6062711013,39.2996108949,1.2031461441,1.7918395011,2.9146301763,2611.5394010399,2.4733683881,14.0321832736,98.0272373541,136.0000000000,17.0000000000,104.0000000000,118.0107003891,566.4513618677
1.7500000000,3.7500000000,125.0000000000,48390.0000000000,244.0000000000,125.0000000000,244.0000000000,1333.0000000000,5430.5283000000,2100.2051504998,159.7400000000,1940.4651504998,3330.3231495002,3.3303231495,45.4918032787,1.1765460655,1.7077747658,2.6793874987,1765.7815934599,1.6986556378,13.6488653668,102.1721311475,99.0000000000,43.0000000000,102.0000000000,163.6680327869,350.7172131148
1.7500000000,4.7500000000,125.0000000000,48390.0000000000,227.0000000000,125.0000000000,227.0000000000,1350.0000000000,5377.2700000000,1954.1476826398,148.7990000000,1805.3486826398,3423.1223173602,3.4231223174,44.9339207048,1.1944996701,1.6638151712,2.6659068964,2284.4105875199,2.1805586512,15.0798339972,113.5903083700,93.0000000000,29.0000000000,105.0000000000,163.8755506608,444.8050660793
1.0000000000,6.5000000000,125.0000000000,48390.0000000000,273.0000000000,125.0000000000,273.0000000000,1304.0000000000,5661.2681000000,2353.6406692197,181.5240000000,2172.1166692197,3307.6274307803,3.3076274308,34.7985347985,1.1938287900,1.6634015653,2.7725802733,2812.1370691199,2.6683127203,12.1158513948,86.8388278388,163.0000000000,13.0000000000,97.0000000000,94.9890109890,617.4285714286
1.5000000000,4.2500000000,125.0000000000,48390.0000000000,259.0000000000,125.0000000000,259.0000000000,1318.0000000000,5462.9925000000,2229.1001224998,169.1690000000,2059.9311224998,3233.8923775002,3.2338923775,41.6988416988,1.1675562671,1.6398015449,2.5651629405,2107.9965209400,2.0182995994,12.4860709556,94.5057915058,123.0000000000,36.0000000000,100.0000000000,139.9633204633,396.5627413127
1.7500000000,5.0000000000,125.0000000000,48390.0000000000,221.0000000000,125.0000000000,221.0000000000,1356.0000000000,5286.5205000000,1902.7010895798,145.0050000000,1757.6960895798,3383.8194104202,3.3838194104,44.3438914027,1.1960061746,1.6215001811,2.6430557188,2933.0217183799,2.7810442687,15.3114000472,118.0090497738,91.0000000000,25.0000000000,105.0000000000,164.0328054299,468.6651583710
