stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
2.0000000000,1.2500000000,125.0000000000,48390.0000000000,248.0000000000,125.0000000000,248.0000000000,1307.0000000000,3199.3501000000,2122.8211935798,151.1090000000,1971.7121935798,1076.5289064202,1.0765289064,56.0483870968,1.1046104195,0.9877527808,1.4944224847,2097.2605303600,2.0908428704,4.3408423646,96.7298387097,35.0000000000,102.0000000000,111.0000000000,174.0887096774,108.8054435484
2.0000000000,1.7500000000,125.0000000000,48390.0000000000,217.0000000000,125.0000000000,217.0000000000,1338.0000000000,2914.1849000000,1857.1840826598,132.1740000000,1725.0100826598,1057.0008173402,1.0570008173,52.9953917051,1.1020121669,0.9377930031,1.4077534540,1737.2148207600,1.7354756661,4.8709715085,120.9308755760,38.0000000000,64.0000000000,115.0000000000,174.0276497696,152.2741935484
2.0000000000,2.0000000000,125.0000000000,48390.0000000000,199.0000000000,125.0000000000,199.0000000000,1356.0000000000,2774.8990000000,1703.1300478798,121.2330000000,1581.8970478798,1071.7689521202,1.0717689521,52.7638190955,1.1082930417,0.8819061817,1.3835933723,1942.0099378000,1.9282775271,5.3857736287,137.0150753769,37.0000000000,49.0000000000,113.0000000000,174.0603015075,174.0603015075
2.5000000000,2.0000000000,125.0000000000,48390.0000000000,189.0000000000,125.0000000000,189.0000000000,1366.0000000000,2522.8560000000,1617.6909312798,115.1290000000,1502.5619312798,905.1650687202,0.9051650687,53.4391534392,1.0924404436,0.7441724243,1.1580754895,1661.9515804000,1.6528121967,4.7892331678,146.6084656085,26.0000000000,48.0000000000,115.0000000000,217.5529100529,174.0423280423
5.0000000000,1.2500000000,125.0000000000,48390.0000000000,207.0000000000,125.0000000000,207.0000000000,1348.0000000000,2499.9114000000,1771.8794690798,125.9860000000,1645.8934690798,728.0319309202,0.7280319309,57.0048309179,1.0810765651,0.6408883896,0.9193588600,2021.1504283000,2.0200100631,3.5170624682,124.9130434783,3.0000000000,88.0000000000,116.0000000000,434.7342995169,108.6835748792
3.7500000000,0.7500000000,125.0000000000,48390.0000000000,260.0000000000,125.0000000000,260.0000000000,1295.0000000000,2782.8979000000,2225.4414892598,158.3960000000,2067.0454892598,557.4564107402,0.5574564107,66.9230769231,1.0653528064,0.5746562453,0.7904234696,1777.4927604399,1.7774927604,2.1440631182,87.6961538462,7.0000000000,154.0000000000,99.0000000000,326.3653846154,65.2730769231
2.7500000000,2.0000000000,125.0000000000,48390.0000000000,186.0000000000,125.0000000000,186.0000000000,1369.0000000000,2269.9574000000,1592.2208215598,113.3090000000,1478.9118215598,677.7365784402,0.6777365784,53.7634408602,1.0688718997,0.5470101434,0.8253831508,2000.5072934000,1.9892483489,3.6437450454,150.4623655914,22.0000000000,47.0000000000,117.0000000000,239.3239247312,174.0537634409
2.5000000000,1.7500000000,125.0000000000,48390.0000000000,205.0000000000,125.0000000000,205.0000000000,1350.0000000000,2373.4223000000,1754.7270379798,124.9150000000,1629.8120379798,618.6952620202,0.6186952620,53.6585365854,1.0600094130,0.5446950649,0.8040456385,1448.1277145600,1.4477546069,3.0180256684,130.0243902439,28.0000000000,61.0000000000,116.0000000000,217.6219512195,152.3353658537
1.5000000000,1.7500000000,125.0000000000,48390.0000000000,243.0000000000,125.0000000000,243.0000000000,1312.0000000000,2682.3897000000,2080.3257614598,148.1200000000,1932.2057614598,602.0639385402,0.6020639385,50.2057613169,1.0527199767,0.5077186368,0.7204986447,2023.4210022399,2.0234210022,2.4776293767,103.0411522634,60.0000000000,68.0000000000,115.0000000000,130.6172839506,152.3868312757
5.2500000000,1.2500000000,125.0000000000,48390.0000000000,205.0000000000,125.0000000000,205.0000000000,1350.0000000000,2331.3364000000,1754.6556159198,124.7330000000,1629.9226159198,576.6807840802,0.5766807841,56.5853658537,1.0640689440,0.5006900648,0.7050762909,2146.8192453000,2.1456079757,2.8130769955,125.9268292683,2.0000000000,87.0000000000,116.0000000000,456.3402439024,108.6524390244
