stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
14.0000000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5581.8406000000,1315.9776579598,63.6440000000,1252.3336579598,4265.8629420402,4.2658629420,57.5949367089,1.3420700207,2.1698719791,3.4068448311,2329.3148926800,2.2319966930,26.9991325446,190.3481012658,1.0000000000,43.0000000000,114.0000000000,805.6202531646,287.7215189873
14.2500000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5567.3406000000,1315.9747579599,63.6440000000,1252.3307579599,4251.3658420402,4.2513658420,57.5949367089,1.3405116892,2.1592197633,3.3830818551,2329.3148926800,2.2323067920,26.9073787471,190.3481012658,1.0000000000,43.0000000000,114.0000000000,820.0063291139,287.7215189873
14.5000000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5552.8406000000,1315.9718579599,63.6440000000,1252.3278579599,4236.8687420402,4.2368687420,57.5949367089,1.3389569723,2.1485530320,3.3593298067,2329.3148926800,2.2326169772,26.8156249496,190.3481012658,1.0000000000,43.0000000000,114.0000000000,834.3924050633,287.7215189873
14.7500000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5538.3406000000,1315.9689579599,63.6440000000,1252.3249579599,4222.3716420402,4.2223716420,57.5949367089,1.3374058576,2.1378728395,3.3355938853,2329.3148926800,2.2329272486,26.7238711522,190.4556962025,1.0000000000,43.0000000000,114.0000000000,848.7784810127,287.7215189873
15.0000000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5523.8406000000,1315.9660579598,63.6440000000,1252.3220579598,4207.8745420402,4.2078745420,57.5949367089,1.3358583325,2.1271802317,3.3118791517,2329.3148926800,2.2332376062,26.6321173547,190.4556962025,1.0000000000,43.0000000000,114.0000000000,863.1645569620,287.7215189873
15.5000000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5522.1006000000,1315.9657099599,63.6440000000,1252.3217099599,4206.1348900402,4.2061348900,57.5949367089,1.3356728702,2.1258963338,3.3090350426,2329.3148926800,2.2332748549,26.6211068990,190.4810126582,0.0000000000,43.0000000000,115.0000000000,891.9367088608,287.7215189873
15.7500000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5522.1006000000,1315.9657099599,63.6440000000,1252.3217099599,4206.1348900402,4.2061348900,57.5949367089,1.3356728702,2.1258963338,3.3090350426,2329.3148926800,2.2332748549,26.6211068990,190.4810126582,0.0000000000,43.0000000000,115.0000000000,906.3227848101,287.7215189873
15.2500000000,5.0000000000,125.0000000000,48390.0000000000,158.0000000000,123.0000000000,158.0000000000,1429.0000000000,5509.3406000000,1315.9631579598,63.6440000000,1252.3191579598,4193.3774420402,4.1933774420,57.5949367089,1.3343143846,2.1164762458,3.2881905275,2329.3148926800,2.2335480501,26.5403635572,190.4556962025,1.0000000000,43.0000000000,114.0000000000,877.5506329114,287.7215189873
13.5000000000,5.0000000000,125.0000000000,48390.0000000000,159.0000000000,123.0000000000,159.0000000000,1428.0000000000,5418.4706000000,1324.2571799598,64.0430000000,1260.2141799598,4094.2134200402,4.0942134200,57.2327044025,1.3238483186,2.0759225327,3.2474087800,2329.3148926800,2.2356738858,25.7497699374,189.0943396226,2.0000000000,43.0000000000,114.0000000000,776.8018867925,287.7044025157
10.5000000000,5.0000000000,125.0000000000,48390.0000000000,162.0000000000,123.0000000000,162.0000000000,1425.0000000000,5406.3756000000,1349.4113220798,65.3660000000,1284.0453220798,4056.9642779202,4.0569642779,57.4074074074,1.3049719790,2.0673850920,3.2534857014,2289.2476498000,2.1926804363,25.0429893699,183.9567901235,5.0000000000,45.0000000000,112.0000000000,605.2407407407,288.2098765432
