stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
0.7500000000,3.5000000000,125.0000000000,48390.0000000000,332.0000000000,124.0000000000,332.0000000000,1271.0000000000,1546.4287000000,2802.2380437797,164.8640000000,2637.3740437797,-1255.8093437797,-1.2558093438,30.7228915663,0.9060375369,-1.0464146745,-1.4242841095,2604.4139469398,2.5984986601,-3.7825582644,62.7530120482,211.0000000000,30.0000000000,91.0000000000,53.2048192771,248.2891566265
3.2500000000,1.7500000000,125.0000000000,48390.0000000000,222.0000000000,124.0000000000,222.0000000000,1381.0000000000,665.3979000000,1872.3765486198,108.9970000000,1763.3795486198,-1206.9786486198,-1.2069786486,56.7567567568,0.9018858078,-1.0487585274,-1.4349554851,2968.7564854999,2.9645082676,-5.4368407595,111.0225225225,31.0000000000,86.0000000000,105.0000000000,227.9538288288,122.7443693694
1.2500000000,3.2500000000,125.0000000000,48390.0000000000,268.0000000000,124.0000000000,268.0000000000,1335.0000000000,899.7160000000,2262.1462906798,133.5110000000,2128.6352906798,-1362.4302906798,-1.3624302907,39.9253731343,0.8999979754,-1.0825628276,-1.4271660476,2862.9510481599,2.8589696768,-5.0836951145,89.9701492537,130.0000000000,36.0000000000,102.0000000000,88.9598880597,231.2957089552
3.5000000000,1.7500000000,125.0000000000,48390.0000000000,216.0000000000,124.0000000000,216.0000000000,1387.0000000000,564.4592000000,1821.4851367998,105.9240000000,1715.5611367998,-1257.0259367998,-1.2570259368,57.4074074074,0.8957080476,-1.0910015456,-1.4893928291,2994.8508036799,2.9912897400,-5.8195645222,115.1157407407,26.0000000000,84.0000000000,106.0000000000,245.1944444444,122.5972222222
0.7500000000,3.0000000000,125.0000000000,48390.0000000000,355.0000000000,124.0000000000,355.0000000000,1248.0000000000,1630.5548000000,2996.1126122797,176.5750000000,2819.5376122797,-1365.5578122797,-1.3655578123,31.5492957746,0.9034761781,-1.0996612897,-1.4983633339,3099.8729908798,3.0925554394,-3.8466417247,56.4450704225,222.0000000000,44.0000000000,89.0000000000,53.2922535211,213.1690140845
2.0000000000,3.0000000000,125.0000000000,48390.0000000000,221.0000000000,124.0000000000,221.0000000000,1382.0000000000,398.5604000000,1865.3695204798,109.8300000000,1755.5395204798,-1466.8091204798,-1.4668091205,47.9638009050,0.8919752708,-1.1426553879,-1.5078133292,3168.4906690999,3.1652205883,-6.6371453415,115.5927601810,77.0000000000,40.0000000000,104.0000000000,141.9909502262,212.9864253394
4.0000000000,2.0000000000,125.0000000000,48390.0000000000,198.0000000000,124.0000000000,198.0000000000,1405.0000000000,281.7005000000,1670.0436636198,97.4680000000,1572.5756636198,-1388.3431636199,-1.3883431636,56.0606060606,0.8827646220,-1.1564982768,-1.5437584889,3265.0759828999,3.2541946752,-7.0118341597,131.1666666667,22.0000000000,66.0000000000,110.0000000000,281.2929292929,140.6464646465
2.0000000000,3.2500000000,125.0000000000,48390.0000000000,213.0000000000,124.0000000000,213.0000000000,1390.0000000000,309.9735000000,1797.7106718598,105.8050000000,1691.9056718598,-1487.7371718598,-1.4877371719,46.9483568075,0.8863356008,-1.1789963821,-1.5593536786,3078.8101473799,3.0773377915,-6.9846815580,121.6995305164,74.0000000000,34.0000000000,105.0000000000,141.9248826291,230.6279342723
4.5000000000,2.0000000000,125.0000000000,48390.0000000000,196.0000000000,124.0000000000,196.0000000000,1407.0000000000,111.8505000000,1653.2867176198,96.5580000000,1556.7287176198,-1541.4362176198,-1.5414362176,55.6122448980,0.8705821716,-1.2325981525,-1.6194135357,3444.2768328999,3.4327983141,-7.8644704981,133.2244897959,17.0000000000,66.0000000000,113.0000000000,316.6989795918,140.7551020408
0.7500000000,2.7500000000,125.0000000000,48390.0000000000,360.0000000000,124.0000000000,360.0000000000,1243.0000000000,1535.3899000000,3038.1755311797,178.8080000000,2859.3675311797,-1502.7856311797,-1.5027856312,32.7777777778,0.8934793784,-1.2390789297,-1.6714301081,2865.0963588798,2.8608591582,-4.1744045311,54.8750000000,222.0000000000,49.0000000000,89.0000000000,53.2166666667,195.1277777778
