stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
8.0000000000,2.7500000000,125.0000000000,48389.0000000000,256.0000000000,125.0000000000,256.0000000000,1273.0000000000,2428.1883000000,2064.0778104198,51.7650000000,2012.3128104198,364.1104895802,0.3641104896,63.2812500000,1.0371570332,0.3652079661,0.5215000119,1386.9180605999,1.3808918487,1.4223065999,88.1406250000,19.0000000000,134.0000000000,103.0000000000,231.0937500000,79.4384765625
7.7500000000,2.7500000000,125.0000000000,48389.0000000000,260.0000000000,125.0000000000,260.0000000000,1269.0000000000,2396.5683000000,2096.4688064198,52.5420000000,2043.9268064198,300.0994935802,0.3000994936,62.6923076923,1.0301048650,0.3059562505,0.4396267782,1306.5817345999,1.3009045871,1.1542288215,86.5153846154,21.0000000000,136.0000000000,103.0000000000,223.7365384615,79.3903846154
8.5000000000,2.7500000000,125.0000000000,48389.0000000000,252.0000000000,125.0000000000,252.0000000000,1277.0000000000,2307.9483000000,2032.1192418598,51.0300000000,1981.0892418598,275.8290581403,0.2758290581,63.0952380952,1.0284525263,0.2757512164,0.3886319201,1426.4014465398,1.4202036778,1.0945597545,91.0476190476,16.0000000000,131.0000000000,105.0000000000,245.8928571429,79.5535714286
8.2500000000,2.7500000000,125.0000000000,48389.0000000000,256.0000000000,125.0000000000,256.0000000000,1273.0000000000,2306.1083000000,2064.0707944198,51.7650000000,2012.3057944198,242.0375055802,0.2420375056,63.2812500000,1.0243957261,0.2438381269,0.3446953714,1482.1885990998,1.4757484331,0.9454590062,88.2578125000,18.0000000000,134.0000000000,104.0000000000,238.3154296875,79.4384765625
8.7500000000,2.7500000000,125.0000000000,48389.0000000000,251.0000000000,125.0000000000,251.0000000000,1278.0000000000,2207.6983000000,2024.1516918598,50.8550000000,1973.2966918598,183.5466081403,0.1835466081,63.3466135458,1.0187548071,0.1854051983,0.2590098519,1496.6882965398,1.4901851288,0.7312613870,91.4661354582,16.0000000000,131.0000000000,104.0000000000,253.2619521912,79.5966135458
7.5000000000,2.7500000000,125.0000000000,48389.0000000000,260.0000000000,125.0000000000,260.0000000000,1269.0000000000,2250.8971000000,2096.4206506598,52.5280000000,2043.8926506598,154.4764493402,0.1544764493,62.3076923077,1.0152853891,0.1571261325,0.2177757834,1530.8948833398,1.5242430867,0.5941401898,86.1538461538,22.0000000000,136.0000000000,102.0000000000,216.4615384615,79.3692307692
9.2500000000,2.7500000000,125.0000000000,48389.0000000000,249.0000000000,125.0000000000,249.0000000000,1280.0000000000,2103.6283000000,2007.8864098598,50.4280000000,1957.4584098598,95.7418901402,0.0957418901,63.4538152610,1.0097750490,0.1008119948,0.1394948593,1762.9262665398,1.7552662846,0.3845055829,92.7148594378,15.0000000000,130.0000000000,104.0000000000,267.6184738956,79.5622489960
8.0000000000,5.7500000000,125.0000000000,48389.0000000000,187.0000000000,125.0000000000,187.0000000000,1342.0000000000,1610.1415000000,1507.7115942998,37.7160000000,1469.9955942998,102.4299057002,0.1024299057,51.3368983957,1.0105847720,0.0956727741,0.1352738207,1788.0508880799,1.7695707673,0.5477535064,144.6791443850,21.0000000000,48.0000000000,118.0000000000,230.5026737968,165.6737967914
9.0000000000,2.7500000000,125.0000000000,48389.0000000000,251.0000000000,125.0000000000,251.0000000000,1278.0000000000,2092.9483000000,2024.1461418598,50.8550000000,1973.2911418598,68.8021581403,0.0688021581,63.3466135458,1.0069487389,0.0754687642,0.1044176752,1589.4371465398,1.5825309815,0.2741121838,91.5219123506,16.0000000000,131.0000000000,104.0000000000,260.4980079681,79.5966135458
8.0000000000,7.2500000000,125.0000000000,48389.0000000000,170.0000000000,125.0000000000,170.0000000000,1359.0000000000,1426.4881000000,1370.4249133398,34.3490000000,1336.0759133398,56.0631866602,0.0560631867,51.7647058824,1.0060006223,0.0556244916,0.0820837124,2367.1587165799,2.3403894725,0.3297834509,166.3529411765,21.0000000000,31.0000000000,118.0000000000,230.9176470588,209.2691176471
7.7500000000,7.2500000000,125.0000000000,48389.0000000000,171.0000000000,125.0000000000,171.0000000000,1358.0000000000,1389.5577000000,1378.5554297399,34.5450000000,1344.0104297399,11.0022702601,0.0110022703,50.8771929825,1.0011900402,0.0215575612,0.0316791574,2441.7167329799,2.4141043423,0.0643407618,165.8888888889,23.0000000000,31.0000000000,117.0000000000,223.6622807018,209.2324561404
9.5000000000,2.7500000000,125.0000000000,48389.0000000000,249.0000000000,125.0000000000,249.0000000000,1280.0000000000,2009.2433000000,2007.8799108598,50.4280000000,1957.4519108598,1.3633891402,0.0013633891,63.4538152610,1.0001376959,0.0119847073,0.0164560169,1854.8652785398,1.8468058181,0.0054754584,92.9076305221,15.0000000000,130.0000000000,104.0000000000,274.8514056225,79.5622489960
7.5000000000,5.7500000000,125.0000000000,48389.0000000000,191.0000000000,125.0000000000,191.0000000000,1338.0000000000,1529.7311000000,1539.9315306998,38.5070000000,1501.4245306998,-10.2004306998,-0.0102004307,49.7382198953,0.9989674776,0.0039119364,0.0054865613,1847.1541184799,1.8280631455,-0.0534053963,141.5811518325,24.0000000000,50.0000000000,117.0000000000,216.0078534031,165.6060209424
8.2500000000,5.7500000000,125.0000000000,48389.0000000000,187.0000000000,125.0000000000,187.0000000000,1342.0000000000,1471.0615000000,1507.7075782998,37.7160000000,1469.9915782998,-36.6460782998,-0.0366460783,51.3368983957,0.9962667667,-0.0171475663,-0.0240235849,1897.6297720799,1.8780171158,-0.1959683332,144.7967914439,20.0000000000,48.0000000000,119.0000000000,237.7058823529,165.6737967914
8.5000000000,5.7500000000,125.0000000000,48389.0000000000,184.0000000000,125.0000000000,184.0000000000,1345.0000000000,1413.5401000000,1483.6457540198,37.1630000000,1446.4827540198,-70.1056540198,-0.0701056540,50.5434782609,0.9927220480,-0.0437184289,-0.0608974535,1901.5922477999,1.8819386380,-0.3810089892,148.3913043478,18.0000000000,47.0000000000,119.0000000000,245.2527173913,165.9062500000
8.2500000000,7.2500000000,125.0000000000,48389.0000000000,170.0000000000,125.0000000000,170.0000000000,1359.0000000000,1287.4081000000,1370.4208973398,34.3490000000,1336.0718973398,-83.0127973398,-0.0830127973,51.7647058824,0.9912451964,-0.0489476016,-0.0715445011,2476.7376005799,2.4487291730,-0.4883105726,166.4823529412,20.0000000000,31.0000000000,119.0000000000,238.1338235294,209.2691176471
9.2500000000,5.7500000000,125.0000000000,48389.0000000000,183.0000000000,125.0000000000,183.0000000000,1346.0000000000,1385.8801000000,1475.4843220198,36.9600000000,1438.5243220198,-89.6042220198,-0.0896042220,50.8196721311,0.9907166143,-0.0599690171,-0.0841481870,2055.0239677999,2.0337845884,-0.4896405575,149.6338797814,17.0000000000,47.0000000000,119.0000000000,266.8852459016,165.9016393443
8.0000000000,6.0000000000,125.0000000000,48389.0000000000,183.0000000000,125.0000000000,183.0000000000,1346.0000000000,1376.2511000000,1475.3632127798,36.9740000000,1438.3892127798,-99.1121127798,-0.0991121128,50.8196721311,0.9896566694,-0.0688816461,-0.0969345791,2018.1667235599,1.9961873233,-0.5415962447,149.3169398907,21.0000000000,43.0000000000,119.0000000000,230.9071038251,173.1803278689
13.5000000000,2.7500000000,125.0000000000,48389.0000000000,234.0000000000,125.0000000000,234.0000000000,1295.0000000000,1779.3631000000,1887.1498306198,47.3620000000,1839.7878306198,-107.7867306198,-0.1077867306,62.3931623932,0.9884839317,-0.0861047411,-0.1148720501,1894.3882262998,1.8861570372,-0.4606270539,102.4316239316,4.0000000000,122.0000000000,108.0000000000,390.3461538462,79.5149572650
7.7500000000,5.7500000000,125.0000000000,48389.0000000000,190.0000000000,125.0000000000,190.0000000000,1339.0000000000,1392.7411000000,1531.9002866998,38.2970000000,1493.6032866998,-139.1591866998,-0.1391591867,50.0000000000,0.9859341792,-0.1012275487,-0.1417299684,1862.6089044799,1.8433582009,-0.7324167721,142.8368421053,24.0000000000,49.0000000000,117.0000000000,223.1592105263,165.5697368421
13.7500000000,2.7500000000,125.0000000000,48389.0000000000,234.0000000000,125.0000000000,234.0000000000,1295.0000000000,1749.1131000000,1887.1501806198,47.3620000000,1839.7881806198,-138.0370806198,-0.1380370806,62.3931623932,0.9852994586,-0.1127391480,-0.1498662789,1924.6385762998,1.9162759483,-0.5899020539,102.4401709402,4.0000000000,122.0000000000,108.0000000000,397.5747863248,79.5149572650
8.5000000000,7.2500000000,125.0000000000,48389.0000000000,167.0000000000,125.0000000000,167.0000000000,1362.0000000000,1173.8881000000,1346.3603533398,33.7960000000,1312.5643533398,-172.4722533398,-0.1724722533,50.8982035928,0.9814514092,-0.1152035063,-0.1672410479,2536.6999565799,2.5080134389,-1.0327679841,171.1317365269,18.0000000000,30.0000000000,119.0000000000,245.7365269461,209.5988023952
8.0000000000,7.0000000000,125.0000000000,48389.0000000000,173.0000000000,125.0000000000,173.0000000000,1356.0000000000,1215.0165000000,1394.5040582198,34.9790000000,1359.5250582198,-179.4875582198,-0.1794875582,52.0231213873,0.9808073878,-0.1259100818,-0.1820406120,2539.0018802599,2.5102448041,-1.0375003365,162.5780346821,21.0000000000,33.0000000000,119.0000000000,231.0751445087,202.1907514451
8.7500000000,5.7500000000,125.0000000000,48389.0000000000,184.0000000000,125.0000000000,184.0000000000,1345.0000000000,1307.7901000000,1483.6484040198,37.1630000000,1446.4854040198,-175.8583040198,-0.1758583040,50.5434782609,0.9819416920,-0.1273453134,-0.1761557629,1977.8477977999,1.9574060607,-0.9557516523,148.5000000000,18.0000000000,47.0000000000,119.0000000000,252.4660326087,165.9062500000
9.2500000000,7.2500000000,125.0000000000,48389.0000000000,166.0000000000,125.0000000000,166.0000000000,1363.0000000000,1146.2281000000,1338.1989213398,33.5930000000,1304.6059213398,-191.9708213398,-0.1919708213,51.2048192771,0.9793976314,-0.1307004498,-0.1910833428,2690.1316765799,2.6597100614,-1.1564507310,172.6385542169,17.0000000000,30.0000000000,119.0000000000,267.4141566265,209.5948795181
9.0000000000,5.7500000000,125.0000000000,48389.0000000000,184.0000000000,125.0000000000,184.0000000000,1345.0000000000,1304.2001000000,1483.6714860198,37.1630000000,1446.5084860198,-179.4713860198,-0.1794713860,50.5434782609,0.9815775116,-0.1317490785,-0.1838675414,1951.9637797999,1.9317895629,-0.9753879675,148.1576086957,18.0000000000,47.0000000000,119.0000000000,259.6793478261,165.9062500000
10.7500000000,2.7500000000,125.0000000000,48389.0000000000,242.0000000000,125.0000000000,242.0000000000,1287.0000000000,1794.0193000000,1951.7330480598,48.9860000000,1902.7470480598,-157.7137480598,-0.1577137481,62.3966942149,0.9837886836,-0.1330554832,-0.1793877205,1978.1097037398,1.9695147416,-0.6517097027,97.4834710744,9.0000000000,126.0000000000,107.0000000000,310.8615702479,79.5227272727
8.0000000000,2.5000000000,125.0000000000,48389.0000000000,264.0000000000,125.0000000000,264.0000000000,1265.0000000000,1984.0453000000,2128.6114822998,53.3820000000,2075.2294822998,-144.5661822998,-0.1445661823,62.8787878788,0.9854283201,-0.1339329413,-0.1834000740,1584.7091044399,1.5782898974,-0.5475991754,81.9090909091,19.0000000000,146.0000000000,99.0000000000,231.0909090909,72.2159090909
14.0000000000,2.7500000000,125.0000000000,48389.0000000000,234.0000000000,125.0000000000,234.0000000000,1295.0000000000,1721.4755000000,1887.1500081398,47.3620000000,1839.7880081398,-165.6745081398,-0.1656745081,62.3931623932,0.9824079330,-0.1368466246,-0.1813233797,1952.2760038198,1.9437932901,-0.7080107185,102.4401709402,4.0000000000,122.0000000000,108.0000000000,404.8034188034,79.5149572650
12.0000000000,2.7500000000,125.0000000000,48389.0000000000,236.0000000000,125.0000000000,236.0000000000,1293.0000000000,1731.8143000000,1903.1791283798,47.7820000000,1855.3971283798,-171.3648283798,-0.1713648284,62.2881355932,0.9818556459,-0.1420394065,-0.1883154215,1954.2682840598,1.9457769138,-0.7261221542,101.4703389831,5.0000000000,122.0000000000,109.0000000000,347.0847457627,79.5402542373
9.5000000000,5.7500000000,125.0000000000,48389.0000000000,183.0000000000,125.0000000000,183.0000000000,1346.0000000000,1274.4951000000,1475.4808230198,36.9600000000,1438.5208230198,-200.9857230198,-0.2009857230,50.8196721311,0.9794409984,-0.1484107010,-0.2065776647,2156.4644797999,2.1341766778,-1.0982826395,150.1147540984,17.0000000000,47.0000000000,119.0000000000,274.0983606557,165.9016393443
8.5000000000,2.5000000000,125.0000000000,48389.0000000000,261.0000000000,125.0000000000,261.0000000000,1268.0000000000,1941.2753000000,2104.6888877398,52.8290000000,2051.8598877398,-163.4135877398,-0.1634135877,62.8352490421,0.9833649411,-0.1506595103,-0.2041811587,1555.4928412598,1.5491919810,-0.6261057002,84.0689655172,16.0000000000,144.0000000000,101.0000000000,245.7835249042,72.2892720307
8.0000000000,7.5000000000,125.0000000000,48389.0000000000,167.0000000000,125.0000000000,167.0000000000,1362.0000000000,1128.3581000000,1346.5392085398,33.8030000000,1312.7362085398,-218.1811085398,-0.2181811085,50.8982035928,0.9767550511,-0.1526038495,-0.2237845114,2660.8070765799,2.6319167444,-1.3064737038,169.6826347305,21.0000000000,28.0000000000,118.0000000000,231.3293413174,216.8712574850
10.0000000000,2.7500000000,125.0000000000,48389.0000000000,244.0000000000,125.0000000000,244.0000000000,1285.0000000000,1786.8833000000,1967.5467488598,49.3640000000,1918.1827488598,-180.6634488598,-0.1806634489,62.7049180328,0.9816392446,-0.1553025455,-0.2107075524,2023.5549045398,2.0147624813,-0.7404239707,95.5450819672,12.0000000000,127.0000000000,105.0000000000,289.0163934426,79.4795081967
9.7500000000,2.7500000000,125.0000000000,48389.0000000000,246.0000000000,125.0000000000,246.0000000000,1283.0000000000,1803.1433000000,1983.8337828598,49.8050000000,1934.0287828598,-180.6904828598,-0.1806904829,63.0081300813,0.9817838344,-0.1555154168,-0.2110982596,2031.0804385398,2.0222553165,-0.7345141580,94.5569105691,13.0000000000,128.0000000000,105.0000000000,281.9969512195,79.5376016260
7.7500000000,7.0000000000,125.0000000000,48389.0000000000,174.0000000000,125.0000000000,174.0000000000,1355.0000000000,1178.0861000000,1402.6345746198,35.1750000000,1367.4595746198,-224.5484746198,-0.2245484746,51.1494252874,0.9757357842,-0.1599902652,-0.2303551168,2613.5598966599,2.5839583664,-1.2905084748,162.1321839080,23.0000000000,33.0000000000,118.0000000000,223.8146551724,202.1551724138
7.5000000000,7.2500000000,125.0000000000,48389.0000000000,170.0000000000,125.0000000000,170.0000000000,1359.0000000000,1130.8377000000,1370.4386597398,34.3630000000,1336.0756597398,-239.6009597398,-0.2396009597,50.0000000000,0.9744292806,-0.1645768444,-0.2381697029,2610.5240829799,2.5810027180,-1.4094174102,166.9764705882,24.0000000000,30.0000000000,116.0000000000,216.5735294118,209.3544117647
7.5000000000,6.0000000000,125.0000000000,48389.0000000000,186.0000000000,125.0000000000,186.0000000000,1343.0000000000,1284.0907000000,1499.4521631798,37.5830000000,1461.8691631798,-215.3614631798,-0.2153614632,48.9247311828,0.9779889900,-0.1646263492,-0.2296159828,2095.1388179599,2.0723211319,-1.1578573289,146.7634408602,24.0000000000,45.0000000000,117.0000000000,216.4919354839,173.1935483871
12.2500000000,2.7500000000,125.0000000000,48389.0000000000,236.0000000000,125.0000000000,236.0000000000,1293.0000000000,1694.0643000000,1903.1779783798,47.7820000000,1855.3959783798,-209.1136783798,-0.2091136784,62.2881355932,0.9779468876,-0.1746735548,-0.2306150752,1984.5186340598,1.9758958249,-0.8860749084,101.4745762712,5.0000000000,122.0000000000,109.0000000000,354.3156779661,79.5402542373
8.2500000000,6.0000000000,125.0000000000,48389.0000000000,183.0000000000,125.0000000000,183.0000000000,1346.0000000000,1237.1711000000,1475.3591967798,36.9740000000,1438.3851967798,-238.1880967798,-0.2381880968,50.8196721311,0.9754983292,-0.1807205322,-0.2520198003,2127.7456075599,2.1045728083,-1.3015742993,149.4371584699,20.0000000000,43.0000000000,120.0000000000,238.1229508197,173.1803278689
8.7500000000,7.2500000000,125.0000000000,48389.0000000000,167.0000000000,125.0000000000,167.0000000000,1362.0000000000,1068.1381000000,1346.3630033398,33.7960000000,1312.5670033398,-278.2249033398,-0.2782249033,50.8982035928,0.9704146822,-0.1926055040,-0.2775639654,2612.9555065799,2.5834066456,-1.6660173853,171.2514970060,18.0000000000,30.0000000000,119.0000000000,252.9640718563,209.5988023952
9.0000000000,7.2500000000,125.0000000000,48389.0000000000,167.0000000000,125.0000000000,167.0000000000,1362.0000000000,1064.5481000000,1346.3860853398,33.7960000000,1312.5900853398,-281.8379853398,-0.2818379853,50.8982035928,0.9700419915,-0.1971984356,-0.2867475859,2587.0714885799,2.5578153395,-1.6876526068,170.8742514970,18.0000000000,30.0000000000,119.0000000000,260.1916167665,209.5988023952
14.2500000000,2.7500000000,125.0000000000,48389.0000000000,233.0000000000,125.0000000000,233.0000000000,1296.0000000000,1631.9731000000,1879.0088646198,47.1380000000,1831.8708646198,-247.0357646198,-0.2470357646,62.6609442060,0.9737752049,-0.2068803847,-0.2718324329,2033.6372602998,2.0248010288,-1.0602393331,102.8197424893,4.0000000000,121.0000000000,108.0000000000,411.8433476395,79.4785407725
12.5000000000,2.7500000000,125.0000000000,48389.0000000000,236.0000000000,125.0000000000,236.0000000000,1293.0000000000,1656.3143000000,1903.1768283798,47.7820000000,1855.3948283798,-246.8625283798,-0.2468625284,62.2881355932,0.9740691273,-0.2069231054,-0.2720641379,2014.7689840598,2.0060147360,-1.0460276626,101.4872881356,5.0000000000,122.0000000000,109.0000000000,361.5466101695,79.5402542373
8.0000000000,7.7500000000,125.0000000000,48389.0000000000,162.0000000000,125.0000000000,162.0000000000,1367.0000000000,1010.9395000000,1306.4000742599,32.7950000000,1273.6050742599,-295.4605742599,-0.2954605743,50.0000000000,0.9684436628,-0.2109928242,-0.3095762797,2808.7078755799,2.7778519644,-1.8238307053,176.8765432099,21.0000000000,24.0000000000,117.0000000000,231.3580246914,224.1280864198
8.5000000000,6.0000000000,125.0000000000,48389.0000000000,180.0000000000,125.0000000000,180.0000000000,1349.0000000000,1172.8997000000,1451.2960224998,36.4210000000,1414.8750224998,-278.3963224998,-0.2783963225,50.0000000000,0.9708110523,-0.2118763321,-0.2937618659,2138.4567332799,2.1151672816,-1.5466462361,153.1888888889,18.0000000000,42.0000000000,120.0000000000,245.6972222222,173.4333333333
9.5000000000,7.2500000000,125.0000000000,48389.0000000000,166.0000000000,125.0000000000,166.0000000000,1363.0000000000,1034.8431000000,1338.1954223398,33.5930000000,1304.6024223398,-303.3523223398,-0.3033523223,51.2048192771,0.9678714809,-0.2124395506,-0.3080122508,2791.5721885799,2.7600034235,-1.8274236286,173.1686746988,17.0000000000,30.0000000000,119.0000000000,274.6415662651,209.5948795181
