symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
META,QQQ,2025-08-22 11:39:00-04:00,2025-08-22 11:40:00-04:00,2025-08-22 14:12:00-04:00,LONG,-2.7315613903,752.4301000000,749.0503401230,573.1300000000,570.6331550200,749.9144699671,752.4509000000,752.6013901800,755.2009000000,755.0498598200,26,19567.6361446800,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,744.4509000000,755.2009000000,TAKE_PROFIT_BRACKET,152,71.5000000000,7.8397893600,0.1820000000,8.0217893600,63.4782106400
META,QQQ,2025-08-22 15:01:00-04:00,2025-08-22 15:02:00-04:00,2025-08-22 15:59:00-04:00,LONG,-2.7232298242,752.9313000000,750.2955049580,572.5600000000,571.2116989860,750.7624389953,753.2200000000,753.3706440000,754.6540000000,754.5030692000,26,19587.6367440000,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,745.2200000000,755.9700000000,FORCED_EOD,57,37.2840000000,7.8409448000,0.1820000000,8.0229448000,29.2610552000
META,QQQ,2025-08-25 13:31:00-04:00,2025-08-25 13:32:00-04:00,2025-08-25 15:59:00-04:00,SHORT,2.6650239288,755.7899000000,754.2284418465,572.4000000000,571.5725625770,755.7060418321,755.4500000000,755.2989100000,753.4000000000,753.5506800000,26,19637.7716600000,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,763.4500000000,752.7000000000,FORCED_EOD,147,53.3000000000,7.8460200000,0.1820000000,8.0280200000,45.2719800000
META,QQQ,2025-08-26 13:28:00-04:00,2025-08-26 13:29:00-04:00,2025-08-26 15:22:00-04:00,LONG,-2.7183194013,750.5800000000,751.7770431656,571.4701000000,570.8149360790,753.0042345018,750.7400000000,750.8901480000,753.4900000000,753.3393020000,26,19523.1438480000,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,742.7400000000,753.4900000000,TAKE_PROFIT_BRACKET,113,71.5000000000,7.8219960000,0.1820000000,8.0039960000,63.4960040000
META,QQQ,2025-08-27 11:05:00-04:00,2025-08-27 11:06:00-04:00,2025-08-27 15:59:00-04:00,LONG,-2.5529790996,747.7100000000,750.1843100101,572.8100000000,572.0918129324,751.4429700419,747.8199000000,747.9694639800,747.1500000000,747.0005700000,26,19447.2060634800,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,739.8199000000,750.5699000000,FORCED_EOD,293,-17.4174000000,7.7738434800,0.1820000000,7.9558434800,-25.3732434800
META,QQQ,2025-08-28 10:47:00-04:00,2025-08-28 10:48:00-04:00,2025-08-28 15:59:00-04:00,LONG,-2.5591495228,750.1600000000,747.8805283478,575.8600000000,574.5900807830,750.3757128770,750.3800000000,750.5300760000,751.2800000000,751.1297440000,26,19513.7819760000,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,742.3800000000,753.1300000000,FORCED_EOD,311,23.4000000000,7.8086320000,0.1820000000,7.9906320000,15.4093680000
META,QQQ,2025-08-29 11:37:00-04:00,2025-08-29 11:38:00-04:00,2025-08-29 13:04:00-04:00,SHORT,2.5455998862,741.5800000000,740.8417059692,570.3400000000,571.1343573418,739.3087204808,741.5734000000,741.4250853200,738.8234000000,738.9711646800,26,19277.0522183200,8.0000000000,2.7500000000,208.0000000000,71.5000000000,0.3437500000,749.5734000000,738.8234000000,TAKE_PROFIT_BRACKET,86,71.5000000000,7.6980633600,0.1820000000,7.8800633600,63.6199366400
META,QQQ,2025-08-29 13:40:00-04:00,2025-08-29 13:41:00-04:00,2025-08-29 15:59:00-04:00,LONG,-2.5141782714,737.0950000000,740.3815400940,569.6500000000,570.7308783223,738.2954358229,737.2750000000,737.4224550000,738.8500000000,738.7022300000,27,19910.4062850000,8.0000000000,2.7500000000,216.0000000000,74.2500000000,0.3437500000,729.2750000000,740.0250000000,FORCED_EOD,138,42.5250000000,7.9710750000,0.1890000000,8.1600750000,34.3649250000
META,QQQ,2025-09-02 10:58:00-04:00,2025-09-02 10:59:00-04:00,2025-09-02 11:17:00-04:00,SHORT,2.5035186525,733.0450000000,729.6579141914,562.4900000000,563.2078203791,728.6808254710,733.1100000000,732.9633780000,730.3600000000,730.5060720000,27,19790.0112060000,8.0000000000,2.7500000000,216.0000000000,74.2500000000,0.3437500000,741.1100000000,730.3600000000,TAKE_PROFIT_BRACKET,18,74.2500000000,7.9027380000,0.1890000000,8.0917380000,66.1582620000
META,QQQ,2025-09-02 14:55:00-04:00,2025-09-02 14:56:00-04:00,2025-09-02 15:59:00-04:00,SHORT,2.7729187893,733.4050000000,729.8113540479,563.5450000000,562.6071899534,731.0895216745,733.2900000000,733.1433420000,735.0800000000,735.2270160000,27,19794.8702340000,8.0000000000,2.7500000000,216.0000000000,74.2500000000,0.3437500000,741.2900000000,730.5400000000,FORCED_EOD,63,-48.3300000000,7.9291980000,0.1890000000,8.1181980000,-56.4481980000
