symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
MSFT,QQQ,2025-08-22 11:16:00-04:00,2025-08-22 11:17:00-04:00,2025-08-22 15:59:00-04:00,LONG,-2.7216768262,509.3308000000,507.8756908502,573.6700000000,570.3762873602,510.1566437181,509.3273000000,509.4291654600,507.1000000000,506.9985800000,39,19867.7374529400,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,497.5773000000,518.3273000000,FORCED_EOD,282,-86.8647000000,7.9281329400,0.2730000000,8.2011329400,-95.0658329400
MSFT,QQQ,2025-08-25 11:30:00-04:00,2025-08-25 11:31:00-04:00,2025-08-25 15:59:00-04:00,LONG,-3.0075698317,507.0600000000,506.9481046304,572.7800000000,571.0717960512,507.9444655797,507.0818000000,507.1832163600,504.4600000000,504.3591080000,39,19780.1454380400,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,495.3318000000,516.0818000000,FORCED_EOD,268,-102.2502000000,7.8900260400,0.2730000000,8.1630260400,-110.4132260400
MSFT,QQQ,2025-08-26 12:26:00-04:00,2025-08-26 12:27:00-04:00,2025-08-26 15:59:00-04:00,LONG,-2.5017342398,502.2250000000,503.2257561227,571.5850000000,570.7290556393,503.7266121931,502.2210000000,502.3214442000,502.0600000000,501.9595880000,39,19590.5363238000,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,490.4710000000,511.2210000000,FORCED_EOD,212,-6.2790000000,7.8333918000,0.2730000000,8.1063918000,-14.3853918000
MSFT,QQQ,2025-08-27 10:17:00-04:00,2025-08-27 10:18:00-04:00,2025-08-27 15:59:00-04:00,SHORT,2.5010029884,502.3150000000,501.4131132786,572.5600000000,571.5156550438,501.9040808230,502.3316000000,502.2311336800,506.5800000000,506.6813160000,39,19587.0142135200,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,514.0816000000,493.3316000000,FORCED_EOD,341,-165.6876000000,7.8695104800,0.2730000000,8.1425104800,-173.8301104800
MSFT,QQQ,2025-08-28 10:54:00-04:00,2025-08-28 10:55:00-04:00,2025-08-28 15:59:00-04:00,SHORT,2.7279226868,507.6250000000,507.2652463742,575.9400000000,574.6478727099,507.7514859027,507.6500000000,507.5484700000,509.6600000000,509.7619320000,39,19794.3903300000,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,519.4000000000,498.6500000000,FORCED_EOD,304,-78.3900000000,7.9350180000,0.2730000000,8.2080180000,-86.5980180000
MSFT,QQQ,2025-08-29 12:31:00-04:00,2025-08-29 12:32:00-04:00,2025-08-29 15:59:00-04:00,LONG,-2.5831694374,507.4650000000,506.9091350512,570.3300000000,570.9359802184,506.6634624020,507.4700000000,507.5714940000,506.9200000000,506.8186160000,39,19795.2882660000,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,495.7200000000,516.4700000000,FORCED_EOD,207,-21.4500000000,7.9122420000,0.2730000000,8.1852420000,-29.6352420000
MSFT,QQQ,2025-09-02 11:08:00-04:00,2025-09-02 11:09:00-04:00,2025-09-02 15:59:00-04:00,LONG,-2.8622351030,501.3800000000,502.1937641626,562.2900000000,563.1711539556,501.7625025062,501.4200000000,501.5202840000,505.0800000000,504.9789840000,39,19559.2910760000,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,489.6700000000,510.4200000000,FORCED_EOD,290,142.7400000000,7.8507000000,0.2730000000,8.1237000000,134.6163000000
MSFT,QQQ,2025-09-03 12:12:00-04:00,2025-09-03 12:13:00-04:00,2025-09-03 15:59:00-04:00,LONG,-2.7165309348,504.9050000000,505.5465339143,569.3350000000,569.6081900918,505.4221427680,504.9050000000,505.0059810000,505.3910000000,505.2899218000,39,19695.2332590000,11.7500000000,9.0000000000,458.2500000000,351.0000000000,0.7659574468,493.1550000000,513.9050000000,FORCED_EOD,226,18.9540000000,7.8803088000,0.2730000000,8.1533088000,10.8006912000
MSFT,QQQ,2025-09-05 10:54:00-04:00,2025-09-05 10:55:00-04:00,2025-09-05 15:59:00-04:00,LONG,-2.5905003316,497.1700000000,501.8909489504,574.6650000000,577.6835551116,500.6641262759,497.2100000000,497.3094420000,495.0153000000,494.9162969400,40,19892.3776800000,11.7500000000,9.0000000000,470.0000000000,360.0000000000,0.7659574468,485.4600000000,506.2100000000,FORCED_EOD,304,-87.7880000000,7.9378024000,0.2800000000,8.2178024000,-96.0058024000
MSFT,QQQ,2025-09-08 12:06:00-04:00,2025-09-08 12:07:00-04:00,2025-09-08 15:59:00-04:00,LONG,-2.5953349600,499.7201000000,499.2592049809,579.8000000000,579.8566336941,499.2450647405,499.7700000000,499.8699540000,498.2500000000,498.1503500000,40,19994.7981600000,11.7500000000,9.0000000000,470.0000000000,360.0000000000,0.7659574468,488.0200000000,508.7700000000,FORCED_EOD,232,-60.8000000000,7.9841600000,0.2800000000,8.2641600000,-69.0641600000
