stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
5.2500000000,1.2500000000,125.0000000000,48390.0000000000,210.0000000000,125.0000000000,210.0000000000,1394.0000000000,3850.4759000000,1831.6899389798,159.0470000000,1672.6429389798,2018.7859610202,2.0187859610,61.9047619048,1.1672442744,1.1562947175,1.5419641880,1575.8873010800,1.5515907224,9.6132664810,131.5190476190,6.0000000000,102.0000000000,102.0000000000,568.0250000000,135.2440476190
4.5000000000,1.2500000000,125.0000000000,48390.0000000000,217.0000000000,125.0000000000,217.0000000000,1387.0000000000,3923.0159000000,1892.5814189798,164.3320000000,1728.2494189798,2030.4344810202,2.0304344810,61.2903225806,1.1631286674,1.1182583424,1.4514282246,1705.5276229000,1.6885528663,9.3568409264,127.0230414747,9.0000000000,105.0000000000,103.0000000000,486.8294930876,135.2304147465
5.0000000000,1.2500000000,125.0000000000,48390.0000000000,210.0000000000,125.0000000000,210.0000000000,1394.0000000000,3794.9009000000,1831.5326092598,159.0330000000,1672.4996092598,1963.3682907402,1.9633682907,61.4285714286,1.1635789164,1.1132983131,1.4730448235,1670.8731720800,1.6449169984,9.3493728130,131.7476190476,8.0000000000,101.0000000000,101.0000000000,540.9285714286,135.2321428571
5.5000000000,1.2500000000,125.0000000000,48390.0000000000,210.0000000000,125.0000000000,210.0000000000,1394.0000000000,3690.9759000000,1831.6236409798,159.0400000000,1672.5836409798,1859.3522590202,1.8593522590,61.9047619048,1.1520428482,1.0493622323,1.3832377941,1575.8873010800,1.5535906542,8.8540583763,131.3904761905,6.0000000000,102.0000000000,102.0000000000,595.0476190476,135.2380952381
5.7500000000,1.2500000000,125.0000000000,48390.0000000000,208.0000000000,125.0000000000,208.0000000000,1396.0000000000,3587.5977000000,1814.1897089398,157.5420000000,1656.6477089398,1773.4079910602,1.7734079911,61.5384615385,1.1459429765,0.9898372788,1.2942618185,1575.8873010800,1.5555957484,8.5259999570,132.9807692308,5.0000000000,101.0000000000,102.0000000000,622.1610576923,135.2524038462
4.7500000000,1.2500000000,125.0000000000,48390.0000000000,214.0000000000,125.0000000000,214.0000000000,1390.0000000000,3589.5782000000,1866.4122267198,162.0850000000,1704.3272267198,1723.1659732802,1.7231659733,61.2149532710,1.1377947988,0.9481767747,1.2278020079,1629.9850491800,1.6095539098,8.0521774452,129.1495327103,9.0000000000,103.0000000000,102.0000000000,513.9544392523,135.2511682243
4.0000000000,1.2500000000,125.0000000000,48390.0000000000,221.0000000000,125.0000000000,221.0000000000,1383.0000000000,3528.3441000000,1927.4961926198,167.3770000000,1760.1191926198,1600.8479073802,1.6008479074,61.5384615385,1.1217649956,0.8512952761,1.0780093667,1923.3407241600,1.8999174205,7.2436556895,122.6380090498,13.0000000000,107.0000000000,101.0000000000,432.7782805430,135.2432126697
3.5000000000,1.2500000000,125.0000000000,48390.0000000000,223.0000000000,125.0000000000,223.0000000000,1381.0000000000,3397.4163000000,1944.9074881798,168.8960000000,1776.0114881798,1452.5088118202,1.4525088118,61.4349775785,1.1090203083,0.7715524927,0.9755631248,1935.1657623600,1.9153750177,6.5134924297,121.0179372197,17.0000000000,107.0000000000,99.0000000000,378.6905829596,135.2466367713
4.2500000000,1.2500000000,125.0000000000,48390.0000000000,220.0000000000,125.0000000000,220.0000000000,1384.0000000000,3360.5797000000,1918.7850914598,166.6140000000,1752.1710914598,1441.7946085402,1.4417946085,61.3636363636,1.1095244889,0.7650835957,0.9664657509,2012.0197252800,1.9883584537,6.5536118570,124.8136363636,11.0000000000,106.0000000000,103.0000000000,459.8113636364,135.2386363636
3.7500000000,1.2500000000,125.0000000000,48390.0000000000,221.0000000000,125.0000000000,221.0000000000,1383.0000000000,3389.9523000000,1927.5306029798,167.3980000000,1760.1326029798,1462.4216970202,1.4624216970,61.0859728507,1.1111119831,0.7637897320,0.9556828008,2067.4756051600,2.0419316489,6.6172927467,122.9954751131,14.0000000000,106.0000000000,101.0000000000,405.7805429864,135.2601809955
4.5000000000,1.0000000000,125.0000000000,48390.0000000000,238.0000000000,125.0000000000,238.0000000000,1366.0000000000,3273.2645000000,2075.1602583398,179.9840000000,1895.1762583398,1198.1042416602,1.1981042417,63.8655462185,1.0959143204,0.7247928935,0.9325408858,1690.7537834200,1.6805407558,5.0340514355,109.3529411765,8.0000000000,130.0000000000,100.0000000000,486.1512605042,108.0336134454
5.0000000000,1.0000000000,125.0000000000,48390.0000000000,236.0000000000,125.0000000000,236.0000000000,1368.0000000000,3150.5860000000,2057.7818186398,178.4930000000,1879.2888186398,1092.8041813602,1.0928041814,63.9830508475,1.0874146567,0.6645489938,0.8557148245,1500.9343088200,1.4802599402,4.6305261922,110.2627118644,8.0000000000,129.0000000000,99.0000000000,540.2330508475,108.0466101695
5.2500000000,1.0000000000,125.0000000000,48390.0000000000,234.0000000000,125.0000000000,234.0000000000,1370.0000000000,3135.2510000000,2040.5061896398,177.0510000000,1863.4551896398,1094.7448103602,1.0947448104,64.5299145299,1.0875769804,0.6624839604,0.8504019039,1466.1424808200,1.4572862217,4.6783966255,111.0641025641,6.0000000000,129.0000000000,99.0000000000,567.4711538462,108.0897435897
5.5000000000,1.0000000000,125.0000000000,48390.0000000000,234.0000000000,125.0000000000,234.0000000000,1370.0000000000,2976.0010000000,2040.4398416398,177.0440000000,1863.3958416398,935.5611583602,0.9355611584,64.5299145299,1.0739070262,0.5589772404,0.7098574204,1546.3877308200,1.5370467488,3.9981246084,111.0384615385,6.0000000000,129.0000000000,99.0000000000,594.4700854701,108.0854700855
5.7500000000,1.0000000000,125.0000000000,48390.0000000000,232.0000000000,125.0000000000,232.0000000000,1372.0000000000,2899.1228000000,2023.0006095998,175.5460000000,1847.4546095998,876.1221904002,0.8761221904,64.2241379310,1.0696392625,0.5189462392,0.6548898117,1626.6329808200,1.6168072760,3.7763887517,112.2931034483,5.0000000000,128.0000000000,99.0000000000,621.5452586207,108.0948275862
4.7500000000,1.0000000000,125.0000000000,48390.0000000000,236.0000000000,125.0000000000,236.0000000000,1368.0000000000,2885.3445000000,2057.8054903398,178.5000000000,1879.3054903398,827.5390096602,0.8275390097,63.5593220339,1.0653334047,0.4907904948,0.6193565616,1770.9990334200,1.7603012829,3.5065212274,110.5889830508,8.0000000000,128.0000000000,100.0000000000,513.2415254237,108.0508474576
3.0000000000,1.2500000000,125.0000000000,48390.0000000000,228.0000000000,125.0000000000,228.0000000000,1376.0000000000,2852.6744000000,1988.4936634398,172.6340000000,1815.8596634398,864.1807365602,0.8641807366,60.5263157895,1.0616529384,0.4553227011,0.5670514018,2288.8267501800,2.2615878617,3.7902663884,116.6403508772,28.0000000000,108.0000000000,92.0000000000,324.5000000000,135.2083333333
2.5000000000,1.2500000000,125.0000000000,48390.0000000000,238.0000000000,125.0000000000,238.0000000000,1366.0000000000,2750.9124000000,2075.5499117198,180.2220000000,1895.3279117198,675.3624882802,0.6753624883,59.2436974790,1.0462925950,0.3620144934,0.4494077921,2320.9039423800,2.2992206466,2.8376575138,109.5168067227,37.0000000000,111.0000000000,90.0000000000,270.4411764706,135.2205882353
4.5000000000,0.7500000000,125.0000000000,48390.0000000000,277.0000000000,125.0000000000,277.0000000000,1327.0000000000,2969.3462000000,2415.2491365197,209.6290000000,2205.6201365197,554.0970634803,0.5540970635,70.0361010830,1.0431609349,0.3545694675,0.4410173691,1887.0314556199,1.8701234791,2.0003504097,84.3032490975,8.0000000000,178.0000000000,91.0000000000,486.5036101083,81.0839350181
3.2500000000,1.2500000000,125.0000000000,48390.0000000000,225.0000000000,125.0000000000,225.0000000000,1379.0000000000,2550.5794000000,1962.3997097998,170.3730000000,1792.0267097998,588.1796902002,0.5881796902,60.0000000000,1.0422723986,0.3144148799,0.3900458211,2758.5095435400,2.7231970407,2.6141319564,119.0133333333,22.0000000000,105.0000000000,98.0000000000,351.5633333333,135.2166666667
5.0000000000,0.7500000000,125.0000000000,48390.0000000000,275.0000000000,125.0000000000,275.0000000000,1329.0000000000,2871.6677000000,2397.8304648198,208.1240000000,2189.7064648198,473.8372351802,0.4738372352,70.1818181818,1.0368819182,0.3068035550,0.3821226830,1601.7822230199,1.5874301060,1.7230444916,85.0909090909,8.0000000000,177.0000000000,90.0000000000,540.5818181818,81.0872727273
4.0000000000,1.0000000000,125.0000000000,48390.0000000000,243.0000000000,125.0000000000,243.0000000000,1361.0000000000,2630.9959000000,2118.8170746198,183.8200000000,1934.9970746198,512.1788253802,0.5121788254,63.7860082305,1.0382275005,0.2949010923,0.3612141762,2043.6493088200,2.0313046096,2.1077317917,105.4362139918,12.0000000000,132.0000000000,99.0000000000,432.2633744856,108.0658436214
5.2500000000,0.7500000000,125.0000000000,48390.0000000000,273.0000000000,125.0000000000,273.0000000000,1331.0000000000,2735.3727000000,2380.5306438197,206.6820000000,2173.8486438197,354.8420561803,0.3548420562,70.6959706960,1.0273648248,0.2306678957,0.2849379422,1667.5575770199,1.6526161067,1.2997877516,85.6043956044,7.0000000000,177.0000000000,89.0000000000,567.8076923077,81.1153846154
