stop_usd,target_usd,sessions,raw_bars,trades,active_trade_days,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
19.7500000000,6.0000000000,125.0000000000,48390.0000000000,163.0000000000,125.0000000000,163.0000000000,1479.0000000000,2894.3575000000,1342.7223059799,53.1300000000,1289.5923059799,1551.6351940201,1.5516351940,53.9877300613,1.1044905338,0.7735691394,1.1452455040,1899.4242256400,1.8565383040,9.5192343191,177.9447852761,0.0000000000,45.0000000000,118.0000000000,919.6472392638,279.3865030675
20.0000000000,6.0000000000,125.0000000000,48390.0000000000,163.0000000000,125.0000000000,163.0000000000,1479.0000000000,2894.3575000000,1342.7223059799,53.1300000000,1289.5923059799,1551.6351940201,1.5516351940,53.9877300613,1.1044905338,0.7735691394,1.1452455040,1899.4242256400,1.8565383040,9.5192343191,177.9447852761,0.0000000000,45.0000000000,118.0000000000,931.2883435583,279.3865030675
19.7500000000,6.2500000000,125.0000000000,48390.0000000000,162.0000000000,125.0000000000,162.0000000000,1480.0000000000,2845.6675000000,1334.4409939799,52.7380000000,1281.7029939799,1511.2265060201,1.5112265060,53.0864197531,1.1009761635,0.7556102252,1.1170304817,2046.6639906400,1.9995480915,9.3285586791,178.7222222222,0.0000000000,43.0000000000,119.0000000000,918.4969135802,290.6635802469
20.0000000000,6.2500000000,125.0000000000,48390.0000000000,162.0000000000,125.0000000000,162.0000000000,1480.0000000000,2845.6675000000,1334.4409939799,52.7380000000,1281.7029939799,1511.2265060201,1.5112265060,53.0864197531,1.1009761635,0.7556102252,1.1170304817,2046.6639906400,1.9995480915,9.3285586791,178.7222222222,0.0000000000,43.0000000000,119.0000000000,930.1234567901,290.6635802469
19.7500000000,7.0000000000,125.0000000000,48390.0000000000,153.0000000000,125.0000000000,153.0000000000,1489.0000000000,2777.8438000000,1260.6520890799,49.8820000000,1210.7700890799,1517.1917109201,1.5171917109,51.6339869281,1.1039820578,0.7227846457,1.0987178091,1814.7148044800,1.7743584187,9.9162856923,196.4248366013,0.0000000000,33.0000000000,120.0000000000,919.8594771242,326.0261437908
20.0000000000,7.0000000000,125.0000000000,48390.0000000000,153.0000000000,125.0000000000,153.0000000000,1489.0000000000,2777.8438000000,1260.6520890799,49.8820000000,1210.7700890799,1517.1917109201,1.5171917109,51.6339869281,1.1039820578,0.7227846457,1.0987178091,1814.7148044800,1.7743584187,9.9162856923,196.4248366013,0.0000000000,33.0000000000,120.0000000000,931.5032679739,326.0261437908
19.7500000000,5.7500000000,125.0000000000,48390.0000000000,166.0000000000,125.0000000000,166.0000000000,1476.0000000000,2736.0446000000,1367.3387615999,54.1800000000,1313.1587615999,1368.7058384001,1.3687058384,53.6144578313,1.0919558681,0.6939201930,1.0121509116,1892.8241996400,1.8521765299,8.2452158940,175.4638554217,0.0000000000,48.0000000000,118.0000000000,920.8734939759,268.1024096386
20.0000000000,5.7500000000,125.0000000000,48390.0000000000,166.0000000000,125.0000000000,166.0000000000,1476.0000000000,2736.0446000000,1367.3387615999,54.1800000000,1313.1587615999,1368.7058384001,1.3687058384,53.6144578313,1.0919558681,0.6939201930,1.0121509116,1892.8241996400,1.8521765299,8.2452158940,175.4638554217,0.0000000000,48.0000000000,118.0000000000,932.5301204819,268.1024096386
18.7500000000,6.0000000000,125.0000000000,48390.0000000000,164.0000000000,125.0000000000,164.0000000000,1478.0000000000,2720.1075000000,1350.9938919799,53.4310000000,1297.5628919799,1369.1136080201,1.3691136080,53.6585365854,1.0910796312,0.6746260952,0.9808811745,2081.9458116400,2.0349388483,8.3482537074,176.4634146341,1.0000000000,45.0000000000,118.0000000000,872.6753048780,279.2560975610
19.0000000000,6.0000000000,125.0000000000,48390.0000000000,164.0000000000,125.0000000000,164.0000000000,1478.0000000000,2709.1075000000,1350.9960919799,53.4310000000,1297.5650919799,1358.1114080201,1.3581114080,53.6585365854,1.0902816365,0.6686975414,0.9711346175,2092.9480116400,2.0456926365,8.2811671221,176.4634146341,1.0000000000,45.0000000000,118.0000000000,884.3109756098,279.2560975610
