date,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,TSLA,AMD
2025-08-22,5.0244320000,-95.0658329400,-12.0140040000,-103.0743380000,-388.4319572800,92.7392658400,153.4244390000,-392.4504180000,299.6436740000
2025-08-25,128.8247400000,-110.4132260400,-100.7522640000,162.0997920000,-26.6419900000,45.2719800000,244.8582000000,391.8752530000,-220.5087108400
2025-08-26,-19.7626000000,-14.3853918000,-193.4504000000,-65.9769720000,78.7501440000,63.4960040000,14.9899100000,-173.1143580000,91.1758960000
2025-08-27,-8.1662812000,-173.8301104800,89.6992620000,27.5322810000,-29.2728000000,-25.3732434800,140.2543160000,170.3839200000,-89.4726744000
2025-08-28,304.2993206000,-86.5980180000,-69.2175300000,-62.7585000000,-18.0175440000,15.4093680000,45.4005760000,-125.0455524000,43.1497680000
2025-08-29,197.4232968000,-29.6352420000,0.8698040000,23.8846670000,-64.0836040000,97.9848616400,77.6710230000,-218.6724670000,64.2335197200
2025-09-02,111.2417256600,134.6163000000,17.5016160000,231.1372920000,188.1099540000,9.7100640000,-280.7631650000,-85.7094000000,-225.8687280000
2025-09-03,-120.6911560000,10.8006912000,-141.2947200000,-25.7346320000,237.5443840000,24.4784700000,457.4427904000,-377.1095040000,37.9120440000
2025-09-04,130.9719816400,0.0000000000,-180.0099756000,-31.5739300000,161.3023714400,3.7738480000,-12.9598300000,336.1933860000,239.8357500000
2025-09-05,100.2438960000,-96.0058024000,97.2657910000,-19.6025300000,-20.4850000000,108.9093720000,112.6089340000,211.3817070000,-130.3858720000
2025-09-08,-125.6164280000,-69.0641600000,-63.2709000000,21.7210560000,-132.6750930000,-69.1436720000,40.1762220000,69.8086980000,-12.8755440000
2025-09-09,278.6438060000,133.8827880000,-155.4915600000,84.6558600000,-215.2383800000,-18.8049160000,-248.8950380800,9.9321360000,349.8586000000
2025-09-10,-101.1455200000,-44.5485690000,-195.3708105000,64.6312360000,-126.6599920000,81.2004554400,378.4689840000,287.4383680000,271.6745280000
2025-09-11,-49.9530774400,-16.5725235000,115.8211860000,-62.7032880000,78.1917270000,-59.7401480000,188.5659640000,-360.4280900000,26.9701120000
2025-09-12,5.2538080000,117.7685340000,27.5791850000,-118.2901036400,-70.3628000000,-136.3260340000,109.1000350000,253.1715980000,-193.6985280000
2025-09-15,-231.9574730000,-93.5837400000,-127.3793640000,91.7664540000,-167.2295590000,-173.2972580000,258.1445136000,-302.5095360000,495.0494640000
2025-09-16,-144.3217920000,161.8589556000,-84.4474370000,-77.4154500000,12.0449720000,-103.7017640000,90.1666700000,104.3330910000,82.3712500000
2025-09-17,412.4178588800,-86.6019180000,55.7979950000,-0.7045120000,-326.8211800000,110.0492500000,452.9225255000,-498.0094080000,15.0182700000
2025-09-18,132.5537460000,17.9227620000,90.1399800000,-108.5656420000,-107.2531966000,-64.4908000000,4.2738600000,-225.4674844400,-232.8970240000
2025-09-19,-94.6320760000,246.7572120000,-220.9888800000,-20.8646467200,-117.6893800000,49.5931440000,-142.9386800000,152.9068860000,101.6266700000
2025-09-22,-474.5995760000,38.1784267200,-159.6658322000,-172.1228880000,-12.5560540000,-239.4378200000,149.2511680000,-234.5942844000,-119.1845864800
2025-09-23,7.0137080000,90.8171160000,-65.1890740800,-17.5073780000,128.0742840000,-152.6775536000,-204.2214544800,-302.6161520000,250.0034004000
2025-09-24,238.0320440000,61.2051960000,-18.0018880000,-91.3741200000,197.9023040000,-66.0489434800,-9.4372960000,306.7551000000,99.0544240000
2025-09-25,-68.4592584800,9.7537440000,-105.1438240000,19.2048108800,-91.5528420000,120.6260640000,12.7135914000,-162.4699300000,411.2825220000
2025-09-26,396.2076680000,124.2953556000,-3.8354160000,-13.6738260000,8.4585060000,-112.6044185600,188.9962800000,181.3003409000,-165.1267800000
2025-09-29,116.6563780000,-7.7078440000,-25.6382880000,-102.2094000000,-415.4599160000,190.6934608800,-205.1272800000,-23.1399900000,-172.2400880000
2025-09-30,34.1163018600,-140.3522400000,-2.2470240000,-75.0456980000,-188.9466900000,2.1733380000,-191.4360560000,256.3362000000,-91.9551760000
2025-10-01,-63.8538550000,-57.5540400000,38.6657700000,-33.7665600000,-24.8851140000,198.5430528000,-148.7911200000,312.5242540000,258.4006878000
2025-10-02,8.1337200000,5.1993880000,-20.7764480000,-206.9191580000,148.2118500000,-47.1773430000,190.6479720000,-466.1170808800,9.9538920000
2025-10-03,-66.9133713200,110.0266440000,75.8122750000,176.3569800000,-70.2128619200,-223.9023600000,384.8557780000,10.6281150800,542.7595714800
2025-10-06,-44.0067460000,-165.7780020000,-50.4172130000,-61.2215100000,-72.1790300000,-75.5737572800,185.3574267000,255.4251066400,238.0441640000
2025-10-07,-228.5778700000,35.4783960000,31.4192158800,-82.4000400000,97.9524800000,211.7688160000,578.2638400000,606.6835520000,462.7168680000
2025-10-08,111.9417700000,-18.1253920000,9.2198260000,-35.3776720000,8.5216860000,45.6929640000,291.0339440000,344.7703260000,-425.4568640000
2025-10-09,-27.1973560000,83.0141920000,-38.7417888000,-162.9490800000,-41.0140748400,-224.0395200000,6.9626100000,-146.0781980000,-243.4016548000
2025-10-10,-985.3984527200,248.1931673200,-251.5056596400,-307.1663318000,21.3819740000,-230.6762240000,-740.5126650000,626.8147771600,254.7954700000
2025-10-13,128.8103520000,61.9231080000,-37.7570240000,-44.5572000000,169.3941240000,51.1904904000,116.8034000000,-397.4247280000,-313.5587640000
2025-10-14,347.6337460000,-54.8825550000,-17.2894400000,-425.8082252000,-51.8764500000,73.9114880000,107.1567510000,-151.2515880000,118.8752308000
2025-10-15,-253.1632517600,-58.4349180000,-22.9446400000,149.2166700000,-325.6036800000,-135.8410500000,61.8998070000,157.0698460000,-155.5819440000
2025-10-16,-23.1734876800,-42.9701220000,-21.2803200000,-225.6872820000,-481.2481280000,11.5728760000,-320.1434390000,-136.8036780000,12.4960160000
2025-10-17,-89.9517028200,-42.9868140000,274.8310816000,36.2796741200,-219.1124880000,-75.7155840000,79.4317800000,457.7407020000,351.2597760000
2025-10-20,111.0544444800,9.3546880000,-127.1838340000,-107.0304080000,60.1024320000,-42.9218460000,-232.8180960000,164.6968059000,161.6525860000
2025-10-21,171.2568616000,53.0561320000,74.0733000000,-16.7247000000,-2.1677060800,141.4929654000,62.9969320000,147.6328480000,-12.2132940000
2025-10-22,-23.0056200000,-51.7720132000,192.2116000000,78.3810300000,160.1187248000,66.2234940000,-114.3333270000,-145.7764416000,13.9156296000
2025-10-23,82.9437080000,99.7156487600,-18.5420620000,104.3440200000,-49.0092720000,-178.3852470000,-26.6685740000,-599.5786500000,144.0201750000
2025-10-24,114.2929900000,6.2139120000,-147.4429440000,-4.1564780000,73.6303200000,44.8548915600,418.9987200000,-243.0676800000,168.0553570000
2025-10-27,378.4149014000,24.8127180000,216.4578000000,128.1706620000,-160.6507240000,-29.0561960000,186.3908200000,-52.0406040000,-278.8472688800
2025-10-28,-533.4650320000,17.5081680000,-29.0639706400,-79.9967909600,47.8155440000,-152.4911960000,-428.7407220000,156.0046880000,154.0182560000
2025-10-29,-25.9061760000,-135.5471312600,129.1661120000,99.0302212000,-400.1853940000,173.5272708000,508.3556019200,592.5033020000,-565.9267612000
2025-10-30,229.3510699200,44.0862107200,-117.3090920000,-146.4103130000,-19.0519620000,-21.9589632000,352.6398258400,125.6580360000,15.2214260000
2025-10-31,-305.4118720000,11.6270880000,77.9832194400,-23.9605780000,121.9138460000,4.5992400000,-88.2508300000,549.6744100000,312.6954440000
2025-11-03,217.9812430000,-77.1088020000,-90.9756740000,41.5108200000,244.2346200000,-164.1498520000,202.6187460000,116.1824160000,-82.0565130000
2025-11-04,231.4741540000,165.6710640000,-87.3338335600,69.7615900000,197.4342300000,154.3734900000,528.5008420000,738.0706520000,-279.7984396000
2025-11-05,-413.1820400400,257.5946280000,-29.2288160000,-44.1608800000,13.6746980000,-70.5135300000,-245.6517250000,-696.4659680000,49.0125756000
2025-11-06,308.7299780000,5.3649600000,99.9982470000,92.7864720000,99.2760960000,37.2824320000,100.1166100000,-344.8268560000,-151.9530487200
2025-11-07,254.9953740000,102.5914400000,-230.4617520000,473.4619580000,-79.2426820000,-226.2295117600,-535.0479120000,149.5149640000,517.9891740000
2025-11-10,-24.2231900000,216.9060660000,49.9572520000,112.9322528000,-199.1474480000,-61.3817360000,14.2787700000,11.2115520000,29.9793656400
2025-11-11,361.4164201600,203.5978612200,-143.2081150000,97.7716256000,155.7291360000,159.5930880000,131.2739400000,230.4359990400,555.2919101200
2025-11-12,241.3362360000,195.4087434000,-46.8154110000,-108.1419368400,-95.9928200000,-65.3815660800,75.1044000000,-16.5261440000,131.7408946400
2025-11-13,136.3897713200,330.1886000400,29.4683480000,-42.4382340000,85.5551420000,-3.3102560000,-194.2512460000,-58.7011180000,-46.8081060000
2025-11-14,34.3318500000,-245.6977380000,-82.2156660000,-267.3612480000,-98.4708000000,159.9900160000,-87.7995880000,327.8327040000,183.4972816000
2025-11-17,-74.8911940000,85.7813580000,-70.6072480000,-123.8073200000,-199.4792460000,72.1882860000,-179.3833593600,-143.5741440000,13.7330260000
2025-11-18,-119.2781700000,406.8844800000,52.9644000000,409.4352280000,-71.9934740000,189.5246746800,311.3804880000,-219.5829500000,-478.9104734000
2025-11-19,237.4054768000,52.7561680000,-132.2485464800,89.1510420000,87.7962640000,124.6505206400,276.5728920000,3.9843860000,-166.1628600000
2025-11-20,-454.7005200000,-370.2328700000,-85.1191882000,236.6181140000,117.3070840000,-21.4017446800,-176.4670920000,-78.8197820000,289.9881020800
2025-11-21,371.8719940000,130.9745220000,91.3655800000,241.8753660000,135.0499100000,189.4754070000,676.2455700000,-2.1584180000,571.2268640000
2025-11-24,-282.5423770200,-68.1156420000,-70.7145840000,-184.5759238400,196.3043460000,23.6033920000,-110.1178880000,-49.5466480000,429.0028196000
2025-11-25,-231.0715800000,-72.9736560000,-113.8167630000,143.4775180000,-41.1447780000,52.9042590000,106.6782080000,102.1110440000,27.3140520000
2025-11-26,-22.4504500000,2.8187500000,-70.8696440000,146.4709490000,-84.9278480000,36.9746207000,161.4273000000,-250.8186960000,-202.3133160000
2025-11-28,23.2004640000,9.8514400000,-133.0702560000,-79.1310080000,-111.5823300000,-11.5855200000,0.0000000000,-32.1525280000,47.9418440000
2025-12-01,48.9656520000,-60.4797600000,-121.3556560000,140.1563300000,-27.9177697200,-54.6733360000,62.1330960000,59.8548320000,-19.5540800000
2025-12-02,-305.8424308800,-6.9207200000,68.8815960000,-125.2287378400,-110.6492940000,-108.6629360000,-230.5434600000,238.6773820000,-606.8277816000
2025-12-03,128.7970200000,34.0996180000,-215.3547960000,124.4223740000,85.2493787600,-149.7705945000,256.6101000000,-196.4212200000,-225.5820680000
2025-12-04,20.6766460000,110.9563730000,76.0394380000,201.5568140000,89.8556400000,86.5702200000,-67.5848160000,276.0645360000,74.2244960000
2025-12-05,52.9383679000,-69.2864740000,-43.9220200000,-15.5587320000,-73.8305920000,-55.1241860000,72.7899540000,121.4931030000,55.5732450000
2025-12-08,10.1891660000,-59.7276000000,61.7047920000,-97.7010870000,7.8277580000,-76.3942360000,-72.3357950000,10.6763400000,702.8025640000
2025-12-09,212.4786278400,76.0638800000,-69.4433960000,-13.3258770000,-195.2911825200,51.9381060000,-93.5500160000,111.4683768000,-206.8816860000
2025-12-10,188.9694180000,-6.4329123000,-78.3571680000,-9.8623940000,13.5666580000,-23.6122800000,-522.8415640000,-324.9525150000,-166.1016600000
