date,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,TSLA,AMD
2025-08-22,0.0000502443,-0.0009506583,-0.0001201400,-0.0010307434,-0.0038843196,0.0009273927,0.0015342444,-0.0039245042,0.0029964367
2025-08-25,0.0012882474,-0.0011041323,-0.0010075226,0.0016209979,-0.0002664199,0.0004527198,0.0024485820,0.0039187525,-0.0022050871
2025-08-26,-0.0001976260,-0.0001438539,-0.0019345040,-0.0006597697,0.0007875014,0.0006349600,0.0001498991,-0.0017311436,0.0009117590
2025-08-27,-0.0000816628,-0.0017383011,0.0008969926,0.0002753228,-0.0002927280,-0.0002537324,0.0014025432,0.0017038392,-0.0008947267
2025-08-28,0.0030429932,-0.0008659802,-0.0006921753,-0.0006275850,-0.0001801754,0.0001540937,0.0004540058,-0.0012504555,0.0004314977
2025-08-29,0.0019742330,-0.0002963524,0.0000086980,0.0002388467,-0.0006408360,0.0009798486,0.0007767102,-0.0021867247,0.0006423352
2025-09-02,0.0011124173,0.0013461630,0.0001750162,0.0023113729,0.0018810995,0.0000971006,-0.0028076317,-0.0008570940,-0.0022586873
2025-09-03,-0.0012069116,0.0001080069,-0.0014129472,-0.0002573463,0.0023754438,0.0002447847,0.0045744279,-0.0037710950,0.0003791204
2025-09-04,0.0013097198,0.0000000000,-0.0018000998,-0.0003157393,0.0016130237,0.0000377385,-0.0001295983,0.0033619339,0.0023983575
2025-09-05,0.0010024390,-0.0009600580,0.0009726579,-0.0001960253,-0.0002048500,0.0010890937,0.0011260893,0.0021138171,-0.0013038587
2025-09-08,-0.0012561643,-0.0006906416,-0.0006327090,0.0002172106,-0.0013267509,-0.0006914367,0.0004017622,0.0006980870,-0.0001287554
2025-09-09,0.0027864381,0.0013388279,-0.0015549156,0.0008465586,-0.0021523838,-0.0001880492,-0.0024889504,0.0000993214,0.0034985860
2025-09-10,-0.0010114552,-0.0004454857,-0.0019537081,0.0006463124,-0.0012665999,0.0008120046,0.0037846898,0.0028743837,0.0027167453
2025-09-11,-0.0004995308,-0.0001657252,0.0011582119,-0.0006270329,0.0007819173,-0.0005974015,0.0018856596,-0.0036042809,0.0002697011
2025-09-12,0.0000525381,0.0011776853,0.0002757918,-0.0011829010,-0.0007036280,-0.0013632603,0.0010910004,0.0025317160,-0.0019369853
2025-09-15,-0.0023195747,-0.0009358374,-0.0012737936,0.0009176645,-0.0016722956,-0.0017329726,0.0025814451,-0.0030250954,0.0049504946
2025-09-16,-0.0014432179,0.0016185896,-0.0008444744,-0.0007741545,0.0001204497,-0.0010370176,0.0009016667,0.0010433309,0.0008237125
2025-09-17,0.0041241786,-0.0008660192,0.0005579800,-0.0000070451,-0.0032682118,0.0011004925,0.0045292253,-0.0049800941,0.0001501827
2025-09-18,0.0013255375,0.0001792276,0.0009013998,-0.0010856564,-0.0010725320,-0.0006449080,0.0000427386,-0.0022546748,-0.0023289702
