date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2025-08-22,-246.9037009400,-176.5823000000,99753.0962990600,-0.0024690370
2025-08-25,284.6184597600,335.8722000000,100037.7147588200,0.0028532293
2025-08-26,-118.6305464000,-76.5920000000,99919.0842124200,-0.0011858582
2025-08-27,54.8329212000,96.9356000000,99973.9171336200,0.0005487733
2025-08-28,29.3377686600,80.9167000000,100003.2549022800,0.0002934542
2025-08-29,84.1773968000,144.7716000000,100087.4322990800,0.0008417466
2025-09-02,55.2562117000,125.9215000000,100142.6885107800,0.0005520794
2025-09-03,61.1847839600,117.3670000000,100203.8732947401,0.0006109760
2025-09-04,358.5643046200,414.9255000000,100562.4375993601,0.0035783478
2025-09-05,201.6211294800,261.8406000000,100764.0587288401,0.0020049348
2025-09-08,-186.8075970000,-135.5650000000,100577.2511318401,-0.0018539110
2025-09-09,121.9758976800,183.2784000000,100699.2270295201,0.0012127583
2025-09-10,336.4161521600,405.6500000000,101035.6431816801,0.0033408017
2025-09-11,-73.0684334400,-26.5172000000,100962.5747482401,-0.0007231946
2025-09-12,-5.7219715600,59.7022000000,100956.8527766801,-0.0000566742
2025-09-15,-134.0994464000,-69.2800000000,100822.7533302801,-0.0013282847
2025-09-16,19.2908682000,74.5810000000,100842.0441984801,0.0001913345
2025-09-17,82.0872940200,170.8875000000,100924.1314925001,0.0008140185
2025-09-18,-275.5514311200,-224.0176000000,100648.5800613801,-0.0027302829
2025-09-19,-25.6111028000,44.3950000000,100622.9689585801,-0.0002544606
2025-09-22,-682.8841308400,-617.6542000000,99940.0848277402,-0.0067865631
2025-09-23,-143.3144572000,-87.7640000000,99796.7703705402,-0.0014340038
2025-09-24,397.0247374800,457.4926000000,100193.7951080201,0.0039783325
2025-09-25,79.2541353600,158.3610000000,100273.0492433802,0.0007910084
2025-09-26,330.7611530600,399.8705000000,100603.8103964402,0.0032986047
2025-09-29,-359.8067416800,-285.8800000000,100244.0036547602,-0.0035764723
2025-09-30,-218.5131251800,-162.3641000000,100025.4905295802,-0.0021798124
2025-10-01,262.4841698000,327.0590000000,100287.9746993802,0.0026241728
2025-10-02,-208.2475394800,-152.6474000000,100079.7271599002,-0.0020764956
2025-10-03,518.3434062800,579.0904000000,100598.0705661802,0.0051793048
2025-10-06,112.8113276400,187.4266000000,100710.8818938202,0.0011214065
2025-10-07,942.3649867800,1011.1039000000,101653.2468806002,0.0093571317
2025-10-08,181.4619990000,251.2750000000,101834.7088796002,0.0017851078
2025-10-09,-435.9862144800,-380.0564000000,101398.7226651202,-0.0042813125
2025-10-10,-761.8048013800,-641.4757000000,100636.9178637402,-0.0075129625
2025-10-13,-143.8066182000,-87.8390000000,100493.1112455402,-0.0014289648
2025-10-14,-29.6397077000,49.8705000000,100463.4715378402,-0.0002949427
2025-10-15,-316.5673264000,-243.0020000000,100146.9042114402,-0.0031510690
2025-10-16,-674.8274689200,-586.0910000000,99472.0767425203,-0.0067383757
2025-10-17,428.6632030400,498.1186000000,99900.7399455603,0.0043093823
2025-10-20,-1.2513579000,50.1125000000,99899.4885876603,-0.0000125260
2025-10-21,344.3331235600,442.2588000000,100243.8217112203,0.0034467957
2025-10-22,99.3320157600,164.6430000000,100343.1537269803,0.0009909041
2025-10-23,-245.1549195800,-193.6221000000,100097.9988074003,-0.0024431654
2025-10-24,239.9843602000,305.1150000000,100337.9831676003,0.0023974941
2025-10-27,227.8328779600,316.5550000000,100565.8160455603,0.0022706544
2025-10-28,-470.3089380400,-405.5162000000,100095.5071075203,-0.0046766283
2025-10-29,206.3961296400,302.8180000000,100301.9032371603,0.0020619919
2025-10-30,256.2225879400,348.4703000000,100558.1258251003,0.0025545137
2025-10-31,359.0291652000,451.0740000000,100917.1549903003,0.0035703645
2025-11-03,224.4449412000,293.8650000000,101141.5999315003,0.0022240514
2025-11-04,947.7703888600,1030.8427000000,102089.3703203604,0.0093707277
2025-11-05,-647.4205382000,-587.3900000000,101441.9497821604,-0.0063417037
2025-11-06,136.7641878400,192.6000000000,101578.7139700004,0.0013482015
2025-11-07,244.8158584400,342.5722000000,101823.5298284404,0.0024101098
2025-11-10,85.0131839400,145.3293000000,101908.5430123804,0.0008349071
2025-11-11,969.7352690200,1053.6153000000,102878.2782814004,0.0095157407
2025-11-12,167.8725276400,237.5464000000,103046.1508090404,0.0016317587
2025-11-13,128.1372482000,211.8122000000,103174.2880572404,0.0012434938
2025-11-14,-40.0007191200,11.0956000000,103134.2873381204,-0.0003877005
2025-11-17,-345.6319153600,-271.4768000000,102788.6554227604,-0.0033512804
2025-11-18,265.5355434000,367.2300000000,103054.1909661604,0.0025833157
2025-11-19,315.8315879200,385.6516000000,103370.0225540804,0.0030647137
2025-11-20,-288.7285707400,-178.0665000000,103081.2939833405,-0.0027931557
2025-11-21,1336.8210090000,1453.3150000000,104418.1149923405,0.0129686091
2025-11-24,-62.5686447400,-15.8515000000,104355.5463476005,-0.0005992125
2025-11-25,-12.2804630000,76.0350000000,104343.2658846005,-0.0001176791
2025-11-26,-155.4008581000,-95.2655000000,104187.8650265005,-0.0014893233
2025-11-28,-157.5657110000,-115.8650000000,104030.2993155005,-0.0015123231
2025-12-01,16.2899266000,71.7670000000,104046.5892421005,0.0001565883
2025-12-02,-656.0654505600,-577.0280000000,103390.5237915405,-0.0063054969
2025-12-03,-88.5686991800,-37.3591000000,103301.9550923605,-0.0008566423
2025-12-04,476.0876890000,531.3450000000,103778.0427813605,0.0046086997
2025-12-05,25.4546071000,76.1355000000,103803.4973884605,0.0002452793
2025-12-08,267.3248977000,323.0885000000,104070.8222861605,0.0025752976
2025-12-09,-72.6140526000,-7.9640000000,103998.2082335605,-0.0006977369
2025-12-10,-515.6669569000,-464.1755000000,103482.5412766605,-0.0049584216
2025-12-11,-633.1048643800,-558.3001000000,102849.4364122805,-0.0061179872
2025-12-12,174.9373237200,272.3166000000,103024.3737360005,0.0017009070
2025-12-15,502.6811282400,567.8288000000,103527.0548642405,0.0048792447
2025-12-16,-194.7983927600,-143.8454000000,103332.2564714805,-0.0018816182
2025-12-17,-855.2448932800,-785.3000000000,102477.0115782005,-0.0082766497
2025-12-18,-156.0369510000,-100.4250000000,102320.9746272006,-0.0015226532
2025-12-19,-61.4011824800,12.4000000000,102259.5734447206,-0.0006000840
2025-12-22,130.7169108000,186.0460000000,102390.2903555206,0.0012782853
2025-12-23,-592.5510330000,-551.0650000000,101797.7393225206,-0.0057871799
2025-12-24,35.1117288600,81.4843000000,101832.8510513806,0.0003449166
