variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
equal_allocation,NVDA,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 10:08:00-04:00,LONG,-3.8630347323,175.7200000000,175.7551440000,176.9700000000,176.9346060000,63,11111.1100000000,11111.1100000000,11072.5740720000,5.2500000000,1.2500000000,330.7500000000,78.7500000000,170.4700000000,176.9700000000,TAKE_PROFIT_BRACKET,7,78.7500000000,4.4438940000,0.4410000000,4.8848940000,73.8651060000
equal_allocation,AMZN,QQQ,2025-08-22 10:21:00-04:00,2025-08-22 10:22:00-04:00,2025-08-22 11:02:00-04:00,SHORT,2.6677517339,224.9200000000,224.8750160000,226.9200000000,226.9653840000,49,11111.1100000000,11111.1100000000,11018.8757840000,2.0000000000,1.2500000000,98.0000000000,61.2500000000,226.9200000000,223.6700000000,STOP,40,-98.0000000000,4.4280320000,0.3430000000,4.7710320000,-102.7710320000
equal_allocation,GOOGL,QQQ,2025-08-22 11:05:00-04:00,2025-08-22 11:06:00-04:00,2025-08-22 13:11:00-04:00,SHORT,2.5660749822,204.6300000000,204.5890740000,205.8800000000,205.9211760000,54,11111.1100000000,11111.1100000000,11047.8099960000,1.2500000000,3.2500000000,67.5000000000,175.5000000000,205.8800000000,201.3800000000,STOP,125,-67.5000000000,4.4335080000,0.3780000000,4.8115080000,-72.3115080000
equal_allocation,GOOGL,QQQ,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,2025-08-22 13:21:00-04:00,SHORT,3.3954522018,205.2500000000,205.2089500000,206.5000000000,206.5413000000,54,11111.1100000000,11111.1100000000,11081.2833000000,1.2500000000,3.2500000000,67.5000000000,175.5000000000,206.5000000000,202.0000000000,STOP,9,-67.5000000000,4.4469000000,0.3780000000,4.8249000000,-72.3249000000
equal_allocation,GOOGL,QQQ,2025-08-22 13:21:00-04:00,2025-08-22 13:22:00-04:00,2025-08-22 13:40:00-04:00,SHORT,3.0342371334,206.4092000000,206.3679181600,207.6592000000,207.7007318400,53,11111.1100000000,11111.1100000000,10937.4996624800,1.2500000000,3.2500000000,66.2500000000,172.2500000000,207.6592000000,203.1592000000,STOP,18,-66.2500000000,4.3891250400,0.3710000000,4.7601250400,-71.0101250400
equal_allocation,AMZN,QQQ,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,2025-08-22 13:54:00-04:00,LONG,-3.9063539376,226.9200000000,226.9653840000,228.1700000000,228.1243660000,48,11111.1100000000,11111.1100000000,10894.3384320000,2.0000000000,1.2500000000,96.0000000000,60.0000000000,224.9200000000,228.1700000000,TAKE_PROFIT_BRACKET,42,60.0000000000,4.3688640000,0.3360000000,4.7048640000,55.2951360000
equal_allocation,META,QQQ,2025-08-22 11:39:00-04:00,2025-08-22 11:40:00-04:00,2025-08-22 14:12:00-04:00,LONG,-2.7315613903,752.4509000000,752.6013901800,755.2009000000,755.0498598200,14,11111.1100000000,11111.1100000000,10536.4194625200,8.0000000000,2.7500000000,112.0000000000,38.5000000000,744.4509000000,755.2009000000,TAKE_PROFIT_BRACKET,152,38.5000000000,4.2214250400,0.0980000000,4.3194250400,34.1805749600
equal_allocation,NVDA,QQQ,2025-08-22 12:56:00-04:00,2025-08-22 12:57:00-04:00,2025-08-22 15:59:00-04:00,SHORT,2.9933425246,176.9700000000,176.9346060000,178.0200000000,178.0556040000,62,11111.1100000000,11111.1100000000,10969.9455720000,5.2500000000,1.2500000000,325.5000000000,77.5000000000,182.2200000000,175.7200000000,FORCED_EOD,182,-65.1000000000,4.4018760000,0.4340000000,4.8358760000,-69.9358760000
equal_allocation,MSFT,QQQ,2025-08-22 11:16:00-04:00,2025-08-22 11:17:00-04:00,2025-08-22 15:59:00-04:00,LONG,-2.7216768262,509.3273000000,509.4291654600,507.1000000000,506.9985800000,21,11111.1100000000,11111.1100000000,10698.0124746600,11.7500000000,9.0000000000,246.7500000000,189.0000000000,497.5773000000,518.3273000000,FORCED_EOD,282,-46.7733000000,4.2689946600,0.1470000000,4.4159946600,-51.1892946600
equal_allocation,AAPL,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.0897183159,227.7100000000,227.6644580000,227.7500000000,227.7955500000,48,11111.1100000000,11111.1100000000,10927.8939840000,3.0000000000,7.5000000000,144.0000000000,360.0000000000,230.7100000000,220.2100000000,FORCED_EOD,358,-1.9200000000,4.3724160000,0.3360000000,4.7084160000,-6.6284160000
