date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2025-08-22,-481.5581159400,-399.3547000000,99518.4418840600,-0.0048155812
2025-08-25,325.2908151200,384.8398000000,99843.7326991800,0.0032686486
2025-08-26,-74.8707420000,-31.6500000000,99768.8619571800,-0.0007498792
2025-08-27,82.4472640800,124.5748000000,99851.3092212600,0.0008263827
2025-08-28,-95.2095504000,-44.1080000000,99756.0996708600,-0.0009535133
2025-08-29,214.3047311600,282.5014000000,99970.4044020200,0.0021482870
2025-09-02,-60.4769610200,16.6251000000,99909.9274410001,-0.0006049486
2025-09-03,71.6043516000,130.5640000000,99981.5317926001,0.0007166891
2025-09-04,561.6306650800,646.8300000000,100543.1624576801,0.0056173441
2025-09-05,127.9610636000,196.0320000000,100671.1235212801,0.0012726978
2025-09-08,-121.6871500000,-66.1300000000,100549.4363712801,-0.0012087592
2025-09-09,343.8944979200,412.4496000000,100893.3308692001,0.0034201534
2025-09-10,677.1283799400,737.8475000000,101570.4592491401,0.0067113294
2025-09-11,199.7685645000,250.2275000000,101770.2278136401,0.0019667979
2025-09-12,-22.6409010000,45.4450000000,101747.5869126401,-0.0002224708
2025-09-15,352.5945596000,432.7600000000,102100.1814722401,0.0034653850
2025-09-16,86.7512452000,146.1660000000,102186.9327174401,0.0008496679
2025-09-17,-194.9956658200,-118.5775000000,101991.9370516201,-0.0019082251
2025-09-18,-302.6931766400,-234.4822000000,101689.2438749801,-0.0029678148
2025-09-19,-470.9317542000,-377.7000000000,101218.3121207801,-0.0046310872
2025-09-22,-1358.9505017600,-1290.2688000000,99859.3616190201,-0.0134259352
2025-09-23,-398.6039485600,-331.5708000000,99460.7576704602,-0.0039916533
2025-09-24,1025.3240124000,1110.4410000000,100486.0816828602,0.0103088297
2025-09-25,289.6221282000,375.0630000000,100775.7038110602,0.0028822114
2025-09-26,514.1151549000,598.1245000000,101289.8189659602,0.0051015784
2025-09-29,-140.3627951200,-81.0600000000,101149.4561708402,-0.0013857542
2025-09-30,-254.8031190200,-186.3237000000,100894.6530518202,-0.0025190755
2025-10-01,-114.0962952000,-54.6460000000,100780.5567566202,-0.0011308458
2025-10-02,-151.9206980600,-84.6503000000,100628.6360585602,-0.0015074406
2025-10-03,661.7554573400,729.0843000000,101290.3915159002,0.0065762141
2025-10-06,143.6770443200,228.5672000000,101434.0685602202,0.0014184667
2025-10-07,1325.3482398800,1417.6794000000,102759.4168001002,0.0130661055
2025-10-08,660.5378000000,727.8700000000,103419.9546001002,0.0064280026
2025-10-09,-706.5586220400,-646.7222000000,102713.3959780602,-0.0068319371
2025-10-10,-1275.0143360400,-1111.3150000000,101438.3816420202,-0.0124133208
2025-10-13,-523.7352066000,-455.7370000000,100914.6464354202,-0.0051630872
2025-10-14,-627.0869220000,-515.7700000000,100287.5595134203,-0.0062140328
2025-10-15,-325.9565247600,-216.8638000000,99961.6029886603,-0.0032502189
2025-10-16,-1024.4116708800,-914.4560000000,98937.1913177803,-0.0102480517
2025-10-17,916.2785645200,1000.6674000000,99853.4698823003,0.0092612146
2025-10-20,-172.4618976200,-113.1105000000,99681.0079846803,-0.0017271498
2025-10-21,76.3333653600,194.7880000000,99757.3413500403,0.0007657764
2025-10-22,70.3751008800,151.5030000000,99827.7164509203,0.0007054629
2025-10-23,296.6584657600,356.0212000000,100124.3749166803,0.0029717044
2025-10-24,187.5425735600,271.4250000000,100311.9174902403,0.0018730961
2025-10-27,580.0863719600,674.1600000000,100892.0038622003,0.0057828261
2025-10-28,-730.8662596000,-654.9568000000,100161.1376026004,-0.0072440454
2025-10-29,-415.7082605400,-289.9337000000,99745.4293420604,-0.0041503948
2025-10-30,910.4296612800,1003.7644000000,100655.8590033404,0.0091275326
2025-10-31,1044.0396414400,1169.7528000000,101699.8986447804,0.0103723683
2025-11-03,174.5042552000,251.2900000000,101874.4028999804,0.0017158744
2025-11-04,1040.8683324400,1150.1278000000,102915.2712324204,0.0102171723
2025-11-05,-769.7637216400,-702.2700000000,102145.5075107804,-0.0074795870
2025-11-06,199.0136970000,258.0950000000,102344.5212077804,0.0019483353
2025-11-07,476.7069040000,595.2900000000,102821.2281117804,0.0046578644
2025-11-10,520.3082916400,580.5382000000,103341.5364034204,0.0050603198
2025-11-11,1362.2309123400,1480.9673000000,104703.7673157604,0.0131818334
2025-11-12,115.4948004400,200.5036000000,104819.2621162004,0.0011030625
2025-11-13,482.1891321600,584.3816000000,105301.4512483604,0.0046001958
2025-11-14,-614.3946220000,-547.6100000000,104687.0566263605,-0.0058346263
2025-11-17,-642.9149735600,-549.7918000000,104044.1416528005,-0.0061413034
2025-11-18,187.4558869200,307.3950000000,104231.5975397205,0.0018016957
2025-11-19,496.1301539200,581.2244000000,104727.7276936405,0.0047598825
2025-11-20,-327.8342561200,-193.4610000000,104399.8934375205,-0.0031303482
2025-11-21,1330.0924820000,1457.8600000000,105729.9859195205,0.0127403624
2025-11-24,46.5590005800,97.7079000000,105776.5449201005,0.0004403576
2025-11-25,-284.4028470000,-183.0750000000,105492.1420731005,-0.0026887137
2025-11-26,-47.4864723000,19.9935000000,105444.6556008005,-0.0004501423
2025-11-28,-245.2258210000,-194.3750000000,105199.4297798005,-0.0023256354
2025-12-01,20.2979787200,88.2064000000,105219.7277585206,0.0001929476
2025-12-02,-1237.9558002800,-1128.5244000000,103981.7719582406,-0.0117654344
2025-12-03,40.5590211400,116.6981000000,104022.3309793806,0.0003900590
2025-12-04,540.0394150000,599.3150000000,104562.3703943806,0.0051915719
2025-12-05,47.6246960000,106.0400000000,104609.9950903806,0.0004554669
2025-12-08,480.5906220000,539.8500000000,105090.5857123806,0.0045941176
2025-12-09,204.1671076400,280.4102000000,105294.7528200206,0.0019427726
2025-12-10,-306.4860023000,-244.3885000000,104988.2668177206,-0.0029107434
2025-12-11,-1068.5203896000,-996.0140000000,103919.7464281206,-0.0101775219
2025-12-12,-16.7772057400,85.8443000000,103902.9692223806,-0.0001614439
2025-12-15,238.5456730000,314.2450000000,104141.5148953806,0.0022958504
2025-12-16,-313.7980884000,-246.2492000000,103827.7168069806,-0.0030131892
2025-12-17,-942.1215839200,-857.2760000000,102885.5952230606,-0.0090738929
2025-12-18,-17.2793565000,33.5325000000,102868.3158665606,-0.0001679473
2025-12-19,300.4234854400,387.2650000000,103168.7393520007,0.0029204666
2025-12-22,264.4372598400,332.0608000000,103433.1766118407,0.0025631530
2025-12-23,-1042.4288020000,-1000.2900000000,102390.7478098407,-0.0100782828
2025-12-24,225.7135229800,276.9149000000,102616.4613328207,0.0022044328
2025-12-26,392.4142203400,442.9415000000,103008.8755531607,0.0038240865
2025-12-29,192.8559178000,252.4410000000,103201.7314709607,0.0018722262
2025-12-30,155.2294915000,206.1895000000,103356.9609624607,0.0015041365
2025-12-31,-526.2374052000,-483.6260000000,102830.7235572607,-0.0050914559
2026-01-02,-184.6589750400,-107.7270000000,102646.0645822207,-0.0017957568
2026-01-05,-44.8676090000,22.8150000000,102601.1969732207,-0.0004371099
2026-01-06,606.6344604400,681.9850000000,103207.8314336607,0.0059125476
2026-01-07,536.7169072800,646.2140000000,103744.5483409407,0.0052003506
2026-01-08,40.7408859600,107.8962000000,103785.2892269007,0.0003927039
2026-01-09,523.8057940000,592.0800000000,104309.0950209007,0.0050470139
2026-01-12,446.0907042400,529.4228000000,104755.1857251407,0.0042766233
2026-01-13,94.0926057400,162.5787000000,104849.2783308808,0.0008982143
2026-01-14,-199.9982971800,-132.2949000000,104649.2800337008,-0.0019074838
2026-01-15,377.0193294800,452.3750000000,105026.2993631808,0.0036026940
2026-01-16,-35.5526376000,23.3000000000,104990.7467255808,-0.0003385118
2026-01-20,541.6730172000,635.3582000000,105532.4197427808,0.0051592453
2026-01-21,-3.1145891200,107.4950000000,105529.3051536608,-0.0000295131
2026-01-22,-392.4824460000,-341.8100000000,105136.8227076608,-0.0037191797
2026-01-23,-221.6664830000,-171.2050000000,104915.1562246608,-0.0021083620
2026-01-26,431.5314176000,481.9600000000,105346.6876422608,0.0041131466
2026-01-27,153.5278459000,221.0505000000,105500.2154881608,0.0014573581
2026-01-28,470.9269712800,530.9500000000,105971.1424594408,0.0044637536
2026-01-29,-127.8189666800,-30.4500000000,105843.3234927608,-0.0012061677
2026-01-30,545.9149488400,662.5550000000,106389.2384416009,0.0051577646
2026-02-02,259.8013314000,327.6050000000,106649.0397730009,0.0024419888
2026-02-03,386.6912134400,496.6400000000,107035.7309864409,0.0036258293
2026-02-04,216.2852250200,326.6151000000,107252.0162114609,0.0020206825
2026-02-05,115.7726796000,217.2500000000,107367.7888910609,0.0010794453
2026-02-06,319.5101128400,422.0374000000,107687.2990039009,0.0029758470
2026-02-09,322.2152583200,373.0878000000,108009.5142622209,0.0029921380
2026-02-10,314.1512705400,365.0527000000,108323.6655327609,0.0029085518
2026-02-11,824.3804721600,892.0358000000,109148.0460049209,0.0076103451
2026-02-12,100.5617100000,231.8150000000,109248.6077149209,0.0009213331
2026-02-13,226.5024240000,294.6200000000,109475.1101389210,0.0020732752
2026-02-17,97.1634635800,189.0821000000,109572.2736025010,0.0008875393
