date,daily_net_pnl,daily_gross_pnl,equity,daily_return
2025-08-22,-440.2047393800,-312.5057000000,99559.7952606200,-0.0044020474
2025-08-25,514.6137741200,607.5748000000,100074.4090347400,0.0051688914
2025-08-26,-218.2777678000,-141.9590000000,99856.1312669400,-0.0021811547
2025-08-27,101.7546694400,178.0160000000,99957.8859363800,0.0010190127
2025-08-28,46.6218882000,140.3290000000,100004.5078245801,0.0004664153
2025-08-29,149.6758591600,260.0114000000,100154.1836837401,0.0014966911
2025-09-02,99.9756586600,227.6667000000,100254.1593424001,0.0009982175
2025-09-03,103.3483676000,204.4840000000,100357.5077100001,0.0010308636
2025-09-04,647.5336014800,749.8480000000,101005.0413114801,0.0064522687
2025-09-05,363.9304956000,473.5520000000,101368.9718070801,0.0036030924
2025-09-08,-340.9398210000,-248.2450000000,101028.0319860801,-0.0033633548
2025-09-09,218.5432959200,328.9796000000,101246.5752820001,0.0021631946
2025-09-10,615.6886799400,741.3825000000,101862.2639619402,0.0060810815
2025-09-11,-139.8481379400,-55.5447000000,101722.4158240002,-0.0013729141
2025-09-12,-5.8043056400,113.0518000000,101716.6115183602,-0.0000570602
2025-09-15,-250.9964984000,-133.5100000000,101465.6150199602,-0.0024676058
2025-09-16,40.8884956000,140.8080000000,101506.5035155602,0.0004029788
2025-09-17,134.0688813800,294.9275000000,101640.5723969402,0.0013207911
2025-09-18,-493.7837990400,-400.8422000000,101146.7885979002,-0.0048581367
2025-09-19,-46.2297507200,80.5900000000,101100.5588471803,-0.0004570560
2025-09-22,-1224.7314463600,-1106.7918000000,99875.8274008203,-0.0121139928
2025-09-23,-266.3031037600,-165.0208000000,99609.5242970603,-0.0026663419
2025-09-24,718.0868205200,828.1174000000,100327.6111175803,0.0072090177
2025-09-25,145.9548778000,289.4150000000,100473.5659953803,0.0014547827
2025-09-26,604.0177099400,729.8365000000,101077.5837053203,0.0060117077
2025-09-29,-644.1729671200,-509.9200000000,100433.4107382003,-0.0063730547
2025-09-30,-397.3570441400,-295.8093000000,100036.0536940603,-0.0039564229
2025-10-01,479.2830756000,595.9540000000,100515.3367696603,0.0047911034
2025-10-02,-378.8432078800,-278.3294000000,100136.4935617803,-0.0037690090
2025-10-03,939.4107703200,1049.3232000000,101075.9043321003,0.0093813028
2025-10-06,209.6504390600,345.2535000000,101285.5547711603,0.0020741881
2025-10-07,1713.3052578800,1838.6094000000,102998.8600290404,0.0169155934
2025-10-08,332.2205880000,458.2100000000,103331.0806170404,0.0032254783
2025-10-09,-793.4448704400,-691.9342000000,102537.6357466004,-0.0076786661
2025-10-10,-1364.0739446800,-1145.4436000000,101173.5618019204,-0.0133031539
2025-10-13,-265.1762416000,-163.3320000000,100908.3855603204,-0.0026210033
2025-10-14,-53.5310424000,90.5960000000,100854.8545179204,-0.0005304915
2025-10-15,-583.3831607600,-449.8638000000,100271.4713571604,-0.0057843835
2025-10-16,-1227.2375646800,-1066.0850000000,99044.2337924804,-0.0122391499
2025-10-17,771.7764249000,898.3665000000,99816.0102173805,0.0077922398
2025-10-20,-3.0932276200,89.6795000000,99812.9169897605,-0.0000309893
2025-10-21,619.4033389200,796.3850000000,100432.3203286805,0.0062056431
2025-10-22,175.9630766000,294.1170000000,100608.2834052805,0.0017520563
2025-10-23,-441.1602532400,-347.9438000000,100167.1231520405,-0.0043849297
2025-10-24,431.3790885600,548.8600000000,100598.5022406005,0.0043065936
2025-10-27,413.6521085200,574.9200000000,101012.1543491206,0.0041119112
2025-10-28,-848.4110556000,-730.7368000000,100163.7432935206,-0.0083990987
2025-10-29,375.0170454600,550.3263000000,100538.7603389806,0.0037440398
2025-10-30,462.2262382800,629.6794000000,101000.9865772606,0.0045974929
2025-10-31,660.8699674400,827.7428000000,101661.8565447006,0.0065432031
2025-11-03,408.2370040000,533.6450000000,102070.0935487006,0.0040156359
2025-11-04,1718.1537488400,1868.5978000000,103788.2472975406,0.0168330770
2025-11-05,-1178.9210574400,-1069.9350000000,102609.3262401006,-0.0113589071
2025-11-06,246.7748902800,348.1350000000,102856.1011303806,0.0024049947
2025-11-07,427.5710522400,604.9912000000,103283.6721826207,0.0041569829
2025-11-10,150.5128844400,259.8742000000,103434.1850670607,0.0014572767
2025-11-11,1751.9018651400,1904.4413000000,105186.0869322007,0.0169373584
2025-11-12,310.7323961200,437.0436000000,105496.8193283207,0.0029541207
2025-11-13,236.0929013600,388.0276000000,105732.9122296807,0.0022379149
2025-11-14,-75.8931884000,16.0220000000,105657.0190412807,-0.0007177821
2025-11-17,-620.0398413600,-485.3868000000,105036.9791999208,-0.0058684207
2025-11-18,480.4242032800,664.9950000000,105517.4034032008,0.0045738578
2025-11-19,573.9053429600,700.2864000000,106091.3087461608,0.0054389639
2025-11-20,-542.8278968000,-342.0510000000,105548.4808493608,-0.0051166104
2025-11-21,2405.9267950000,2616.9150000000,107954.4076443608,0.0227945185
2025-11-24,-116.7025052600,-32.3021000000,107837.7051391008,-0.0010810351
2025-11-25,-26.5216960000,133.5500000000,107811.1834431008,-0.0002459408
2025-11-26,-283.6883343000,-174.2765000000,107527.4951088009,-0.0026313442
2025-11-28,-286.5278940000,-210.9600000000,107240.9672148009,-0.0026646942
2025-12-01,27.1293082800,127.8986000000,107268.0965230809,0.0002529752
2025-12-02,-1187.1163823200,-1044.0044000000,106080.9801407609,-0.0110668169
2025-12-03,-157.9501877400,-65.2063000000,105923.0299530209,-0.0014889586
2025-12-04,868.3593470000,969.0750000000,106791.3893000209,0.0081980222
2025-12-05,45.0726659000,136.7895000000,106836.4619659209,0.0004220627
2025-12-08,487.0419020000,588.2300000000,107323.5038679209,0.0045587611
2025-12-09,-126.5431668800,-9.0098000000,107196.9607010410,-0.0011790816
2025-12-10,-929.6244173000,-836.7835000000,106267.3362837410,-0.0086721154
2025-12-11,-1144.2490186000,-1009.0630000000,105123.0872651410,-0.0107676456
2025-12-12,321.6843341000,498.4365000000,105444.7715992410,0.0030600731
2025-12-15,910.8282847600,1027.7762000000,106355.5998840010,0.0086379654
2025-12-16,-347.1422498400,-254.8376000000,106008.4576341610,-0.0032639772
2025-12-17,-1549.5591011200,-1422.9500000000,104458.8985330410,-0.0146173158
2025-12-18,-280.9768545000,-179.5175000000,104177.9216785410,-0.0026898317
2025-12-19,-102.9073031200,31.4600000000,104075.0143754210,-0.0009878034
2025-12-22,239.8565278400,340.7208000000,104314.8709032610,0.0023046504
2025-12-23,-1071.1685580000,-995.2700000000,103243.7023452610,-0.0102686084
2025-12-24,65.0132769800,149.0649000000,103308.7156222410,0.0006297070
2025-12-26,407.2164563400,491.2615000000,103715.9320785810,0.0039417435
2025-12-29,544.2924746800,645.4010000000,104260.2245532611,0.0052479158
