variant,symbol,signal_time,entry_time,direction,entry_z,status,requested_notional,pro_rata_allocated_notional,actual_entry_notional,shares,entry_reference,entry_price
uncapped_diagnostic,NVDA,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,LONG,-3.8630347323,FILLED,20000.0000000000,20000.0000000000,19860.3312720000,113,175.7200000000,175.7551440000
uncapped_diagnostic,AAPL,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,SHORT,3.0897183159,FILLED,20000.0000000000,20000.0000000000,19806.8078460000,87,227.7100000000,227.6644580000
uncapped_diagnostic,AMD,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,LONG,-3.1307613848,FILLED,20000.0000000000,20000.0000000000,19998.0388080000,121,165.2400000000,165.2730480000
uncapped_diagnostic,TSLA,2025-08-22 10:02:00-04:00,2025-08-22 10:03:00-04:00,SHORT,3.3385734057,FILLED,20000.0000000000,20000.0000000000,19672.5647000000,59,333.5000000000,333.4333000000
uncapped_diagnostic,AMZN,2025-08-22 10:21:00-04:00,2025-08-22 10:22:00-04:00,SHORT,2.6677517339,FILLED,20000.0000000000,20000.0000000000,19789.0014080000,88,224.9200000000,224.8750160000
uncapped_diagnostic,GOOGL,2025-08-22 11:05:00-04:00,2025-08-22 11:06:00-04:00,SHORT,2.5660749822,FILLED,20000.0000000000,20000.0000000000,19845.1401780000,97,204.6300000000,204.5890740000
uncapped_diagnostic,MSFT,2025-08-22 11:16:00-04:00,2025-08-22 11:17:00-04:00,LONG,-2.7216768262,FILLED,20000.0000000000,20000.0000000000,19867.7374529400,39,509.3273000000,509.4291654600
uncapped_diagnostic,META,2025-08-22 11:39:00-04:00,2025-08-22 11:40:00-04:00,LONG,-2.7315613903,FILLED,20000.0000000000,20000.0000000000,19567.6361446800,26,752.4509000000,752.6013901800
uncapped_diagnostic,AVGO,2025-08-22 12:16:00-04:00,2025-08-22 12:17:00-04:00,SHORT,3.2700386174,FILLED,20000.0000000000,20000.0000000000,19855.8330390000,67,296.4150000000,296.3557170000
uncapped_diagnostic,NVDA,2025-08-22 12:56:00-04:00,2025-08-22 12:57:00-04:00,SHORT,2.9933425246,FILLED,20000.0000000000,20000.0000000000,19993.6104780000,113,176.9700000000,176.9346060000
uncapped_diagnostic,AMZN,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,LONG,-3.9063539376,FILLED,20000.0000000000,20000.0000000000,19972.9537920000,88,226.9200000000,226.9653840000
uncapped_diagnostic,GOOGL,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,SHORT,3.3954522018,FILLED,20000.0000000000,20000.0000000000,19905.2681500000,97,205.2500000000,205.2089500000
uncapped_diagnostic,GOOGL,2025-08-22 13:21:00-04:00,2025-08-22 13:22:00-04:00,SHORT,3.0342371334,FILLED,20000.0000000000,20000.0000000000,19811.3201433600,96,206.4092000000,206.3679181600
