variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
uncapped_diagnostic,NVDA,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 10:08:00-04:00,LONG,-3.8630347323,175.7200000000,175.7551440000,176.9700000000,176.9346060000,113,20000.0000000000,20000.0000000000,19860.3312720000,5.2500000000,1.2500000000,593.2500000000,141.2500000000,170.4700000000,176.9700000000,TAKE_PROFIT_BRACKET,7,141.2500000000,7.9707940000,0.7910000000,8.7617940000,132.4882060000
uncapped_diagnostic,AMZN,QQQ,2025-08-22 10:21:00-04:00,2025-08-22 10:22:00-04:00,2025-08-22 11:02:00-04:00,SHORT,2.6677517339,224.9200000000,224.8750160000,226.9200000000,226.9653840000,88,20000.0000000000,20000.0000000000,19789.0014080000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,226.9200000000,223.6700000000,STOP,40,-176.0000000000,7.9523840000,0.6160000000,8.5683840000,-184.5683840000
uncapped_diagnostic,GOOGL,QQQ,2025-08-22 11:05:00-04:00,2025-08-22 11:06:00-04:00,2025-08-22 13:11:00-04:00,SHORT,2.5660749822,204.6300000000,204.5890740000,205.8800000000,205.9211760000,97,20000.0000000000,20000.0000000000,19845.1401780000,1.2500000000,3.2500000000,121.2500000000,315.2500000000,205.8800000000,201.3800000000,STOP,125,-121.2500000000,7.9638940000,0.6790000000,8.6428940000,-129.8928940000
uncapped_diagnostic,GOOGL,QQQ,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,2025-08-22 13:21:00-04:00,SHORT,3.3954522018,205.2500000000,205.2089500000,206.5000000000,206.5413000000,97,20000.0000000000,20000.0000000000,19905.2681500000,1.2500000000,3.2500000000,121.2500000000,315.2500000000,206.5000000000,202.0000000000,STOP,9,-121.2500000000,7.9879500000,0.6790000000,8.6669500000,-129.9169500000
uncapped_diagnostic,GOOGL,QQQ,2025-08-22 13:21:00-04:00,2025-08-22 13:22:00-04:00,2025-08-22 13:40:00-04:00,SHORT,3.0342371334,206.4092000000,206.3679181600,207.6592000000,207.7007318400,96,20000.0000000000,20000.0000000000,19811.3201433600,1.2500000000,3.2500000000,120.0000000000,312.0000000000,207.6592000000,203.1592000000,STOP,18,-120.0000000000,7.9501132800,0.6720000000,8.6221132800,-128.6221132800
uncapped_diagnostic,AMZN,QQQ,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,2025-08-22 13:54:00-04:00,LONG,-3.9063539376,226.9200000000,226.9653840000,228.1700000000,228.1243660000,88,20000.0000000000,20000.0000000000,19972.9537920000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,224.9200000000,228.1700000000,TAKE_PROFIT_BRACKET,42,110.0000000000,8.0095840000,0.6160000000,8.6255840000,101.3744160000
uncapped_diagnostic,META,QQQ,2025-08-22 11:39:00-04:00,2025-08-22 11:40:00-04:00,2025-08-22 14:12:00-04:00,LONG,-2.7315613903,752.4509000000,752.6013901800,755.2009000000,755.0498598200,26,20000.0000000000,20000.0000000000,19567.6361446800,8.0000000000,2.7500000000,208.0000000000,71.5000000000,744.4509000000,755.2009000000,TAKE_PROFIT_BRACKET,152,71.5000000000,7.8397893600,0.1820000000,8.0217893600,63.4782106400
uncapped_diagnostic,NVDA,QQQ,2025-08-22 12:56:00-04:00,2025-08-22 12:57:00-04:00,2025-08-22 15:59:00-04:00,SHORT,2.9933425246,176.9700000000,176.9346060000,178.0200000000,178.0556040000,113,20000.0000000000,20000.0000000000,19993.6104780000,5.2500000000,1.2500000000,593.2500000000,141.2500000000,182.2200000000,175.7200000000,FORCED_EOD,182,-118.6500000000,8.0227740000,0.7910000000,8.8137740000,-127.4637740000
uncapped_diagnostic,MSFT,QQQ,2025-08-22 11:16:00-04:00,2025-08-22 11:17:00-04:00,2025-08-22 15:59:00-04:00,LONG,-2.7216768262,509.3273000000,509.4291654600,507.1000000000,506.9985800000,39,20000.0000000000,20000.0000000000,19867.7374529400,11.7500000000,9.0000000000,458.2500000000,351.0000000000,497.5773000000,518.3273000000,FORCED_EOD,282,-86.8647000000,7.9281329400,0.2730000000,8.2011329400,-95.0658329400
uncapped_diagnostic,AAPL,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.0897183159,227.7100000000,227.6644580000,227.7500000000,227.7955500000,87,20000.0000000000,20000.0000000000,19806.8078460000,3.0000000000,7.5000000000,261.0000000000,652.5000000000,230.7100000000,220.2100000000,FORCED_EOD,358,-3.4800000000,7.9250040000,0.6090000000,8.5340040000,-12.0140040000
uncapped_diagnostic,AMZN,QQQ,2025-08-22 14:48:00-04:00,2025-08-22 14:49:00-04:00,2025-08-22 15:59:00-04:00,SHORT,2.5487215465,228.7100000000,228.6642580000,228.8400000000,228.8857680000,87,20000.0000000000,20000.0000000000,19893.7904460000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,230.7100000000,227.4600000000,FORCED_EOD,70,-11.3100000000,7.9613700000,0.6090000000,8.5703700000,-19.8803700000
uncapped_diagnostic,META,QQQ,2025-08-22 15:01:00-04:00,2025-08-22 15:02:00-04:00,2025-08-22 15:59:00-04:00,LONG,-2.7232298242,753.2200000000,753.3706440000,754.6540000000,754.5030692000,26,20000.0000000000,20000.0000000000,19587.6367440000,8.0000000000,2.7500000000,208.0000000000,71.5000000000,745.2200000000,755.9700000000,FORCED_EOD,57,37.2840000000,7.8409448000,0.1820000000,8.0229448000,29.2610552000
uncapped_diagnostic,AVGO,QQQ,2025-08-22 12:16:00-04:00,2025-08-22 12:17:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.2700386174,296.4150000000,296.3557170000,294.0000000000,294.0588000000,67,20000.0000000000,20000.0000000000,19855.8330390000,10.5000000000,5.0000000000,703.5000000000,335.0000000000,306.9150000000,291.4150000000,FORCED_EOD,222,161.8050000000,7.9115610000,0.4690000000,8.3805610000,153.4244390000
uncapped_diagnostic,TSLA,QQQ,2025-08-22 10:02:00-04:00,2025-08-22 10:03:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.3385734057,333.5000000000,333.4333000000,340.0100000000,340.0780020000,59,20000.0000000000,20000.0000000000,19672.5647000000,19.7500000000,7.0000000000,1165.2500000000,413.0000000000,353.2500000000,326.5000000000,FORCED_EOD,356,-384.0900000000,7.9474180000,0.4130000000,8.3604180000,-392.4504180000
uncapped_diagnostic,AMD,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 15:59:00-04:00,LONG,-3.1307613848,165.2400000000,165.2730480000,167.7900000000,167.7564420000,121,20000.0000000000,20000.0000000000,19998.0388080000,1.7500000000,4.0000000000,211.7500000000,484.0000000000,163.4900000000,169.2400000000,FORCED_EOD,358,308.5500000000,8.0593260000,0.8470000000,8.9063260000,299.6436740000
uncapped_diagnostic,AMZN,QQQ,2025-08-25 10:03:00-04:00,2025-08-25 10:04:00-04:00,2025-08-25 10:49:00-04:00,LONG,-2.5552572228,228.0400000000,228.0856080000,229.2900000000,229.2441420000,87,20000.0000000000,20000.0000000000,19843.4478960000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,226.0400000000,229.2900000000,TAKE_PROFIT_BRACKET,45,108.7500000000,7.9575420000,0.6090000000,8.5665420000,100.1834580000
uncapped_diagnostic,TSLA,QQQ,2025-08-25 11:00:00-04:00,2025-08-25 11:01:00-04:00,2025-08-25 13:16:00-04:00,LONG,-2.5073519520,340.6050000000,340.6731210000,347.6050000000,347.5354790000,58,20000.0000000000,20000.0000000000,19759.0410180000,19.7500000000,7.0000000000,1145.5000000000,406.0000000000,320.8550000000,347.6050000000,TAKE_PROFIT_BRACKET,135,406.0000000000,7.9832360000,0.4060000000,8.3892360000,397.6107640000
uncapped_diagnostic,NVDA,QQQ,2025-08-25 11:02:00-04:00,2025-08-25 11:03:00-04:00,2025-08-25 15:59:00-04:00,SHORT,2.6512405667,180.2900000000,180.2539420000,179.0400000000,179.0758080000,110,20000.0000000000,20000.0000000000,19827.9336200000,5.2500000000,1.2500000000,577.5000000000,137.5000000000,185.5400000000,179.0400000000,TAKE_PROFIT_BRACKET,296,137.5000000000,7.9052600000,0.7700000000,8.6752600000,128.8247400000
uncapped_diagnostic,MSFT,QQQ,2025-08-25 11:30:00-04:00,2025-08-25 11:31:00-04:00,2025-08-25 15:59:00-04:00,LONG,-3.0075698317,507.0818000000,507.1832163600,504.4600000000,504.3591080000,39,20000.0000000000,20000.0000000000,19780.1454380400,11.7500000000,9.0000000000,458.2500000000,351.0000000000,495.3318000000,516.0818000000,FORCED_EOD,268,-102.2502000000,7.8900260400,0.2730000000,8.1630260400,-110.4132260400
