symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
AAPL,QQQ,2026-05-22 11:49:00-04:00,2026-05-22 11:50:00-04:00,2026-05-22 15:59:00-04:00,LONG,-2.8430920273,310.0400000000,309.2837752078,720.0550000000,719.1581909763,309.3829858505,310.0600000000,310.1220120000,308.8100000000,308.7482380000,64,19847.8087680000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,307.0600000000,317.5600000000,FORCED_EOD,249,-80.0000000000,7.9215360000,0.4480000000,8.3695360000,-88.3695360000
AAPL,QQQ,2026-05-26 11:58:00-04:00,2026-05-26 11:59:00-04:00,2026-05-26 15:59:00-04:00,LONG,-2.5973106558,310.0600000000,310.8391009661,726.5700000000,728.0705590412,310.4464519105,310.0300000000,310.0920060000,308.3800000000,308.3183240000,64,19845.8883840000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,307.0300000000,317.5300000000,FORCED_EOD,240,-105.6000000000,7.9156480000,0.4480000000,8.3636480000,-113.9636480000
AAPL,QQQ,2026-05-27 12:46:00-04:00,2026-05-27 12:47:00-04:00,2026-05-27 15:59:00-04:00,LONG,-2.5635070006,310.7700000000,311.7741989295,729.4675000000,728.4884163059,311.8580034287,310.7600000000,310.8221520000,310.9300000000,310.8678140000,64,19892.6177280000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,307.7600000000,318.2600000000,FORCED_EOD,192,10.8800000000,7.9576320000,0.4480000000,8.4056320000,2.4743680000
AAPL,QQQ,2026-05-28 11:34:00-04:00,2026-05-28 11:35:00-04:00,2026-05-28 15:59:00-04:00,LONG,-2.8519363923,311.3700000000,311.2081093922,735.1000000000,730.7717320914,311.5767585923,311.3700000000,311.4322740000,312.5100000000,312.4474980000,64,19931.6655360000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,308.3700000000,318.8700000000,FORCED_EOD,264,72.9600000000,7.9856640000,0.4480000000,8.4336640000,64.5263360000
AAPL,QQQ,2026-05-29 10:57:00-04:00,2026-05-29 10:58:00-04:00,2026-05-29 15:59:00-04:00,LONG,-2.5827259281,311.5650000000,313.4536284733,738.0800000000,738.5593220615,313.4129424417,311.5600000000,311.6223120000,312.0700000000,312.0075860000,64,19943.8279680000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,308.5600000000,319.0600000000,FORCED_EOD,301,32.6400000000,7.9824640000,0.4480000000,8.4304640000,24.2095360000
AAPL,QQQ,2026-06-01 10:24:00-04:00,2026-06-01 10:25:00-04:00,2026-06-01 12:15:00-04:00,LONG,-2.5624492376,308.9799000000,309.7226397956,738.7000000000,738.0688624816,309.7756098065,308.9750000000,309.0367950000,305.9750000000,305.9138050000,64,19778.3548800000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,305.9750000000,316.4750000000,STOP,110,-192.0000000000,7.8713600000,0.4480000000,8.3193600000,-200.3193600000
AAPL,QQQ,2026-06-01 12:15:00-04:00,2026-06-01 12:16:00-04:00,2026-06-01 15:59:00-04:00,LONG,-2.6250664088,305.8300000000,308.2953047501,740.2700000000,739.1826031676,308.3860101688,305.8399000000,305.9010679800,306.3100000000,306.2487380000,65,19883.5694187000,3.0000000000,7.5000000000,195.0000000000,487.5000000000,2.5000000000,302.8399000000,313.3399000000,FORCED_EOD,223,30.5565000000,7.9579487000,0.4550000000,8.4129487000,22.1435513000
AAPL,QQQ,2026-06-02 11:07:00-04:00,2026-06-02 11:08:00-04:00,2026-06-02 13:01:00-04:00,SHORT,2.9314849729,311.8400000000,309.3435112268,744.6300000000,742.5363226737,309.5179580453,311.8350000000,311.7726330000,314.8350000000,314.8979670000,64,19953.4485120000,3.0000000000,7.5000000000,192.0000000000,480.0000000000,2.5000000000,314.8350000000,304.3350000000,STOP,113,-192.0000000000,8.0213760000,0.4480000000,8.4693760000,-200.4693760000
AAPL,QQQ,2026-06-02 13:01:00-04:00,2026-06-02 13:02:00-04:00,2026-06-02 15:59:00-04:00,SHORT,2.7354486075,314.5900000000,310.8796826117,745.8100000000,743.5374937470,311.0697136535,314.5950000000,314.5320810000,315.2200000000,315.2830440000,63,19815.5211030000,3.0000000000,7.5000000000,189.0000000000,472.5000000000,2.5000000000,317.5950000000,307.0950000000,FORCED_EOD,177,-39.3750000000,7.9356690000,0.4410000000,8.3766690000,-47.7516690000
AAPL,QQQ,2026-06-03 10:00:00-04:00,2026-06-03 10:01:00-04:00,2026-06-03 10:58:00-04:00,LONG,-2.5195787151,314.6800000000,315.8470717192,743.7700000000,744.6250989768,315.7745303804,314.6460000000,314.7089292000,311.6460000000,311.5836708000,63,19826.6625396000,3.0000000000,7.5000000000,189.0000000000,472.5000000000,2.5000000000,311.6460000000,322.1460000000,STOP,57,-189.0000000000,7.8912792000,0.4410000000,8.3322792000,-197.3322792000
