stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1302.0000000000,188.0000000000,-699.7200000000,11039.3454535989,690.8790000000,10348.4664535989,-11739.0654535989,6550.2210018405,-18289.2864554395,48.1566820276,0.3581452463,-15.4930021805,11739.0654535990,-1.0000000000,29.8494689661,30.6076742400,10259.5090784200,10597.6636104800,661.0000000000,627.0000000000,14.0000000000,-11739.0654535989,-1304.3406059554,-1255.5576104799,58.1784966925,0,1302.0000000000,188.0000000000,11039.3454535989,10259.5090784200,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1175.0000000000,188.0000000000,660.4667000000,9962.9013057390,623.4760000000,9339.4253057390,-9302.4346057391,11466.0530051603,-20768.4876108994,34.6382978723,0.5520889734,-10.6281078595,9302.4346057391,-1.0000000000,30.0143645369,30.6076742400,9550.8713904200,10542.4420604800,752.0000000000,382.0000000000,41.0000000000,-9302.4346057390,-1033.6038450821,-1107.0235019599,80.9790767196,0,1175.0000000000,188.0000000000,9962.9013057390,9550.8713904200,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1129.0000000000,188.0000000000,1159.8367000000,9571.8849154590,598.6120000000,8973.2729154590,-8412.0482154591,13653.6077706402,-22065.6559860993,27.5465013286,0.6187718951,-7.8901771352,8419.5007313790,-0.9991148506,30.0257800688,30.6178400000,8940.8544540200,10361.7366104800,800.0000000000,268.0000000000,61.0000000000,-8412.0482154590,-934.6720239399,-924.5278077199,125.9905124707,0,1129.0000000000,188.0000000000,9571.8849154590,8940.8544540200,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1083.0000000000,188.0000000000,2320.3907000000,9181.0892223391,573.6500000000,8607.4392223391,-6860.6985223391,15162.4710856802,-22023.1696080193,24.6537396122,0.6884781508,-5.9996278658,6926.6365382191,-0.9904805145,30.0370951185,30.6178400000,8441.8480290201,10644.5128604800,799.0000000000,205.0000000000,79.0000000000,-6860.6985223391,-762.2998358155,-783.6821322398,143.3540396620,0,1083.0000000000,188.0000000000,9181.0892223391,8441.8480290201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1025.0000000000,188.0000000000,1061.8940000000,8689.3618584791,543.0180000000,8146.3438584791,-7627.4678584792,14219.4344968202,-21846.9023552993,21.0731707317,0.6508673067,-6.3007778442,7633.0326891191,-0.9992709542,30.0772392215,30.6178400000,8339.2738467001,9893.6736104800,793.0000000000,138.0000000000,94.0000000000,-7627.4678584791,-847.4964287199,-875.6724328599,135.4687509829,0,1025.0000000000,188.0000000000,8689.3618584791,8339.2738467001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,975.0000000000,188.0000000000,689.4583000000,8265.4998486192,516.3410000000,7749.1588486192,-7576.0415486192,13658.4296180001,-21234.4711666194,19.4871794872,0.6432196738,-6.1419605680,7666.7813062593,-0.9881645564,30.0875908065,30.6178400000,8113.9210697001,9750.3798604800,771.0000000000,101.0000000000,103.0000000000,-7576.0415486192,-841.7823942910,-917.3488805199,114.8445204532,0,975.0000000000,188.0000000000,8265.4998486192,8113.9210697001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,937.0000000000,188.0000000000,1130.5780000000,7943.4814025192,496.2650000000,7447.2164025192,-6812.9034025192,13752.2954312201,-20565.1988337394,18.8900747065,0.6687168718,-5.3736399410,6856.6725561593,-0.9936165606,30.1103087132,30.6178400000,7877.4211593001,9824.6296104800,747.0000000000,77.0000000000,113.0000000000,-6812.9034025192,-756.9892669466,-851.7237085199,135.4223396410,0,937.0000000000,188.0000000000,7943.4814025192,7877.4211593001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,905.0000000000,188.0000000000,1146.4630000000,7671.8579495192,479.2270000000,7192.6309495192,-6525.3949495193,13486.3143822201,-20011.7093317394,18.2320441989,0.6739211608,-5.1129753474,6569.1641031593,-0.9933371807,30.0868542939,30.6178400000,7664.8284773000,9927.4251204800,727.0000000000,61.0000000000,117.0000000000,-6525.3949495193,-725.0438832799,-637.8576893599,148.3506745613,0,905.0000000000,188.0000000000,7671.8579495192,7664.8284773000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,890.0000000000,188.0000000000,1228.0930000000,7544.5319545592,471.2680000000,7073.2639545593,-6316.4389545593,13499.3078013401,-19815.7467558994,17.7528089888,0.6812414373,-4.7448308470,6360.2081081993,-0.9931182828,30.0981753227,30.6178400000,7475.0712273000,9624.1773704800,720.0000000000,51.0000000000,119.0000000000,-6316.4389545593,-701.8265505066,-618.0885413599,171.2210366482,0,890.0000000000,188.0000000000,7544.5319545593,7475.0712273000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,873.0000000000,188.0000000000,497.5380000000,7400.6475325193,462.4900000000,6938.1575325193,-6903.1095325193,12726.0893043401,-19629.1988368594,16.9530355097,0.6483244380,-5.2438961717,6946.8786861593,-0.9936994504,30.1109540345,30.6178400000,7301.6581775401,9459.9675204800,713.0000000000,40.0000000000,120.0000000000,-6903.1095325193,-767.0121702799,-595.2565925199,167.7931918456,0,873.0000000000,188.0000000000,7400.6475325193,7301.6581775401,False,False,,,,,,0,,,False,False,False,0,0
