kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,6d6e1b49365894a0f319f9f5fc5831c3ef8ce6ece2ccfb72d423301fdc62e31b,3,,,,,NO_STABLE_PARETO
anchored,2,0+1+2+3,0,84,db7df3548a8a518cde5ca4a5de4ebc3430642427d99400bdb0de3495d2a650ee,4,,,,,NO_STABLE_PARETO
anchored,3,0+1+2+3+4,0,105,10999cbd8f5ade469e2004f8c44a326ceb78c7d4767762e4d126efdc1cd973f8,5,,,,,NO_STABLE_PARETO
anchored,4,0+1+2+3+4+5,0,126,e40726d42c7a3bfb3cf8c7978210ed1756809a114a15664b197668fa151b71cf,6,,,,,NO_STABLE_PARETO
anchored,5,0+1+2+3+4+5+6,0,147,0873a4bf9b60fbfcde2e9f68b8f4cb4a1bdabcb2ea18432000a4a3bb2b2d0913,7,,,,,NO_STABLE_PARETO
anchored,6,0+1+2+3+4+5+6+7,0,168,82d5ab77f20526af12bfea99474c8f0372087f492ba586d4d330ec968b0c91e1,8,,,,,NO_STABLE_PARETO
rolling,1,0+1+2,0,63,6d6e1b49365894a0f319f9f5fc5831c3ef8ce6ece2ccfb72d423301fdc62e31b,3,,,,,NO_STABLE_PARETO
rolling,2,1+2+3,21,84,c00a1528c403c031ad5b451f09b25c751839116378dafaa55861ef6b4a6685b6,4,,,,,NO_STABLE_PARETO
rolling,3,2+3+4,42,105,56e17dc96acc49ca3dca76e85efcac43424dbca59ead968aef2f65fb348187f9,5,3.5000000000,2.2500000000,-57.9732688599,-0.0646891312,SELECTED
rolling,4,3+4+5,63,126,6735c4dbb1a784d6b3cf02438e33703b74d2c6f9391f416707a20304e7a2abd3,6,3.0000000000,7.5000000000,-366.8746442000,-0.3753445940,SELECTED
rolling,5,4+5+6,84,147,e23f7139635e7f12d3b5318d06619ad33212360032678a41d8547b384401cf96,7,1.0000000000,7.2500000000,-1045.5920422000,-0.8999813318,SELECTED
rolling,6,5+6+7,105,168,f15cb55ac0ea9c077aef108a3d04be09231b7b1c2cc067ffe0ae85a363dff936,8,1.2500000000,7.0000000000,-172.0539780000,-0.2222587324,SELECTED
