stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,0.2500000000,21.0000000000,8190.0000000000,125.0000000000,21.0000000000,-498.7790000000,1105.0623986399,109.0600000000,996.0023986399,-1603.8413986399,1181.9525140801,-2785.7939127200,42.4000000000,0.4242785185,-13.1896395808,1675.4692176399,-0.9572490988,41.7612265429,41.9213520000,2337.5404602800,1422.9118431200,69.0000000000,53.0000000000,3.0000000000,0
0.2500000000,0.5000000000,21.0000000000,8190.0000000000,116.0000000000,21.0000000000,-155.5290000000,1025.6708997199,101.3110000000,924.3598997199,-1181.1998997199,1926.6956462000,-3107.8955459199,31.0344827586,0.6199357790,-8.0543279878,1424.6187000399,-0.8291340691,41.8196464600,41.9213520000,2172.2878122800,1516.8930431200,77.0000000000,36.0000000000,3.0000000000,0
0.2500000000,0.7500000000,21.0000000000,8190.0000000000,111.0000000000,21.0000000000,-69.0040000000,981.3006493199,96.9080000000,884.3926493199,-1050.3046493199,2218.4835254400,-3268.7881747599,24.3243243243,0.6786868426,-6.0203937389,1366.9446803198,-0.7683592939,41.8196464600,41.9213520000,2091.1529220000,1358.9246431200,81.0000000000,26.0000000000,4.0000000000,0
0.2500000000,1.0000000000,21.0000000000,8190.0000000000,108.0000000000,21.0000000000,-441.2312000000,954.9132758399,94.2970000000,860.6162758399,-1396.1444758399,2037.9747254800,-3434.1192013199,17.5925925926,0.5934490348,-6.2807071777,1921.1068993199,-0.7267396085,41.8196464600,41.9213520000,2050.6930997200,1389.9184431200,85.0000000000,17.0000000000,6.0000000000,0
0.2500000000,1.2500000000,21.0000000000,8190.0000000000,107.0000000000,21.0000000000,-250.2312000000,946.1714358399,93.4570000000,852.7144358399,-1196.4026358399,2277.5585094800,-3473.9611453199,15.8878504673,0.6556085155,-5.5117303665,1734.1072993199,-0.6899242257,41.8196464600,41.9213520000,1956.7118997200,1420.9122431200,86.0000000000,15.0000000000,6.0000000000,0
0.2500000000,1.5000000000,21.0000000000,8190.0000000000,103.0000000000,21.0000000000,-182.1940000000,910.9457672799,90.0900000000,820.8557672799,-1093.1397672799,2343.5638790000,-3436.7036462799,13.5922330097,0.6819220160,-4.9636080598,1599.7920933199,-0.6833011438,41.8196464600,41.9213520000,1862.7306997200,1234.9494431200,85.0000000000,13.0000000000,5.0000000000,0
0.2500000000,1.7500000000,21.0000000000,8190.0000000000,101.0000000000,21.0000000000,-116.2640000000,893.2492948799,88.3820000000,804.8672948799,-1009.5132948799,2389.1232110000,-3398.6365058799,12.8712871287,0.7029652059,-4.4653178571,1544.2644184798,-0.6537179014,41.8196464600,41.9213520000,1768.7494997200,1234.9494431200,84.0000000000,11.0000000000,6.0000000000,0
0.2500000000,2.0000000000,21.0000000000,8190.0000000000,100.0000000000,21.0000000000,-6.8240000000,884.4335708799,87.5350000000,796.8985708799,-891.2575708799,2468.2810490000,-3359.5386198799,13.0000000000,0.7347083419,-3.7702447880,1453.9049258798,-0.6130095270,41.8520292000,41.9213520000,1676.0180497200,1234.9494431200,83.0000000000,9.0000000000,8.0000000000,0
0.2500000000,2.2500000000,21.0000000000,8190.0000000000,97.0000000000,21.0000000000,366.9260000000,858.0042848799,84.9380000000,773.0662848799,-491.0782848799,2749.2622490000,-3240.3405338799,13.4020618557,0.8484485566,-1.8739333939,1115.2133398798,-0.4403447012,41.8517124000,41.9213520000,1613.2805997200,1234.9494431200,80.0000000000,9.0000000000,8.0000000000,0
0.2500000000,2.5000000000,21.0000000000,8190.0000000000,93.0000000000,21.0000000000,59.9350000000,822.5943510799,81.4590000000,741.1353510799,-762.6593510799,2397.7426710000,-3160.4020220799,12.9032258065,0.7586828050,-2.9034574468,1157.2654810799,-0.6590184910,41.8058525520,41.9213520000,1550.5431497200,1234.9494431200,78.0000000000,5.0000000000,10.0000000000,0
