stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,one_se,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1709.0000000000,188.0000000000,-2815.4071000000,14627.0100352185,1038.1490000000,13588.8610352185,-17442.4171352185,10315.4860418407,-27757.9031770592,44.9385605617,0.3716233887,-14.9370838582,17487.7943492182,-0.9974052066,40.0692959233,41.9213520000,32709.0617804001,26306.4167675400,922.0000000000,765.0000000000,22.0000000000,-17442.4171352185,-1938.0463483576,-1809.3792004398,194.9101352970,0,1709.0000000000,188.0000000000,14627.0100352185,32709.0617804001,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1524.0000000000,188.0000000000,-186.5043000000,13041.4512994187,923.9650000000,12117.4862994187,-13227.9555994187,17262.6436014004,-30490.5992008191,32.4803149606,0.5661628192,-10.2890395953,13380.5935240186,-0.9885925894,40.3692302166,41.9213520000,31539.2045781001,26329.6067875400,1009.0000000000,487.0000000000,28.0000000000,-13227.9555994187,-1469.7728443799,-1307.8604409998,168.0435571055,0,1524.0000000000,188.0000000000,13041.4512994187,31539.2045781001,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1433.0000000000,188.0000000000,194.9106000000,12262.4375555188,868.6790000000,11393.7585555188,-12067.5269555188,19732.0882676203,-31799.6152231391,25.1919050942,0.6205134285,-8.1615120024,12336.6255315186,-0.9781870192,40.4820081833,41.9213520000,30653.0170943001,25797.7634215400,1049.0000000000,341.0000000000,43.0000000000,-12067.5269555188,-1340.8363283910,-1326.1939559999,147.3863057136,0,1433.0000000000,188.0000000000,12262.4375555188,30653.0170943001,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1375.0000000000,188.0000000000,-1671.2931000000,11768.9028304188,836.2970000000,10932.6058304188,-13440.1959304189,19554.2195344002,-32994.4154648191,19.1272727273,0.5926524007,-8.3892274808,13780.7262464185,-0.9752893781,40.5453530475,41.9213520000,30149.8075625601,25272.9684715400,1087.0000000000,237.0000000000,51.0000000000,-13440.1959304188,-1493.3551033799,-1557.2840032998,211.8412925451,0,1375.0000000000,188.0000000000,11768.9028304188,30149.8075625601,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1345.0000000000,188.0000000000,-1763.1857000000,11512.6843644589,818.1460000000,10694.5383644589,-13275.8700644589,20185.5123083202,-33461.3823727791,16.2081784387,0.6032480094,-8.0764516624,13576.2071204585,-0.9778776905,40.5610435829,41.9213520000,29729.8874765601,25320.6926215400,1102.0000000000,187.0000000000,56.0000000000,-13275.8700644588,-1475.0966738288,-1557.9299821599,219.4040527970,0,1345.0000000000,188.0000000000,11512.6843644588,29729.8874765601,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,1324.0000000000,188.0000000000,-1886.4240000000,11331.7262773189,803.8520000000,10527.8742773189,-13218.1502773189,20522.2268897802,-33740.3771670991,14.1238670695,0.6082394037,-7.8312832999,13549.5561273186,-0.9755412025,40.5736864567,41.9213520000,29193.4885825601,24499.3724715400,1113.0000000000,152.0000000000,59.0000000000,-13218.1502773189,-1468.6833641465,-1624.9640109999,230.3501018115,0,1324.0000000000,188.0000000000,11331.7262773189,29193.4885825601,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,1305.0000000000,188.0000000000,-1697.4212000000,11167.7255712789,790.8740000000,10376.8515712789,-12865.1467712789,20826.2188409402,-33691.3656122191,12.9501915709,0.6181470671,-7.1889186610,13271.3902398787,-0.9693895318,40.5955216909,41.9213520000,28710.3002005201,23977.5886215400,1113.0000000000,129.0000000000,63.0000000000,-12865.1467712789,-1429.4607523643,-1576.8360208399,225.0821283489,0,1305.0000000000,188.0000000000,11167.7255712789,28710.3002005201,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,1286.0000000000,188.0000000000,-706.2902000000,11003.3369043589,777.6860000000,10225.6509043589,-11709.6271043590,21633.3094281802,-33342.9365325391,12.3639191291,0.6488123626,-6.2850545040,12131.7416265587,-0.9652057771,40.5972275631,41.9213520000,28075.0596805001,23391.5915215400,1104.0000000000,113.0000000000,69.0000000000,-11709.6271043589,-1301.0696782621,-1309.6846952999,245.4702371193,0,1286.0000000000,188.0000000000,11003.3369043589,28075.0596805001,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,1251.0000000000,188.0000000000,210.7233000000,10702.1115730989,755.0830000000,9947.0285730989,-10491.3882730990,22123.5070876401,-32614.8953607391,11.8305355715,0.6783252512,-5.0741773938,10987.1346450589,-0.9548793759,40.6007037079,41.9213520000,27622.8777785001,23329.6427985400,1083.0000000000,96.0000000000,72.0000000000,-10491.3882730989,-1165.7098081221,-1297.1481213599,311.3691710036,1,1251.0000000000,188.0000000000,10702.1115730989,27622.8777785001,False,False,,,,,,0,,,False,False,False,False,1,1
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,1238.0000000000,188.0000000000,238.6715000000,10589.7188189389,746.3960000000,9843.3228189389,-10351.0473189390,22098.0533394801,-32449.1006584191,11.4701130856,0.6810066501,-4.9437969923,10780.9844809388,-0.9601207883,40.5799564774,41.9213520000,27072.4017801001,23118.6849985400,1078.0000000000,83.0000000000,77.0000000000,-10351.0473189389,-1150.1163687710,-1252.6097213599,318.9599556954,1,1238.0000000000,188.0000000000,10589.7188189389,27072.4017801001,False,False,,,,,,0,,,False,False,False,False,1,1
