kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,1147d71278d8f685dcfd79c2ef0485fcb44798d2d571d5a372047e5232b951d6,3,1.2500000000,7.0000000000,233.4979436800,0.1546653178,SELECTED
anchored,2,0+1+2+3,0,84,5a10204c6f07e5dff54743419610f376b41ea079f45238030775e9e5221a6fef,4,1.2500000000,10.5000000000,-186.7329348200,-0.2394419328,SELECTED
anchored,3,0+1+2+3+4,0,105,3eb9243dc062d6c5aa006374891920cf32a057dac0ab9d584a0fb962a4841777,5,1.2500000000,11.0000000000,-674.3700457400,-0.3295778798,SELECTED
anchored,4,0+1+2+3+4+5,0,126,4ba287ee61d61da162c87e5a9539e37eb3ffa057d225202ed0378c432b53993b,6,1.2500000000,10.7500000000,1787.4489584400,2.7313084437,SELECTED
anchored,5,0+1+2+3+4+5+6,0,147,a03a62e053bb2220dcb31b21b5edadd60fa026e578b25cf2166641acf730d2a1,7,1.2500000000,11.2500000000,698.6528817401,0.5666639295,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,d6eacd7fc98b1c9ac68d1a4559d96b5a844e71b6387e192cda73ce84447de2a8,8,1.5000000000,4.0000000000,-1955.6327314199,-0.8670239079,SELECTED
rolling,1,0+1+2,0,63,1147d71278d8f685dcfd79c2ef0485fcb44798d2d571d5a372047e5232b951d6,3,1.2500000000,7.0000000000,233.4979436800,0.1546653178,SELECTED
rolling,2,1+2+3,21,84,ab22235503dd701b1861dd90b9f7afcbfe887c47e61654311a4370aae815601f,4,1.2500000000,11.0000000000,-186.7329348200,-0.2394419328,SELECTED
rolling,3,2+3+4,42,105,66f7b7afd8e2262428f83b994a420beb088119ce1af3a4dd2e074d6e818415bd,5,1.2500000000,4.0000000000,-414.4099567400,-0.2068549336,SELECTED
rolling,4,3+4+5,63,126,0ae08979144077b1b97c68b8d5e8d933268e478b454410f68af0d686e78c678e,6,,,,,NO_STABLE_PARETO
rolling,5,4+5+6,84,147,1a7673826d36b3aa7d4b6c977d000827fc98c3bc016cfdebbd63b2540302925b,7,1.7500000000,3.5000000000,1386.0773420601,1.7608373180,SELECTED
rolling,6,5+6+7,105,168,ea23088ee2a96130f3bb0fba44aa84f8cf8aa45a3ca248ddd8bab91005f29b6f,8,1.5000000000,3.5000000000,-1913.5411194199,-0.8763705931,SELECTED
