stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,0.2500000000,21.0000000000,8190.0000000000,125.0000000000,21.0000000000,-56.3200000000,1069.1499323199,75.3900000000,993.7599323199,-1125.4699323199,779.3814496801,-1904.8513819999,48.0000000000,0.4091560408,-19.1349813703,1183.9120543200,-0.9506364330,30.6476876800,30.8714300000,1487.5453190000,1474.7974666400,62.0000000000,60.0000000000,3.0000000000,0
0.2500000000,0.5000000000,21.0000000000,8190.0000000000,106.0000000000,21.0000000000,-206.7600000000,906.4217464799,63.8820000000,842.5397464799,-1113.1817464799,1071.8975419200,-2185.0792883999,29.2452830189,0.4905531564,-11.7257480082,1297.8386484800,-0.8577196771,30.6491329600,30.8304900000,1269.8282580000,1450.3016666400,71.0000000000,31.0000000000,4.0000000000,0
0.2500000000,0.7500000000,21.0000000000,8190.0000000000,102.0000000000,21.0000000000,-91.6670000000,872.1102139599,61.4950000000,810.6152139599,-963.7772139599,1284.6313893200,-2248.4086032799,23.5294117647,0.5713513938,-8.9521215964,1125.2919919600,-0.8564685618,30.6570160000,30.8304900000,1136.3256390000,1345.8062666400,73.0000000000,22.0000000000,7.0000000000,0
0.2500000000,1.0000000000,21.0000000000,8190.0000000000,96.0000000000,21.0000000000,-213.2858000000,820.9751377199,57.9040000000,763.0711377199,-1034.2609377199,1247.3740438000,-2281.6349815199,18.7500000000,0.5467018405,-10.1906015331,1269.2574930000,-0.8148550971,30.6771712000,30.8304900000,1075.6008090000,1259.7890666400,74.0000000000,14.0000000000,8.0000000000,0
0.2500000000,1.2500000000,21.0000000000,8190.0000000000,93.0000000000,21.0000000000,-136.7458000000,795.3335577199,56.0910000000,739.2425577199,-932.0793577199,1319.2566786000,-2251.3360363199,17.2043010753,0.5859883453,-8.1492187319,1224.9059930000,-0.7609395032,30.6771712000,30.8304900000,945.1008090000,1290.0784646400,73.0000000000,11.0000000000,9.0000000000,0
0.2500000000,1.5000000000,21.0000000000,8190.0000000000,91.0000000000,21.0000000000,134.8142000000,778.2039954799,54.8660000000,723.3379954799,-643.3897954799,1547.0773406000,-2190.4671360799,17.5824175824,0.7062773575,-5.1253129487,1018.1431073600,-0.6319247175,30.6334068000,30.8304900000,945.1008090000,1290.0784646400,71.0000000000,10.0000000000,10.0000000000,0
0.2500000000,1.7500000000,21.0000000000,8190.0000000000,89.0000000000,21.0000000000,88.9610000000,761.0155481199,53.6550000000,707.3605481199,-672.0545481199,1509.9210652400,-2181.9756133599,15.7303370787,0.6919972231,-5.6769246959,1084.6565267200,-0.6196012577,30.6334068000,30.8304900000,1107.2006010000,1320.1704253600,70.0000000000,8.0000000000,11.0000000000,0
0.2500000000,2.0000000000,21.0000000000,8190.0000000000,77.0000000000,21.0000000000,178.9510000000,658.2456632399,46.3680000000,611.8776632399,-479.2946632399,1370.4532752400,-1849.7479384799,16.8831168831,0.7408864996,-3.3800050441,1132.9033824800,-0.4230675543,30.6536155000,30.8436620000,1232.6781970000,1470.9552113600,59.0000000000,5.0000000000,13.0000000000,0
0.2500000000,2.2500000000,21.0000000000,8190.0000000000,74.0000000000,21.0000000000,79.3210000000,632.5021532399,44.5550000000,587.9471532399,-553.1811532399,1263.9860312400,-1817.1671844799,16.2162162162,0.6955804849,-3.6793121829,1188.7772758400,-0.4653362446,30.6536155000,30.8436620000,1331.6325490000,1470.9552113600,58.0000000000,3.0000000000,13.0000000000,0
0.2500000000,2.5000000000,21.0000000000,8190.0000000000,73.0000000000,21.0000000000,164.8210000000,623.9380292399,43.9530000000,579.9850292399,-459.1170292399,1327.9988312400,-1787.1158604799,16.4383561644,0.7430961028,-2.8590131060,1167.2729758400,-0.3933244740,30.6536155000,30.8436620000,1331.6325490000,1470.9552113600,57.0000000000,3.0000000000,13.0000000000,0
