symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
AMZN,QQQ,2025-08-22 10:21:00-04:00,2025-08-22 10:22:00-04:00,2025-08-22 11:02:00-04:00,SHORT,2.6677517339,224.9350000000,223.0963666970,571.4010000000,568.9630340271,224.2904122721,224.9200000000,224.8750160000,226.9200000000,226.9653840000,88,19789.0014080000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,0.6250000000,226.9200000000,223.6700000000,STOP,40,-176.0000000000,7.9523840000,0.6160000000,8.5683840000,-184.5683840000
AMZN,QQQ,2025-08-22 13:11:00-04:00,2025-08-22 13:12:00-04:00,2025-08-22 13:54:00-04:00,LONG,-3.9063539376,226.9200000000,225.4127368588,572.0300000000,570.9145140408,225.9628554134,226.9200000000,226.9653840000,228.1700000000,228.1243660000,88,19972.9537920000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,0.6250000000,224.9200000000,228.1700000000,TAKE_PROFIT_BRACKET,42,110.0000000000,8.0095840000,0.6160000000,8.6255840000,101.3744160000
AMZN,QQQ,2025-08-22 14:48:00-04:00,2025-08-22 14:49:00-04:00,2025-08-22 15:59:00-04:00,SHORT,2.5487215465,228.7030000000,225.9095702008,572.9750000000,571.1902028989,226.7912838189,228.7100000000,228.6642580000,228.8400000000,228.8857680000,87,19893.7904460000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,230.7100000000,227.4600000000,FORCED_EOD,70,-11.3100000000,7.9613700000,0.6090000000,8.5703700000,-19.8803700000
AMZN,QQQ,2025-08-25 10:03:00-04:00,2025-08-25 10:04:00-04:00,2025-08-25 10:49:00-04:00,LONG,-2.5552572228,228.0102000000,228.1215003092,571.1700000000,570.1798315973,228.8167481486,228.0400000000,228.0856080000,229.2900000000,229.2441420000,87,19843.4478960000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,226.0400000000,229.2900000000,TAKE_PROFIT_BRACKET,45,108.7500000000,7.9575420000,0.6090000000,8.5665420000,100.1834580000
AMZN,QQQ,2025-08-25 15:18:00-04:00,2025-08-25 15:19:00-04:00,2025-08-25 15:59:00-04:00,SHORT,2.6835784348,228.7050000000,228.5978200240,571.7350000000,571.6796698274,228.6366491467,228.7000000000,228.6542600000,227.8900000000,227.9355780000,87,19892.9206200000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,230.7000000000,227.4500000000,FORCED_EOD,40,70.4700000000,7.9446660000,0.6090000000,8.5536660000,61.9163340000
AMZN,QQQ,2025-08-26 10:46:00-04:00,2025-08-26 10:47:00-04:00,2025-08-26 15:59:00-04:00,SHORT,2.5617941664,228.0600000000,227.2940510535,571.2200000000,570.5169133043,227.7850285975,228.0600000000,228.0143880000,228.7200000000,228.7657440000,87,19837.2517560000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,230.0600000000,226.8100000000,FORCED_EOD,312,-57.4200000000,7.9479720000,0.6090000000,8.5569720000,-65.9769720000
AMZN,QQQ,2025-08-27 11:17:00-04:00,2025-08-27 11:18:00-04:00,2025-08-27 15:59:00-04:00,LONG,-2.5943317886,228.6200000000,229.0432383093,573.0515000000,572.1484500108,229.7984039203,228.6350000000,228.6807270000,229.0500000000,229.0041900000,87,19895.2232490000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,226.6350000000,229.8850000000,FORCED_EOD,281,36.1050000000,7.9637190000,0.6090000000,8.5727190000,27.5322810000
AMZN,QQQ,2025-08-28 12:50:00-04:00,2025-08-28 12:51:00-04:00,2025-08-28 15:59:00-04:00,LONG,-2.7004251446,232.1900000000,230.8956613469,576.7900000000,575.1544646711,232.1717835447,232.1900000000,232.2364380000,231.5600000000,231.5136880000,86,19972.3336680000,2.0000000000,1.2500000000,172.0000000000,107.5000000000,0.6250000000,230.1900000000,233.4400000000,FORCED_EOD,188,-54.1800000000,7.9765000000,0.6020000000,8.5785000000,-62.7585000000
AMZN,QQQ,2025-08-29 10:03:00-04:00,2025-08-29 10:04:00-04:00,2025-08-29 10:16:00-04:00,SHORT,2.9630948785,230.0300000000,230.5914727509,570.9300000000,572.8926094592,229.0205941947,230.0350000000,229.9889930000,228.7850000000,228.8307570000,86,19779.0533980000,2.0000000000,1.2500000000,172.0000000000,107.5000000000,0.6250000000,232.0350000000,228.7850000000,TAKE_PROFIT_BRACKET,12,107.5000000000,7.8917040000,0.6020000000,8.4937040000,99.0062960000
AMZN,QQQ,2025-08-29 13:05:00-04:00,2025-08-29 13:06:00-04:00,2025-08-29 15:59:00-04:00,SHORT,2.7776101221,228.2900000000,229.5049994617,569.2493000000,570.8863741420,228.1962710764,228.2850000000,228.2393430000,229.0500000000,229.0958100000,87,19856.8228410000,2.0000000000,1.2500000000,174.0000000000,108.7500000000,0.6250000000,230.2850000000,227.0350000000,FORCED_EOD,173,-66.5550000000,7.9576290000,0.6090000000,8.5666290000,-75.1216290000
AMZN,QQQ,2025-09-02 11:15:00-04:00,2025-09-02 11:16:00-04:00,2025-09-02 11:36:00-04:00,SHORT,2.8767469690,223.7500000000,224.3168754348,561.8100000000,563.1424652465,223.7239728711,223.7700000000,223.7252460000,222.5200000000,222.5645040000,89,19911.5468940000,2.0000000000,1.2500000000,178.0000000000,111.2500000000,0.6250000000,225.7700000000,222.5200000000,TAKE_PROFIT_BRACKET,20,111.2500000000,7.9439620000,0.6230000000,8.5669620000,102.6830380000
AMZN,QQQ,2025-09-02 11:37:00-04:00,2025-09-02 11:38:00-04:00,2025-09-02 12:21:00-04:00,LONG,-3.2727372272,222.3500000000,224.0818757062,560.6000000000,562.9521402805,223.0359947765,222.3600000000,222.4044720000,223.6100000000,223.5652780000,89,19793.9980080000,2.0000000000,1.2500000000,178.0000000000,111.2500000000,0.6250000000,220.3600000000,223.6100000000,TAKE_PROFIT_BRACKET,43,111.2500000000,7.9382660000,0.6230000000,8.5612660000,102.6887340000
AMZN,QQQ,2025-09-02 13:38:00-04:00,2025-09-02 13:39:00-04:00,2025-09-02 15:59:00-04:00,SHORT,2.9814148430,225.7200000000,223.8964584608,563.7342000000,562.4269204824,224.4778026680,225.7200000000,225.6748560000,225.3300000000,225.3750660000,88,19859.3873280000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,0.6250000000,227.7200000000,224.4700000000,FORCED_EOD,140,34.3200000000,7.9384800000,0.6160000000,8.5544800000,25.7655200000
AMZN,QQQ,2025-09-03 11:02:00-04:00,2025-09-03 11:03:00-04:00,2025-09-03 15:59:00-04:00,LONG,-2.5347654015,226.1900000000,226.3615772410,571.3100000000,569.5685712072,227.2737161834,226.1950000000,226.2402390000,226.0000000000,225.9548000000,88,19909.1410320000,2.0000000000,1.2500000000,176.0000000000,110.0000000000,0.6250000000,224.1950000000,227.4450000000,FORCED_EOD,296,-17.1600000000,7.9586320000,0.6160000000,8.5746320000,-25.7346320000
AMZN,QQQ,2025-09-04 10:36:00-04:00,2025-09-04 10:37:00-04:00,2025-09-04 12:07:00-04:00,LONG,-2.5372008634,233.0300000000,233.3835670842,571.6521000000,570.5945980953,233.8763139165,233.0400000000,233.0866080000,234.2900000000,234.2431420000,85,19812.3616800000,2.0000000000,1.2500000000,170.0000000000,106.2500000000,0.6250000000,231.0400000000,234.2900000000,TAKE_PROFIT_BRACKET,90,106.2500000000,7.9446100000,0.5950000000,8.5396100000,97.7103900000
