symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
AMZN,QQQ,2026-05-22 12:14:00-04:00,2026-05-22 12:15:00-04:00,2026-05-22 13:30:00-04:00,LONG,-2.6837713565,268.3501000000,268.7183121995,720.5200000000,719.2857902871,269.2891399129,268.3500000000,268.4036700000,269.6000000000,269.5460800000,74,19861.8715800000,2.0000000000,1.2500000000,148.0000000000,92.5000000000,0.6250000000,266.3500000000,269.6000000000,TAKE_PROFIT_BRACKET,75,92.5000000000,7.9616600000,0.5180000000,8.4796600000,84.0203400000
AMZN,QQQ,2026-05-22 13:30:00-04:00,2026-05-22 13:31:00-04:00,2026-05-22 13:56:00-04:00,SHORT,3.3801073196,269.3150000000,268.5680987752,721.5500000000,719.5658644218,269.4849007168,269.3500000000,269.2961300000,268.1000000000,268.1536200000,74,19927.9136200000,2.0000000000,1.2500000000,148.0000000000,92.5000000000,0.6250000000,271.3500000000,268.1000000000,TAKE_PROFIT_BRACKET,25,92.5000000000,7.9542600000,0.5180000000,8.4722600000,84.0277400000
AMZN,QQQ,2026-05-26 10:30:00-04:00,2026-05-26 10:31:00-04:00,2026-05-26 13:04:00-04:00,LONG,-2.5384623571,264.7350000000,267.2489434497,730.0430000000,727.4221740749,268.5928313542,264.7500000000,264.8029500000,262.7500000000,262.6974500000,75,19860.2212500000,2.0000000000,1.2500000000,150.0000000000,93.7500000000,0.6250000000,262.7500000000,266.0000000000,STOP,153,-150.0000000000,7.9125000000,0.5250000000,8.4375000000,-158.4375000000
AMZN,QQQ,2026-05-26 13:04:00-04:00,2026-05-26 13:05:00-04:00,2026-05-26 15:27:00-04:00,LONG,-3.1088078032,262.8156000000,265.4609908218,728.1200000000,727.9802142631,265.5321350059,262.8000000000,262.8525600000,264.0500000000,263.9971900000,76,19976.7945600000,2.0000000000,1.2500000000,152.0000000000,95.0000000000,0.6250000000,260.8000000000,264.0500000000,TAKE_PROFIT_BRACKET,142,95.0000000000,8.0081200000,0.5320000000,8.5401200000,86.4598800000
AMZN,QQQ,2026-05-26 15:27:00-04:00,2026-05-26 15:28:00-04:00,2026-05-26 15:59:00-04:00,SHORT,3.4985501994,264.0403000000,264.6937937353,729.5700000000,728.1578558585,265.4102549012,264.0550000000,264.0021890000,265.3050000000,265.3580610000,75,19800.1641750000,2.0000000000,1.2500000000,150.0000000000,93.7500000000,0.6250000000,266.0550000000,262.8050000000,FORCED_EOD,31,-93.7500000000,7.9404000000,0.5250000000,8.4654000000,-102.2154000000
AMZN,QQQ,2026-05-27 11:57:00-04:00,2026-05-27 11:58:00-04:00,2026-05-27 12:30:00-04:00,LONG,-3.0015321874,269.9650000000,269.2424860162,726.7200000000,728.5350011959,268.5916019875,269.9600000000,270.0139920000,271.2100000000,271.1557580000,74,19981.0354080000,2.0000000000,1.2500000000,148.0000000000,92.5000000000,0.6250000000,267.9600000000,271.2100000000,TAKE_PROFIT_BRACKET,32,92.5000000000,8.0093160000,0.5180000000,8.5273160000,83.9726840000
AMZN,QQQ,2026-05-27 14:36:00-04:00,2026-05-27 14:37:00-04:00,2026-05-27 14:51:00-04:00,LONG,-2.6670777489,269.2950000000,269.7463350611,729.4520000000,728.4104345577,270.1206175301,269.2950000000,269.3488590000,270.5450000000,270.4908910000,74,19931.8155660000,2.0000000000,1.2500000000,148.0000000000,92.5000000000,0.6250000000,267.2950000000,270.5450000000,TAKE_PROFIT_BRACKET,14,92.5000000000,7.9896320000,0.5180000000,8.5076320000,83.9923680000
AMZN,QQQ,2026-05-27 15:04:00-04:00,2026-05-27 15:05:00-04:00,2026-05-27 15:59:00-04:00,SHORT,2.5042170271,271.6100000000,269.7832009967,729.6500000000,728.4459590750,270.2159064242,271.6300000000,271.5756740000,271.8673000000,271.9216734600,73,19825.0242020000,2.0000000000,1.2500000000,146.0000000000,91.2500000000,0.6250000000,273.6300000000,270.3800000000,FORCED_EOD,54,-17.3229000000,7.9350605800,0.5110000000,8.4460605800,-25.7689605800
AMZN,QQQ,2026-05-28 11:57:00-04:00,2026-05-28 11:58:00-04:00,2026-05-28 12:29:00-04:00,SHORT,2.5408669044,270.7500000000,269.4220183146,734.7199000000,731.2789521300,269.6755650952,270.7600000000,270.7058480000,269.5100000000,269.5639020000,73,19761.5269040000,2.0000000000,1.2500000000,146.0000000000,91.2500000000,0.6250000000,272.7600000000,269.5100000000,TAKE_PROFIT_BRACKET,31,91.2500000000,7.8879420000,0.5110000000,8.3989420000,82.8510580000
AMZN,QQQ,2026-05-28 12:30:00-04:00,2026-05-28 12:31:00-04:00,2026-05-28 13:15:00-04:00,LONG,-2.5487055430,269.3400000000,269.4942049934,735.5800000000,731.6461177829,269.7840058780,269.3500000000,269.4038700000,270.6000000000,270.5458800000,74,19935.8863800000,2.0000000000,1.2500000000,148.0000000000,92.5000000000,0.6250000000,267.3500000000,270.6000000000,TAKE_PROFIT_BRACKET,44,92.5000000000,7.9912600000,0.5180000000,8.5092600000,83.9907400000
