stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1185.0000000000,188.0000000000,64.4058000000,10142.9019791190,719.6490000000,9423.2529791190,-10078.4961791190,7682.7516165805,-17761.2477956995,49.3670886076,0.4325569749,-12.9286559937,10129.2502691193,-0.9949893537,32.8816645307,33.6878000000,15507.0616897601,14440.3531236200,581.0000000000,582.0000000000,22.0000000000,-10078.4961791190,-1119.8329087910,-1126.1036633599,117.2929051142,0,1185.0000000000,188.0000000000,10142.9019791190,15507.0616897601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1055.0000000000,188.0000000000,1319.5996000000,9029.9096521191,640.5840000000,8389.3256521191,-7710.3100521191,12496.6157281003,-20206.9257802195,35.2606635071,0.6184323070,-7.7454681786,7862.2926221193,-0.9806694335,33.0907236989,33.6918000000,13331.3522378401,14027.4803376200,660.0000000000,351.0000000000,44.0000000000,-7710.3100521191,-856.7011169021,-1113.1817464799,139.2730428502,0,1055.0000000000,188.0000000000,9029.9096521191,13331.3522378401,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,992.0000000000,188.0000000000,2039.8306000000,8489.1508445592,600.9500000000,7888.2008445592,-6449.3202445592,14409.2265857403,-20858.5468302994,28.6290322581,0.6908068286,-5.6599933380,6581.8640325593,-0.9798622719,33.1337652920,33.6918000000,11884.9237555201,13475.6599876200,682.0000000000,238.0000000000,72.0000000000,-6449.3202445592,-716.5911382844,-963.7772139599,188.2552229561,1,992.0000000000,188.0000000000,8489.1508445592,11884.9237555201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,949.0000000000,188.0000000000,1609.1238000000,8120.8335832392,574.5740000000,7546.2595832392,-6511.7097832392,14718.6826675802,-21230.3924508194,24.1306638567,0.6932835887,-5.4312665167,6711.7121652393,-0.9702009894,33.1810192208,33.6974000000,10862.0911083201,12604.4651376200,695.0000000000,169.0000000000,85.0000000000,-6511.7097832392,-723.5233092488,-1034.2609377199,188.2913893861,2,949.0000000000,188.0000000000,8120.8335832392,10862.0911083201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,916.0000000000,188.0000000000,2052.0768000000,7838.5191177592,554.6100000000,7283.9091177592,-5786.4423177592,15265.7199707002,-21052.1622884594,22.0524017467,0.7251378629,-4.2801651274,6048.6822497594,-0.9566451136,33.2037486687,33.6974000000,9349.3358183201,12163.4496016200,689.0000000000,132.0000000000,95.0000000000,-5786.4423177592,-642.9380353066,-991.2297488799,206.0766572695,2,916.0000000000,188.0000000000,7838.5191177592,9349.3358183201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,871.0000000000,188.0000000000,1078.8842000000,7453.5008017993,527.5270000000,6925.9738017993,-6374.6166017993,14233.9099107802,-20608.5265125795,19.7474167623,0.6906806220,-4.7258347416,6699.0940837994,-0.9515639760,33.2376335145,33.6974000000,10642.3450510801,12431.5863709800,674.0000000000,95.0000000000,102.0000000000,-6374.6166017993,-708.2907335333,-937.8545932799,246.1107356279,2,871.0000000000,188.0000000000,7453.5008017993,10642.3450510801,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,846.0000000000,188.0000000000,1011.0305000000,7239.0438378193,511.9520000000,6727.0918378193,-6228.0133378193,14082.1920402602,-20310.2053780795,18.6761229314,0.6933554722,-4.3862221414,6536.2435818195,-0.9528429074,33.2042488056,33.6974000000,11585.0741137801,12572.6789401000,664.0000000000,77.0000000000,105.0000000000,-6228.0133378193,-692.0014819799,-789.5045468799,259.9318129130,2,846.0000000000,188.0000000000,7239.0438378193,11585.0741137801,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,806.0000000000,188.0000000000,640.2391000000,6896.4536228193,487.4660000000,6408.9876228193,-6256.2145228194,13227.9264731801,-19484.1409959995,18.1141439206,0.6789073471,-4.1842012786,6584.5792628194,-0.9501312496,33.2302980156,33.6974000000,12357.5296224601,12754.0481981000,637.0000000000,56.0000000000,113.0000000000,-6256.2145228193,-695.1349469799,-836.6079394799,306.5175321615,2,806.0000000000,188.0000000000,6896.4536228193,12357.5296224601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,783.0000000000,188.0000000000,-21.2759000000,6699.6794935394,473.6130000000,6226.0664935394,-6720.9553935394,12430.3360291401,-19151.2914226795,17.2413793103,0.6490599383,-4.4926643815,7044.7653915394,-0.9540353752,33.2442059620,33.6974000000,12772.9333824601,12785.1649781000,626.0000000000,41.0000000000,116.0000000000,-6720.9553935394,-746.7728215044,-810.5188662599,260.9259781291,2,783.0000000000,188.0000000000,6699.6794935394,12772.9333824601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,772.0000000000,188.0000000000,141.6924000000,6605.3575895594,467.0050000000,6138.3525895594,-6463.6651895594,12510.0571800001,-18973.7223695595,16.8393782383,0.6593359456,-4.2720478830,6787.4751875594,-0.9522930119,33.2325856021,33.6918000000,12934.0023624601,12784.4207321000,620.0000000000,33.0000000000,119.0000000000,-6463.6651895594,-718.1850210622,-905.2920762599,247.8406002655,2,772.0000000000,188.0000000000,6605.3575895594,12934.0023624602,False,False,,,,,,0,,,False,False,False,0,0
