kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,565b429f2a5da04e5e882c8be50fa66984d6ab435444229eef71973a7f03ea30,3,,,,,NO_STABLE_PARETO
anchored,2,0+1+2+3,0,84,67d1dd891c4a49f987b518c61a41dc7eb96aaa08ea4e00529dca3821a3f09956,4,2.2500000000,3.0000000000,264.4790093600,0.5497067477,SELECTED
anchored,3,0+1+2+3+4,0,105,ee56864bdee32406de936d09b0019cfbf6d45d3da06a730acb550fa479440627,5,2.2500000000,1.7500000000,-530.7530754000,-0.4710094121,SELECTED
anchored,4,0+1+2+3+4+5,0,126,05ebb71429c522e1dd94ec9db979aedd47eb7b693d5c5760d98f5a946cc68951,6,,,,,NO_STABLE_PARETO
anchored,5,0+1+2+3+4+5+6,0,147,754ac21c50f70c22618637ba578d81708c1ac743fb6ed30ef72909ab0e7c1f3e,7,,,,,NO_STABLE_PARETO
anchored,6,0+1+2+3+4+5+6+7,0,168,df0c89c4a1777d84301ff806db60d4329f246272a389c6ae9fbea564f68702c1,8,,,,,NO_STABLE_PARETO
rolling,1,0+1+2,0,63,565b429f2a5da04e5e882c8be50fa66984d6ab435444229eef71973a7f03ea30,3,,,,,NO_STABLE_PARETO
rolling,2,1+2+3,21,84,b22b510b3952421bd43b978e63d5728d6ae79fe383c743adcbf9d12ed059e356,4,2.2500000000,1.7500000000,748.1346768800,1.3796657044,SELECTED
rolling,3,2+3+4,42,105,159efdb9209055873001c9603ef96622a6eee8685b7bdabb27193d6f4693a5ab,5,1.5000000000,2.0000000000,-752.3494110000,-0.5578320459,SELECTED
rolling,4,3+4+5,63,126,9f8e4ff01ccff24a23b76190ec4a7893e28b372dab6d6d47708a1ed8ea517de7,6,3.7500000000,1.0000000000,-875.1591332400,-0.7775339539,SELECTED
rolling,5,4+5+6,84,147,2993a8c5943b76ac96800429cdee57f0d1925254b55ba41db31f35880dc27a3c,7,,,,,NO_STABLE_PARETO
rolling,6,5+6+7,105,168,8850f9fc86ac17f4946ed9317e77f3e3686fa0d485ad12e45b9085c3151484ee,8,,,,,NO_STABLE_PARETO
