kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,4efd11a4dfed585e430d0a31cead71ab51722aa5d1bae41f6e50ee3e73b6403a,3,9.5000000000,4.0000000000,-1676.0005746400,-0.7761979662,SELECTED
anchored,2,0+1+2+3,0,84,9fdef364cea904caff79dd8aa4f3a5c27a23fa14f22e8a7054dbd3a8251fcbe2,4,14.2500000000,6.0000000000,-234.8003448800,-0.1499995706,SELECTED
anchored,3,0+1+2+3+4,0,105,bbb5334b534443997ac6097f55286c73bf3f236a23b32bc16aa02b9bff3257d9,5,10.5000000000,5.0000000000,732.6831634400,0.5459120660,SELECTED
anchored,4,0+1+2+3+4+5,0,126,9649e2338badcc5f7bea2eb82f2e104b38f0404936604a89c634963a9f99c53f,6,14.2500000000,5.0000000000,-1588.3708052200,-0.6032275110,SELECTED
anchored,5,0+1+2+3+4+5+6,0,147,124e3395fb58d43e2ba3757315c2d422b142a31e62f39c1ff70f32981c2036c4,7,14.2500000000,5.0000000000,-313.9325463400,-0.2677823543,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,a3f8d171473e7c2dbeda0582cf2cb508a73e97ebc532516a986661e72b5ed040,8,14.2500000000,5.0000000000,523.4258878400,0.5489771257,SELECTED
rolling,1,0+1+2,0,63,4efd11a4dfed585e430d0a31cead71ab51722aa5d1bae41f6e50ee3e73b6403a,3,9.5000000000,4.0000000000,-1676.0005746400,-0.7761979662,SELECTED
rolling,2,1+2+3,21,84,13ef0952034616cb27d3d455ba788d13e912ec736b047f215ef9c74e886f0d20,4,14.2500000000,6.0000000000,-234.8003448800,-0.1499995706,SELECTED
rolling,3,2+3+4,42,105,61218815740abe9a7a4f5a2e5b57985b61cb5ae7790f044306b10abf56dac76c,5,9.0000000000,4.7500000000,115.0277574400,0.0630706795,SELECTED
rolling,4,3+4+5,63,126,4b8c5d87f49fcb687c53f84749f82210e77738e7799f4a7f0ec9d6b9dde628c6,6,16.7500000000,5.0000000000,-1588.3708052200,-0.6032275110,SELECTED
rolling,5,4+5+6,84,147,3e8510c972f5516af80406fa3edca1e325cdb80573c28ac43834ec531249741a,7,3.2500000000,10.7500000000,-366.1244124000,-0.2972957984,SELECTED
rolling,6,5+6+7,105,168,10a123e42e765515f82d472d2dba1d033acc33fff5b23e63162ea9da5a0fd14d,8,3.7500000000,10.7500000000,636.5319234400,0.5695270273,SELECTED
