stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,0.2500000000,21.0000000000,8190.0000000000,141.0000000000,21.0000000000,-579.7700000000,1205.8051928399,84.4830000000,1121.3221928399,-1785.5751928399,736.8481783601,-2522.4233711999,39.7163120567,0.2921191529,-16.3337468716,1801.2113988398,-0.9913190612,32.7622723700,32.9332460000,1271.2836730000,2188.0257940000,84.0000000000,56.0000000000,1.0000000000,0
0.2500000000,0.5000000000,21.0000000000,8190.0000000000,124.0000000000,21.0000000000,-935.9600000000,1060.4517701199,74.2420000000,986.2097701199,-1996.4117701199,879.4163532400,-2875.8281233599,20.9677419355,0.3057958666,-20.4481237210,2036.3028261200,-0.9804100571,32.7882314400,32.9270380000,1218.8224070000,2114.8673572800,95.0000000000,25.0000000000,4.0000000000,0
0.2500000000,0.7500000000,21.0000000000,8190.0000000000,122.0000000000,21.0000000000,-910.7400000000,1043.2793869199,72.8980000000,970.3813869199,-1954.0193869199,1011.9707578800,-2965.9901447999,17.2131147541,0.3411915443,-19.1999301208,2007.0636168799,-0.9735712264,32.8258748114,32.9270380000,1154.8179070000,2075.5837072800,98.0000000000,17.0000000000,7.0000000000,0
0.2500000000,1.0000000000,21.0000000000,8190.0000000000,118.0000000000,21.0000000000,-872.7400000000,1009.1267149199,70.6370000000,938.4897149199,-1881.8667149199,1083.5786938800,-2965.4454087999,14.4067796610,0.3654016664,-17.1442660318,1942.3052532400,-0.9688830897,32.8579419467,32.9270380000,1090.8134070000,1907.4117072800,98.0000000000,13.0000000000,7.0000000000,0
0.2500000000,1.2500000000,21.0000000000,8190.0000000000,117.0000000000,21.0000000000,-707.5603000000,1000.6631628599,70.0630000000,930.6001628599,-1708.2234628599,1256.7315979400,-2964.9550607999,13.6752136752,0.4238619379,-15.0539851085,1789.5375268199,-0.9545614089,32.8579419467,32.9270380000,1043.8205040000,1952.4112072800,98.0000000000,11.0000000000,8.0000000000,0
0.2500000000,1.5000000000,21.0000000000,8190.0000000000,116.0000000000,21.0000000000,-608.4603000000,992.1714254999,69.5100000000,922.6614254999,-1600.6317254999,1364.3283779400,-2964.9601034399,12.9310344828,0.4601506699,-13.6762801369,1721.4457894599,-0.9298182582,32.8579419467,32.9270380000,1013.4344280000,1997.4107072800,98.0000000000,9.0000000000,9.0000000000,0
0.2500000000,1.7500000000,21.0000000000,8190.0000000000,112.0000000000,21.0000000000,-334.7103000000,957.9858211399,67.2700000000,890.7158211399,-1292.6961211399,1558.0826279400,-2850.7787490799,13.3928571429,0.5465463177,-9.9314806081,1544.4732914599,-0.8369818554,32.8579419467,32.9270380000,989.6796780000,2042.4102072800,94.0000000000,9.0000000000,9.0000000000,0
0.2500000000,2.0000000000,21.0000000000,8190.0000000000,104.0000000000,21.0000000000,-469.5903000000,889.3773642599,62.3420000000,827.0353642599,-1358.9676642599,1340.2113539400,-2699.1790181999,11.5384615385,0.4965255527,-11.2082676960,1520.1917102599,-0.8939449249,32.8579419467,32.9270380000,965.9249280000,1873.7024572800,89.0000000000,6.0000000000,9.0000000000,0
0.2500000000,2.2500000000,21.0000000000,8190.0000000000,99.0000000000,21.0000000000,-379.3853000000,846.9111552599,59.5840000000,787.3271552599,-1226.2964552599,1331.8975949400,-2558.1940501999,12.1212121212,0.5206397829,-9.5498552088,1387.5205012599,-0.8838042062,32.9010311360,32.9270380000,942.1701780000,1894.9567072800,84.0000000000,4.0000000000,11.0000000000,0
0.2500000000,2.5000000000,21.0000000000,8190.0000000000,98.0000000000,21.0000000000,-267.6353000000,838.2682092599,58.9120000000,779.3562092599,-1105.9035092599,1419.6480449400,-2525.5515541999,12.2448979592,0.5621140628,-7.8887208663,1267.1275552599,-0.8727641544,32.9010311360,32.9270380000,918.4154280000,1916.2109572800,83.0000000000,4.0000000000,11.0000000000,0
0.2500000000,2.7500000000,21.0000000000,8190.0000000000,98.0000000000,21.0000000000,-179.8853000000,838.2677592599,58.9120000000,779.3557592599,-1018.1530592599,1507.3984949400,-2525.5515541999,12.2448979592,0.5968591266,-6.8909005161,1188.8639819200,-0.8564083652,32.9010311360,32.9270380000,894.6606780000,1937.4652072800,83.0000000000,4.0000000000,11.0000000000,0
0.2500000000,3.0000000000,21.0000000000,8190.0000000000,93.0000000000,21.0000000000,-156.3803000000,795.6641962599,56.0280000000,739.6361962599,-952.0444962599,1432.9163979400,-2384.9608941999,12.9032258065,0.6008133724,-6.1731041453,1189.7600189200,-0.8001987637,32.9010311360,32.9270380000,870.9059280000,1958.7194572800,79.0000000000,3.0000000000,11.0000000000,0
0.2500000000,3.2500000000,21.0000000000,8190.0000000000,84.0000000000,21.0000000000,-195.3803000000,718.7258142599,50.6660000000,668.0598142599,-914.1061142599,1232.1983679400,-2146.3044821999,13.0952380952,0.5741023131,-5.6708066227,1193.3122969200,-0.7660242140,32.9010311360,32.9270380000,847.1511780000,1682.4142072800,71.0000000000,2.0000000000,11.0000000000,0
0.2500000000,3.5000000000,21.0000000000,8190.0000000000,84.0000000000,21.0000000000,-149.6303000000,718.7254642599,50.6660000000,668.0594642599,-868.3557642599,1277.9487179400,-2146.3044821999,13.0952380952,0.5954181844,-5.1587645418,1193.3122969200,-0.7276852560,32.9010311360,32.9270380000,847.1511780000,1682.4142072800,71.0000000000,2.0000000000,11.0000000000,0
0.2500000000,3.7500000000,21.0000000000,8190.0000000000,84.0000000000,21.0000000000,-483.8803000000,718.8011142599,50.6660000000,668.1351142599,-1202.6814142599,976.0178779400,-2178.6992921999,11.9047619048,0.4479819135,-8.7711028792,1363.9054602599,-0.8817923597,32.9010311360,32.9270380000,1147.3228680000,1682.4142072800,72.0000000000,1.0000000000,11.0000000000,0
0.2500000000,4.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-440.3803000000,710.2770696999,50.0640000000,660.2130696999,-1150.6573696999,998.0134779400,-2148.6708476399,12.0481927711,0.4644794614,-7.7940768110,1311.8814156999,-0.8771047108,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,4.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-418.3803000000,710.2814696999,50.0640000000,660.2174696999,-1128.6617696999,1020.0090779400,-2148.6708476399,12.0481927711,0.4747163015,-7.4111608651,1289.8858156999,-0.8750090558,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,4.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-396.3803000000,710.2858696999,50.0640000000,660.2218696999,-1106.6661696999,1042.0046779400,-2148.6708476399,12.0481927711,0.4849531417,-7.0459517335,1267.8902157000,-0.8728406892,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,4.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-374.3803000000,710.2902696999,50.0640000000,660.2262696999,-1084.6705696999,1064.0002779400,-2148.6708476399,12.0481927711,0.4951899818,-6.6980271683,1245.8946156999,-0.8705957599,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,5.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-352.3803000000,710.2946696999,50.0640000000,660.2306696999,-1062.6749696999,1085.9958779400,-2148.6708476399,12.0481927711,0.5054268220,-6.3668346817,1223.8990156999,-0.8682701400,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,5.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-330.3803000000,710.2990696999,50.0640000000,660.2350696999,-1040.6793696999,1107.9914779400,-2148.6708476399,12.0481927711,0.5156636621,-6.0517336703,1201.9034157000,-0.8658593994,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,5.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-308.3803000000,710.3034696999,50.0640000000,660.2394696999,-1018.6837696999,1129.9870779400,-2148.6708476399,12.0481927711,0.5259005022,-5.7520284716,1193.3122969200,-0.8536606656,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,5.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-286.3803000000,710.3078696999,50.0640000000,660.2438696999,-996.6881696999,1151.9826779400,-2148.6708476399,12.0481927711,0.5361373424,-5.4669938690,1193.3122969200,-0.8352282737,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,1.0000000000,11.0000000000,0
0.2500000000,6.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,6.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,6.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,6.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,7.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,7.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,7.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,7.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,8.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,8.2500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,8.5000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,8.7500000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
0.2500000000,9.0000000000,21.0000000000,8190.0000000000,83.0000000000,21.0000000000,-276.7003000000,710.3098056999,50.0640000000,660.2458056999,-987.0101056999,1161.6607419400,-2148.6708476399,12.0481927711,0.5406415521,-5.3460367776,1193.3122969200,-0.8271180212,32.9010311360,32.9270380000,1147.3228680000,1712.4426518400,71.0000000000,0.0000000000,12.0000000000,0
