symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
GOOGL,QQQ,2026-05-22 10:25:00-04:00,2026-05-22 10:26:00-04:00,2026-05-22 11:00:00-04:00,SHORT,2.7240606925,386.5600000000,385.7271844356,717.0500000000,718.6944212740,385.2588740975,386.5400000000,386.4626920000,387.7900000000,387.8675580000,51,19709.5972920000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,387.7900000000,383.2900000000,STOP,34,-63.7500000000,7.8981660000,0.3570000000,8.2551660000,-72.0051660000
GOOGL,QQQ,2026-05-22 11:25:00-04:00,2026-05-22 11:26:00-04:00,2026-05-22 12:34:00-04:00,LONG,-2.6537237967,386.7475000000,386.2895205713,720.5300000000,718.9424209780,386.7421459001,386.7100000000,386.7873420000,385.4600000000,385.3829080000,51,19726.1544420000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,385.4600000000,389.9600000000,STOP,68,-63.7500000000,7.8761340000,0.3570000000,8.2331340000,-71.9831340000
GOOGL,QQQ,2026-05-22 13:19:00-04:00,2026-05-22 13:20:00-04:00,2026-05-22 15:08:00-04:00,LONG,-3.0553315914,385.0700000000,386.2418625445,719.9100000000,719.4677673540,386.3678372887,385.0700000000,385.1470140000,383.8200000000,383.7432360000,51,19642.4977140000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,383.8200000000,388.3200000000,STOP,108,-63.7500000000,7.8426780000,0.3570000000,8.1996780000,-71.9496780000
GOOGL,QQQ,2026-05-22 15:14:00-04:00,2026-05-22 15:15:00-04:00,2026-05-22 15:46:00-04:00,LONG,-3.0363301491,383.2050000000,385.8111802001,718.5900000000,719.6844730629,385.4998491491,383.1900000000,383.2666380000,381.9400000000,381.8636120000,52,19929.8651760000,1.2500000000,3.2500000000,65.0000000000,169.0000000000,2.6000000000,381.9400000000,386.4400000000,STOP,31,-65.0000000000,7.9573520000,0.3640000000,8.3213520000,-73.3213520000
GOOGL,QQQ,2026-05-26 10:03:00-04:00,2026-05-26 10:04:00-04:00,2026-05-26 11:07:00-04:00,SHORT,2.5973839393,387.5800000000,384.7770407498,728.0800000000,726.6631289713,385.2820174894,387.5500000000,387.4724900000,388.8000000000,388.8777600000,51,19761.0969900000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,388.8000000000,384.3000000000,STOP,63,-63.7500000000,7.9187700000,0.3570000000,8.2757700000,-72.0257700000
GOOGL,QQQ,2026-05-26 13:15:00-04:00,2026-05-26 13:16:00-04:00,2026-05-26 15:59:00-04:00,LONG,-2.6166909765,385.8200000000,386.2173070104,728.0300000000,727.9797584619,386.2352477516,385.8200000000,385.8971640000,388.9300000000,388.8522140000,51,19680.7553640000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,384.5700000000,389.0700000000,FORCED_EOD,163,158.6100000000,7.9024500000,0.3570000000,8.2594500000,150.3505500000
GOOGL,QQQ,2026-05-27 12:02:00-04:00,2026-05-27 12:03:00-04:00,2026-05-27 15:49:00-04:00,LONG,-2.6897938613,390.8900000000,390.5072353257,727.1000000000,728.5214983749,389.4885354443,390.8700000000,390.9481740000,389.6200000000,389.5420760000,51,19938.3568740000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,389.6200000000,394.1200000000,STOP,226,-63.7500000000,7.9609980000,0.3570000000,8.3179980000,-72.0679980000
GOOGL,QQQ,2026-05-27 15:51:00-04:00,2026-05-27 15:52:00-04:00,2026-05-27 15:59:00-04:00,LONG,-2.7076113856,389.1300000000,390.9196316131,729.6300000000,728.5415654407,391.7004475058,389.1550000000,389.2328310000,388.8500000000,388.7722300000,51,19850.8743810000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,387.9050000000,392.4050000000,FORCED_EOD,7,-15.5550000000,7.9356510000,0.3570000000,8.2926510000,-23.8476510000
GOOGL,QQQ,2026-05-28 12:31:00-04:00,2026-05-28 12:32:00-04:00,2026-05-28 15:59:00-04:00,LONG,-2.7569533775,389.4300000000,388.8336671146,735.4100000000,731.6514626633,390.4612037453,389.4300000000,389.5078860000,390.1800000000,390.1019640000,51,19864.9021860000,1.2500000000,3.2500000000,63.7500000000,165.7500000000,2.6000000000,388.1800000000,392.6800000000,FORCED_EOD,207,38.2500000000,7.9520220000,0.3570000000,8.3090220000,29.9409780000
GOOGL,QQQ,2026-05-29 13:32:00-04:00,2026-05-29 13:33:00-04:00,2026-05-29 15:50:00-04:00,SHORT,3.2074557767,382.5000000000,382.9452775864,737.3400000000,738.4828249199,382.3167234498,382.5000000000,382.4235000000,379.2500000000,379.3258500000,52,19886.0220000000,1.2500000000,3.2500000000,65.0000000000,169.0000000000,2.6000000000,383.7500000000,379.2500000000,TAKE_PROFIT_BRACKET,137,169.0000000000,7.9222000000,0.3640000000,8.2862000000,160.7138000000
GOOGL,QQQ,2026-05-29 15:50:00-04:00,2026-05-29 15:51:00-04:00,2026-05-29 15:59:00-04:00,LONG,-4.9892119922,379.5300000000,382.6755830266,738.9150000000,738.1992117870,383.0691407014,379.4800000000,379.5558960000,380.3800000000,380.3039240000,52,19736.9065920000,1.2500000000,3.2500000000,65.0000000000,169.0000000000,2.6000000000,378.2300000000,382.7300000000,FORCED_EOD,8,46.8000000000,7.9025440000,0.3640000000,8.2665440000,38.5334560000
GOOGL,QQQ,2026-06-01 11:07:00-04:00,2026-06-01 11:08:00-04:00,2026-06-01 15:59:00-04:00,SHORT,2.5439074882,377.6300000000,375.6357507142,739.7900000000,738.3389083099,376.6783924517,377.6400000000,377.5644720000,376.4100000000,376.4852820000,52,19633.3525440000,1.2500000000,3.2500000000,65.0000000000,169.0000000000,2.6000000000,378.8900000000,374.3900000000,FORCED_EOD,291,63.9600000000,7.8421200000,0.3640000000,8.2061200000,55.7538800000
GOOGL,QQQ,2026-06-02 11:12:00-04:00,2026-06-02 11:13:00-04:00,2026-06-02 11:36:00-04:00,LONG,-2.6034396304,369.4301000000,365.3571249716,744.4900000000,742.5950668632,366.6353625720,369.4700000000,369.5438940000,368.2200000000,368.1463560000,54,19955.3702760000,1.2500000000,3.2500000000,67.5000000000,175.5000000000,2.6000000000,368.2200000000,372.7200000000,STOP,23,-67.5000000000,7.9670520000,0.3780000000,8.3450520000,-75.8450520000
GOOGL,QQQ,2026-06-02 12:50:00-04:00,2026-06-02 12:51:00-04:00,2026-06-02 14:24:00-04:00,SHORT,2.8560892780,368.8600000000,365.9326695674,745.6000000000,743.4223307855,367.4023051896,368.8500000000,368.7762300000,365.6000000000,365.6731200000,54,19913.9164200000,1.2500000000,3.2500000000,67.5000000000,175.5000000000,2.6000000000,370.1000000000,365.6000000000,TAKE_PROFIT_BRACKET,93,175.5000000000,7.9320600000,0.3780000000,8.3100600000,167.1899400000
GOOGL,QQQ,2026-06-02 14:29:00-04:00,2026-06-02 14:30:00-04:00,2026-06-02 15:41:00-04:00,LONG,-2.8070989195,364.3600000000,366.1155851772,744.4800000000,743.7184727532,366.6295664215,364.3650000000,364.4378730000,363.1150000000,363.0423770000,54,19679.6451420000,1.2500000000,3.2500000000,67.5000000000,175.5000000000,2.6000000000,363.1150000000,367.6150000000,STOP,71,-67.5000000000,7.8567840000,0.3780000000,8.2347840000,-75.7347840000
GOOGL,QQQ,2026-06-02 15:48:00-04:00,2026-06-02 15:49:00-04:00,2026-06-02 15:54:00-04:00,LONG,-2.5420779509,362.7550000000,365.7668402082,745.9200000000,743.9376064793,367.1031583483,362.7600000000,362.8325520000,361.5100000000,361.4376980000,55,19955.7903600000,1.2500000000,3.2500000000,68.7500000000,178.7500000000,2.6000000000,361.5100000000,366.0100000000,STOP,5,-68.7500000000,7.9669700000,0.3850000000,8.3519700000,-77.1019700000
