kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,44e7a96bfb9628e1cd08421919a2cd609e3faac7fae346b0522666370fe45524,3,,,,,NO_STABLE_PARETO
anchored,2,0+1+2+3,0,84,12fbdf40f49f40dbce5f81b0330466c83ed75db9c980c6abe08d414a1c28ae28,4,,,,,NO_STABLE_PARETO
anchored,3,0+1+2+3+4,0,105,f1e7f7f54336225a58f27124482bb75b80e2fd224a016919b0ba00d869366059,5,,,,,NO_STABLE_PARETO
anchored,4,0+1+2+3+4+5,0,126,182ab68a485dfd5e18d79c2be7bdebe447603d28c30cefd7f1440c2028c94205,6,,,,,NO_STABLE_PARETO
anchored,5,0+1+2+3+4+5+6,0,147,d7747dcd0e75e5800fd13c3c94e0371452762fd614882d76f2520002b388b39a,7,,,,,NO_STABLE_PARETO
anchored,6,0+1+2+3+4+5+6+7,0,168,8e06e922421c7b603e7b045f0397530a87af6c8ad9c09ee090401602961e0f5b,8,,,,,NO_STABLE_PARETO
rolling,1,0+1+2,0,63,44e7a96bfb9628e1cd08421919a2cd609e3faac7fae346b0522666370fe45524,3,,,,,NO_STABLE_PARETO
rolling,2,1+2+3,21,84,40484fc76353bd2d4828bfd114c9eb67b6f44b5e93542d1eda58fd80a8482335,4,,,,,NO_STABLE_PARETO
rolling,3,2+3+4,42,105,097986854b9e15993d45142a68f2f44ec9f00796e02a1e0a4ba709a7a2f643a2,5,3.0000000000,1.5000000000,433.0129055400,0.6215466361,SELECTED
rolling,4,3+4+5,63,126,c6813c4872c644c88ea80eb396a00bde3d990e5846f136ddddd53234da58fa2d,6,1.5000000000,3.0000000000,-372.0731906000,-0.5259616210,SELECTED
rolling,5,4+5+6,84,147,d128e0df2d9070b7e6903729589bd24c5993527137412efdf80f9d8adcca90a8,7,4.5000000000,2.5000000000,738.4425283600,1.2006404644,SELECTED
rolling,6,5+6+7,105,168,2eb69add3fa479dd774d37e8369dae380800e22c3b8c84a35125bae080c398e8,8,1.2500000000,2.7500000000,-267.6078795599,-0.3046615082,SELECTED
