kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,dcb2ab653f12f5e0cdfcdc425c65e4d02597f53a9d1ea8ad414dd79131b33cb6,3,,,,,NO_STABLE_PARETO
anchored,2,0+1+2+3,0,84,09a542aa5eef8af1a3e360c6810538156e6aa8580ec9bf5c725b32a2d610628d,4,,,,,NO_STABLE_PARETO
anchored,3,0+1+2+3+4,0,105,6436175008ea4d75705bbf145ab294109987572edc974ff14f71a13ec1adddf0,5,,,,,NO_STABLE_PARETO
anchored,4,0+1+2+3+4+5,0,126,9cdcabcf79456c791b5a6cf3f0706488e94a4863d8adea08c491db95a2d28540,6,,,,,NO_STABLE_PARETO
anchored,5,0+1+2+3+4+5+6,0,147,45d281c6bf0c746e95951844fcb83825f2023d85b97dd87b6a7d35afde2b95ec,7,8.2500000000,5.7500000000,-314.6338807600,-0.2621444258,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,61862688ba3cfa7984bf71b9bfe41a51e1c3351d0aafd72a8a6296699746934f,8,8.7500000000,5.7500000000,294.0283661200,0.5262020359,SELECTED
rolling,1,0+1+2,0,63,dcb2ab653f12f5e0cdfcdc425c65e4d02597f53a9d1ea8ad414dd79131b33cb6,3,,,,,NO_STABLE_PARETO
rolling,2,1+2+3,21,84,bd583f853b623b5b119c7b52054a7f9be6675877378e32b164bf793bd4eb29ce,4,,,,,NO_STABLE_PARETO
rolling,3,2+3+4,42,105,522202890b0e95e56533d96698e906a67a20fc1746b0365bcac77b6115d7a22f,5,,,,,NO_STABLE_PARETO
rolling,4,3+4+5,63,126,a0386609fc82c6c4e80452420980f680a1a21336d0e651dbdfe81c18a7d586eb,6,6.0000000000,10.5000000000,416.1151614800,0.6858090779,SELECTED
rolling,5,4+5+6,84,147,3b9223e94c4b85a37a3e9b2c1aed3603f2430fdfc1a3595dc0e2b4ac8fcb0734,7,6.2500000000,3.0000000000,-396.6943758599,-0.2425229733,SELECTED
rolling,6,5+6+7,105,168,18357e5d2fb3b76d77df74e5c4f9ab96a5a076a5450eaabc716457971daf63f4,8,8.5000000000,9.2500000000,-255.9644698800,-0.3559891329,SELECTED
