kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,6e2f7691b7fe9f44234e16d4d3a33dd4acf92f4b3ac36b2470e7a1f230169a65,3,18.0000000000,9.0000000000,41.3969980200,0.0619814067,SELECTED
anchored,2,0+1+2+3,0,84,b3d829d886f6bbc9e0ae3db2f83650c633ca453cbd46796039d0529870d82299,4,7.5000000000,3.2500000000,90.8154161400,0.1422543232,SELECTED
anchored,3,0+1+2+3+4,0,105,9f5016468adbb1d343c821e01a32c9b9e89d09d856ba55d524014a3a83292b88,5,7.7500000000,3.2500000000,-736.8159184600,-0.7805888619,SELECTED
anchored,4,0+1+2+3+4+5,0,126,e499391f630d6f3f81481bdd7b221a772a99583ffa6291cdcefd11dee4af69e3,6,19.2500000000,11.7500000000,298.2680862400,0.6598089780,SELECTED
anchored,5,0+1+2+3+4+5+6,0,147,06a9cbe107093385d753de58d757c08a48976dfc301fee172d2d50e91d0efc88,7,20.0000000000,11.7500000000,-1160.4202112400,-0.6832618310,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,67362a8ea7950382710648ab78e438f4102bd1062132d61946e4d9514220f541,8,20.5000000000,11.7500000000,320.0967514600,0.5539057850,SELECTED
rolling,1,0+1+2,0,63,6e2f7691b7fe9f44234e16d4d3a33dd4acf92f4b3ac36b2470e7a1f230169a65,3,18.0000000000,9.0000000000,41.3969980200,0.0619814067,SELECTED
rolling,2,1+2+3,21,84,eb7ffb47c1d42dd4bf4f5246d1854dea0ef81e286c5eb5092e3e087793cbf6b4,4,7.5000000000,3.2500000000,90.8154161400,0.1422543232,SELECTED
rolling,3,2+3+4,42,105,0a98ee359884613c77d8e5bd288a290f7b54483ac09b6bd7c4dcbfbfa5187a22,5,7.7500000000,3.5000000000,-959.3147004600,-0.8492396318,SELECTED
rolling,4,3+4+5,63,126,d047a4efb9e78d874fc75a86af67c1e56469a9781b517057c905c81596d90034,6,4.7500000000,11.7500000000,-149.6418557600,-0.1896506202,SELECTED
rolling,5,4+5+6,84,147,68d0c2297d1c46dccc435613f54355a6efe96e1226b353208704318a7754f07c,7,6.7500000000,1.7500000000,-1091.5554942400,-0.8576305808,SELECTED
rolling,6,5+6+7,105,168,3773edd6f146fe1b090d8be0da6cda8a07215146b146296876c6f78d5c2ab68b,8,,,,,NO_STABLE_PARETO
