symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
MSFT,QQQ,2026-05-22 12:02:00-04:00,2026-05-22 12:03:00-04:00,2026-05-22 15:59:00-04:00,SHORT,2.6481860773,420.2600000000,419.5626665953,720.7326000000,719.2443183323,419.7363008971,420.2600000000,420.1759480000,418.5500000000,418.6337100000,47,19748.2695560000,11.7500000000,9.0000000000,552.2500000000,423.0000000000,0.7659574468,432.0100000000,411.2600000000,FORCED_EOD,236,80.3700000000,7.8848140000,0.3290000000,8.2138140000,72.1561860000
MSFT,QQQ,2026-05-26 10:03:00-04:00,2026-05-26 10:04:00-04:00,2026-05-26 15:59:00-04:00,SHORT,2.5824844039,418.4900000000,416.1091366871,728.0800000000,726.6631289713,416.6408849052,418.4750000000,418.3913050000,416.1200000000,416.2032240000,47,19664.3913350000,11.7500000000,9.0000000000,552.2500000000,423.0000000000,0.7659574468,430.2250000000,409.4750000000,FORCED_EOD,355,110.6850000000,7.8451930000,0.3290000000,8.1741930000,102.5108070000
MSFT,QQQ,2026-05-27 10:25:00-04:00,2026-05-27 10:26:00-04:00,2026-05-27 15:59:00-04:00,SHORT,2.7851139915,414.9740000000,412.1433965907,726.5399000000,729.7011779780,411.1514536243,414.9776000000,414.8946044800,412.6900000000,412.7725380000,48,19914.9410150400,11.7500000000,9.0000000000,564.0000000000,432.0000000000,0.7659574468,426.7276000000,405.9776000000,FORCED_EOD,333,109.8048000000,7.9456089600,0.3360000000,8.2816089600,101.5231910400
MSFT,QQQ,2026-05-28 12:26:00-04:00,2026-05-28 12:27:00-04:00,2026-05-28 15:59:00-04:00,SHORT,2.7568526181,426.1465000000,423.5113645894,735.7300000000,731.6043309668,424.4581579613,426.1500000000,426.0647700000,427.0300000000,427.1154060000,46,19598.9794200000,11.7500000000,9.0000000000,540.5000000000,414.0000000000,0.7659574468,437.9000000000,417.1500000000,FORCED_EOD,212,-40.4800000000,7.8492560000,0.3220000000,8.1712560000,-48.6512560000
MSFT,QQQ,2026-05-29 10:06:00-04:00,2026-05-29 10:07:00-04:00,2026-05-29 15:59:00-04:00,SHORT,2.5053852193,443.2700000000,439.0792945299,741.1800000000,739.6279875133,439.4526689744,443.2900000000,443.2013420000,449.4750000000,449.5648950000,45,19944.0603900000,11.7500000000,9.0000000000,528.7500000000,405.0000000000,0.7659574468,455.0400000000,434.2900000000,FORCED_EOD,352,-278.3250000000,8.0348850000,0.3150000000,8.3498850000,-286.6748850000
MSFT,QQQ,2026-06-01 13:19:00-04:00,2026-06-01 13:20:00-04:00,2026-06-01 15:59:00-04:00,LONG,-2.5018479922,459.6000000000,461.9628865735,742.0499000000,739.5874479284,462.2705071180,459.6250000000,459.7169250000,460.4900000000,460.3979020000,43,19767.8277750000,11.7500000000,9.0000000000,505.2500000000,387.0000000000,0.7659574468,447.8750000000,468.6250000000,FORCED_EOD,159,37.1950000000,7.9129890000,0.3010000000,8.2139890000,28.9810110000
MSFT,QQQ,2026-06-02 11:35:00-04:00,2026-06-02 11:36:00-04:00,2026-06-02 15:59:00-04:00,SHORT,2.5378973721,444.3000000000,445.7764801352,745.5200000000,742.9318165643,446.0870742640,444.3200000000,444.2311360000,441.2900000000,441.3782580000,45,19990.4011200000,11.7500000000,9.0000000000,528.7500000000,405.0000000000,0.7659574468,456.0700000000,435.3200000000,FORCED_EOD,263,136.3500000000,7.9704900000,0.3150000000,8.2854900000,128.0645100000
MSFT,QQQ,2026-06-03 11:22:00-04:00,2026-06-03 11:23:00-04:00,2026-06-03 15:59:00-04:00,SHORT,2.8911363940,427.0615000000,431.3369705877,744.3400000000,745.0635831113,429.7546543245,427.0750000000,426.9895850000,427.6000000000,427.6855200000,46,19641.5209100000,11.7500000000,9.0000000000,540.5000000000,414.0000000000,0.7659574468,438.8250000000,418.0750000000,FORCED_EOD,276,-24.1500000000,7.8630100000,0.3220000000,8.1850100000,-32.3350100000
MSFT,QQQ,2026-06-04 14:33:00-04:00,2026-06-04 14:34:00-04:00,2026-06-04 15:59:00-04:00,SHORT,2.7012436641,428.4600000000,429.8982026832,742.6000000000,737.9463512190,440.7423256661,428.4599000000,428.3742080200,428.1400000000,428.2256280000,46,19705.2135689200,11.7500000000,9.0000000000,540.5000000000,414.0000000000,0.7659574468,440.2099000000,419.4599000000,FORCED_EOD,85,14.7154000000,7.8807190800,0.3220000000,8.2027190800,6.5126809200
MSFT,QQQ,2026-06-05 11:06:00-04:00,2026-06-05 11:07:00-04:00,2026-06-05 15:59:00-04:00,SHORT,2.7386149361,422.1000000000,424.4780066964,723.6000000000,726.4673247568,420.6460324633,422.0500000000,421.9655900000,416.6900000000,416.7733380000,47,19832.3827300000,11.7500000000,9.0000000000,552.2500000000,423.0000000000,0.7659574468,433.8000000000,413.0500000000,FORCED_EOD,292,251.9200000000,7.8841560000,0.3290000000,8.2131560000,243.7068440000
