stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,0.2500000000,21.0000000000,8190.0000000000,120.0000000000,21.0000000000,-272.5400000000,1050.9919793199,95.1300000000,955.8619793199,-1323.5319793199,1056.3456204800,-2379.8775997999,45.8333333333,0.4438655251,-9.4380481368,1382.1541193199,-0.9575863942,38.3964817067,38.8082880000,1898.3712042400,1379.8253880200,64.0000000000,54.0000000000,2.0000000000,0
0.2500000000,0.5000000000,21.0000000000,8190.0000000000,107.0000000000,21.0000000000,-296.6400000000,937.3087725999,85.0010000000,852.3077725999,-1233.9487725999,1495.5386060000,-2729.4873785999,29.9065420561,0.5479192239,-6.8789672753,1377.3039625999,-0.8959160840,38.3964817067,38.8082880000,1802.6516971200,1380.3362880200,73.0000000000,31.0000000000,3.0000000000,0
0.2500000000,0.7500000000,21.0000000000,8190.0000000000,100.0000000000,21.0000000000,357.3300000000,876.0886251999,79.4290000000,796.6596251999,-518.7586251999,2061.7577533200,-2580.5163785199,29.0000000000,0.7989710007,-2.5860997598,796.0133953600,-0.6516958486,38.4151708480,38.8082880000,1629.1746971200,1327.3138880200,69.0000000000,26.0000000000,5.0000000000,0
0.2500000000,1.0000000000,21.0000000000,8190.0000000000,96.0000000000,21.0000000000,123.8450000000,841.1260747999,76.2650000000,764.8610747999,-717.2810747999,1996.7084855600,-2713.9895603599,22.9166666667,0.7357097149,-3.2401636821,1144.5472719599,-0.6266941457,38.4168700480,38.8082880000,1455.6976971200,1209.3374880200,73.0000000000,17.0000000000,6.0000000000,0
0.2500000000,1.2500000000,21.0000000000,8190.0000000000,94.0000000000,21.0000000000,331.6185000000,823.6302010199,74.6760000000,748.9542010199,-492.0117010199,2185.2617908600,-2677.2734918799,22.3404255319,0.8162265818,-2.1821789382,910.7426244799,-0.5402313319,38.4168700480,38.8082880000,1282.2206971200,1209.3374880200,72.0000000000,13.0000000000,9.0000000000,0
0.2500000000,1.5000000000,21.0000000000,8190.0000000000,92.0000000000,21.0000000000,55.0485000000,806.2300953799,73.1430000000,733.0870953799,-751.1815953799,1964.1510605000,-2715.3326558799,19.5652173913,0.7233555919,-3.6418167568,1025.8985004799,-0.7322182409,38.4168700480,38.8082880000,1419.6966331200,1209.3374880200,73.0000000000,9.0000000000,10.0000000000,0
0.2500000000,1.7500000000,21.0000000000,8190.0000000000,91.0000000000,21.0000000000,-123.7015000000,797.3896853799,72.3380000000,725.0516853799,-921.0911853799,1832.5268477000,-2753.6180330799,17.5824175824,0.6654978380,-4.5401543381,1117.8688004799,-0.8239707423,38.4168700480,38.8082880000,1554.6275499200,1209.3374880200,74.0000000000,7.0000000000,10.0000000000,0
0.2500000000,2.0000000000,21.0000000000,8190.0000000000,91.0000000000,21.0000000000,-22.8915000000,797.3985473799,72.3380000000,725.0605473799,-820.2900473799,1933.3279857000,-2753.6180330799,17.5824175824,0.7021046356,-3.9043149742,1102.8005124800,-0.7438245069,38.4168700480,38.8082880000,1554.6275499200,1209.3374880200,74.0000000000,6.0000000000,11.0000000000,0
0.2500000000,2.2500000000,21.0000000000,8190.0000000000,87.0000000000,21.0000000000,73.0085000000,762.3326405799,69.0900000000,693.2426405799,-689.3241405799,1913.2433057000,-2602.5674462799,18.3908045977,0.7351368774,-3.0542280688,1103.5058284400,-0.6246674216,38.4168700480,38.8082880000,1554.6275499200,1209.3374880200,70.0000000000,5.0000000000,12.0000000000,0
0.2500000000,2.5000000000,21.0000000000,8190.0000000000,86.0000000000,21.0000000000,246.2585000000,753.5319883399,68.2640000000,685.2679883399,-507.2734883399,2056.9758557000,-2564.2493440399,18.6046511628,0.8021746639,-2.1066427123,1057.2373958400,-0.4798103911,38.4143288000,38.8082880000,1554.6275499200,1209.3374880200,69.0000000000,5.0000000000,12.0000000000,0
0.2500000000,2.7500000000,21.0000000000,8190.0000000000,85.0000000000,21.0000000000,419.5085000000,744.7232743399,67.4380000000,677.2852743399,-325.2147743399,2200.7084057000,-2525.9231800399,18.8235294118,0.8712491429,-1.2607274905,1028.9817458400,-0.3160549501,38.4097032000,38.8082880000,1554.6275499200,1209.3374880200,68.0000000000,5.0000000000,12.0000000000,0
0.2500000000,3.0000000000,21.0000000000,8190.0000000000,81.0000000000,21.0000000000,118.7185000000,709.6482423399,64.3020000000,645.3462423399,-590.9297423399,1824.4219837000,-2415.3517260399,18.5185185185,0.7553442275,-2.3444329051,1259.5478498400,-0.4691602168,38.4097032000,38.8082880000,1554.6275499200,1246.3831820200,65.0000000000,2.0000000000,14.0000000000,0
0.2500000000,3.2500000000,21.0000000000,8190.0000000000,81.0000000000,21.0000000000,178.2185000000,709.6601423399,64.3020000000,645.3581423399,-531.4416423399,1883.9100837000,-2415.3517260399,18.5185185185,0.7799733941,-2.0475395019,1259.5478498400,-0.4219304907,38.4097032000,38.8082880000,1554.6275499200,1246.3831820200,65.0000000000,2.0000000000,14.0000000000,0
0.2500000000,3.5000000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,266.9685000000,700.8640436599,63.4830000000,637.3810436599,-433.8955436599,1943.3981837000,-2377.2937273599,18.7500000000,0.8174834104,-1.5915338343,1259.5478498400,-0.3444851609,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,2.0000000000,14.0000000000,0
0.2500000000,3.7500000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,326.4685000000,700.8759436599,63.4830000000,637.3929436599,-374.4074436599,2002.8862837000,-2377.2937273599,18.7500000000,0.8425068643,-1.3310867764,1259.5478498400,-0.2972554347,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,2.0000000000,14.0000000000,0
0.2500000000,4.0000000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,326.4685000000,700.8759436599,63.4830000000,637.3929436599,-374.4074436599,2002.8862837000,-2377.2937273599,18.7500000000,0.8425068643,-1.3297750234,1259.5478498400,-0.2972554347,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,1.0000000000,15.0000000000,0
0.2500000000,4.2500000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,315.5800000000,700.8737659599,63.4830000000,637.3907659599,-385.2937659599,1991.9999614000,-2377.2937273599,18.7500000000,0.8379275722,-1.3768140212,1259.5478498400,-0.3058984746,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,0.0000000000,16.0000000000,0
0.2500000000,4.5000000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,315.5800000000,700.8737659599,63.4830000000,637.3907659599,-385.2937659599,1991.9999614000,-2377.2937273599,18.7500000000,0.8379275722,-1.3768140212,1259.5478498400,-0.3058984746,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,0.0000000000,16.0000000000,0
0.2500000000,4.7500000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,315.5800000000,700.8737659599,63.4830000000,637.3907659599,-385.2937659599,1991.9999614000,-2377.2937273599,18.7500000000,0.8379275722,-1.3768140212,1259.5478498400,-0.3058984746,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,0.0000000000,16.0000000000,0
0.2500000000,5.0000000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,315.5800000000,700.8737659599,63.4830000000,637.3907659599,-385.2937659599,1991.9999614000,-2377.2937273599,18.7500000000,0.8379275722,-1.3768140212,1259.5478498400,-0.3058984746,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,0.0000000000,16.0000000000,0
0.2500000000,5.2500000000,21.0000000000,8190.0000000000,80.0000000000,21.0000000000,315.5800000000,700.8737659599,63.4830000000,637.3907659599,-385.2937659599,1991.9999614000,-2377.2937273599,18.7500000000,0.8379275722,-1.3768140212,1259.5478498400,-0.3058984746,38.4363700000,38.8082880000,1554.6275499200,1284.4411807000,64.0000000000,0.0000000000,16.0000000000,0
