symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
NVDA,QQQ,2026-05-22 11:24:00-04:00,2026-05-22 11:25:00-04:00,2026-05-22 12:07:00-04:00,SHORT,2.6308598923,217.9700000000,217.6500911110,720.4800000000,718.9315188678,218.3783462514,217.9750000000,217.9314050000,216.7250000000,216.7683450000,91,19831.7578550000,5.2500000000,1.2500000000,477.7500000000,113.7500000000,0.2380952381,223.2250000000,216.7250000000,TAKE_PROFIT_BRACKET,42,113.7500000000,7.9115400000,0.6370000000,8.5485400000,105.2014600000
NVDA,QQQ,2026-05-22 13:07:00-04:00,2026-05-22 13:08:00-04:00,2026-05-22 13:49:00-04:00,SHORT,2.7284360712,217.7100000000,217.5442803626,721.0500000000,719.3991212948,218.3198115074,217.7199000000,217.6763560200,216.4699000000,216.5131939800,91,19808.5483978200,5.2500000000,1.2500000000,477.7500000000,113.7500000000,0.2380952381,222.9699000000,216.4699000000,TAKE_PROFIT_BRACKET,41,113.7500000000,7.9022543600,0.6370000000,8.5392543600,105.2107456400
NVDA,QQQ,2026-05-22 15:01:00-04:00,2026-05-22 15:02:00-04:00,2026-05-22 15:16:00-04:00,SHORT,2.7648887766,216.1300000000,217.2725900000,719.5400000000,719.7248719994,217.1858906423,216.1400000000,216.0967720000,214.8900000000,214.9329780000,92,19880.9030240000,5.2500000000,1.2500000000,483.0000000000,115.0000000000,0.2380952381,221.3900000000,214.8900000000,TAKE_PROFIT_BRACKET,14,115.0000000000,7.9309520000,0.6440000000,8.5749520000,106.4250480000
NVDA,QQQ,2026-05-22 15:28:00-04:00,2026-05-22 15:29:00-04:00,2026-05-22 15:59:00-04:00,SHORT,2.6786670476,215.5600000000,217.0902622590,717.8100000000,719.6214673651,216.2413299574,215.5600000000,215.5168880000,215.2500000000,215.2930500000,92,19827.5536960000,5.2500000000,1.2500000000,483.0000000000,115.0000000000,0.2380952381,220.8100000000,214.3100000000,FORCED_EOD,30,28.5200000000,7.9269040000,0.6440000000,8.5709040000,19.9490960000
NVDA,QQQ,2026-05-26 11:10:00-04:00,2026-05-26 11:11:00-04:00,2026-05-26 15:59:00-04:00,LONG,-2.5918500838,213.6402000000,216.0092839157,728.6900000000,728.1418169995,216.1674062509,213.6500000000,213.6927300000,214.8400000000,214.7970320000,93,19873.4238900000,5.2500000000,1.2500000000,488.2500000000,116.2500000000,0.2380952381,208.4000000000,214.9000000000,FORCED_EOD,288,110.6700000000,7.9699140000,0.6510000000,8.6209140000,102.0490860000
NVDA,QQQ,2026-05-27 12:06:00-04:00,2026-05-27 12:07:00-04:00,2026-05-27 15:59:00-04:00,SHORT,2.9068826343,210.5450000000,210.6404270685,726.9500000000,728.4969608353,210.2660173295,210.5401000000,210.4979919800,212.5800000000,212.6225160000,95,19997.3092381000,5.2500000000,1.2500000000,498.7500000000,118.7500000000,0.2380952381,215.7901000000,209.2901000000,FORCED_EOD,232,-193.7905000000,8.0392819000,0.6650000000,8.7042819000,-202.4947819000
NVDA,QQQ,2026-05-28 12:43:00-04:00,2026-05-28 12:44:00-04:00,2026-05-28 15:59:00-04:00,SHORT,2.7395705009,213.5900000000,212.7642412832,735.6500000000,731.7253977700,214.1332884665,213.5900000000,213.5472820000,212.3400000000,212.3824680000,93,19859.8972260000,5.2500000000,1.2500000000,488.2500000000,116.2500000000,0.2380952381,218.8400000000,212.3400000000,TAKE_PROFIT_BRACKET,195,116.2500000000,7.9222980000,0.6510000000,8.5732980000,107.6767020000
NVDA,QQQ,2026-05-29 12:12:00-04:00,2026-05-29 12:13:00-04:00,2026-05-29 13:59:00-04:00,SHORT,2.8385670041,216.7500000000,215.5333841824,739.2700000000,738.4896803960,215.7323951373,216.7400000000,216.6966520000,215.4900000000,215.5330980000,92,19936.0919840000,5.2500000000,1.2500000000,483.0000000000,115.0000000000,0.2380952381,221.9900000000,215.4900000000,TAKE_PROFIT_BRACKET,106,115.0000000000,7.9530320000,0.6440000000,8.5970320000,106.4029680000
NVDA,QQQ,2026-05-29 14:00:00-04:00,2026-05-29 14:01:00-04:00,2026-05-29 14:27:00-04:00,LONG,-2.5597497966,215.3700000000,215.7534005299,736.0800000000,738.3927656301,215.1628783836,215.3700000000,215.4130740000,216.6200000000,216.5766760000,92,19818.0028080000,5.2500000000,1.2500000000,483.0000000000,115.0000000000,0.2380952381,210.1200000000,216.6200000000,TAKE_PROFIT_BRACKET,26,115.0000000000,7.9486160000,0.6440000000,8.5926160000,106.4073840000
NVDA,QQQ,2026-05-29 14:28:00-04:00,2026-05-29 14:29:00-04:00,2026-05-29 15:50:00-04:00,SHORT,2.7917038910,216.9450000000,215.7687792845,737.9300000000,738.2726597022,215.6812669639,216.9300000000,216.8866140000,215.6800000000,215.7231360000,92,19953.5684880000,5.2500000000,1.2500000000,483.0000000000,115.0000000000,0.2380952381,222.1800000000,215.6800000000,TAKE_PROFIT_BRACKET,81,115.0000000000,7.9600240000,0.6440000000,8.6040240000,106.3959760000
