kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,04d40588cbf3fef149915f585bd4c801aaced91be1ef61b3c6d8e77637b8d2c6,3,5.2500000000,1.2500000000,-1036.2047109200,-0.9393486186,SELECTED
anchored,2,0+1+2+3,0,84,fe554cf4a55f2d0539fa2906ad2b4528491501e36ce3429ef12f1672c8e93835,4,,,,,NO_STABLE_PARETO
anchored,3,0+1+2+3+4,0,105,ebdc95d67bde271cf14e6338ba912becb866f8f116b57abef28658c460f4ce3c,5,5.2500000000,1.2500000000,926.0925449400,1.1428849050,SELECTED
anchored,4,0+1+2+3+4+5,0,126,087aa8bdfad602154c94396f527bff332c5bdb33147d8507f2b379eb0295ccf1,6,4.7500000000,1.2500000000,1436.1588590200,2.5247725493,SELECTED
anchored,5,0+1+2+3+4+5+6,0,147,a6c758db03d4434e2d06e55c42fbb45fdcb5908c72a416e7df45b9a10de70e0c,7,5.0000000000,1.2500000000,937.9844896400,1.5018543565,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,7c555f598071178f363e321743f167072676e4627dfb8df77a9f5ad971b0745d,8,5.0000000000,1.2500000000,-30.6271157600,-0.0218075088,SELECTED
rolling,1,0+1+2,0,63,04d40588cbf3fef149915f585bd4c801aaced91be1ef61b3c6d8e77637b8d2c6,3,5.2500000000,1.2500000000,-1036.2047109200,-0.9393486186,SELECTED
rolling,2,1+2+3,21,84,b47b96d4ddfbbe2f96cf6b3e7956fe87a5776829927d07b8df463bacb3c6e836,4,,,,,NO_STABLE_PARETO
rolling,3,2+3+4,42,105,5a6d80f71f2a3901e6760fe911fdd7ece038771d8066ee7b50dd93dcf3d645b3,5,4.5000000000,0.5000000000,310.0914940800,0.4174655615,SELECTED
rolling,4,3+4+5,63,126,925da70bc1360c3c4ddc3fdbc4913449854ea1ea8817dd7f0b731cd07abaa2dc,6,3.7500000000,0.5000000000,467.2137601201,0.8926629868,SELECTED
rolling,5,4+5+6,84,147,356c5992480ebed8dfb118954ceea2db9e47d8d398cdcd554acf981c48c2602e,7,3.7500000000,1.5000000000,1169.7133418400,2.1820144841,SELECTED
rolling,6,5+6+7,105,168,27cc392c2e21600c8a299e5fa0582ce926706e181b362b0451d6d39498076d29,8,3.7500000000,1.5000000000,-528.8553767200,-0.3605274307,SELECTED
