symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
TSLA,QQQ,2025-08-22 10:02:00-04:00,2025-08-22 10:03:00-04:00,2025-08-22 15:59:00-04:00,SHORT,3.3385734057,333.5178000000,325.7282145031,570.3800000000,566.4827970359,330.0513676089,333.5000000000,333.4333000000,340.0100000000,340.0780020000,59,19672.5647000000,19.7500000000,7.0000000000,1165.2500000000,413.0000000000,0.3544303797,353.2500000000,326.5000000000,FORCED_EOD,356,-384.0900000000,7.9474180000,0.4130000000,8.3604180000,-392.4504180000
TSLA,QQQ,2025-08-25 11:00:00-04:00,2025-08-25 11:01:00-04:00,2025-08-25 13:16:00-04:00,LONG,-2.5073519520,340.6000000000,339.3569055962,572.3321000000,570.8326584234,342.0623455340,340.6050000000,340.6731210000,347.6050000000,347.5354790000,58,19759.0410180000,19.7500000000,7.0000000000,1145.5000000000,406.0000000000,0.3544303797,320.8550000000,347.6050000000,TAKE_PROFIT_BRACKET,135,406.0000000000,7.9832360000,0.4060000000,8.3892360000,397.6107640000
TSLA,QQQ,2025-08-25 14:17:00-04:00,2025-08-25 14:18:00-04:00,2025-08-25 15:59:00-04:00,LONG,-3.0291239571,346.5585000000,342.9850972643,572.2200000000,571.6414855030,344.0385770978,346.5350000000,346.6043070000,346.5800000000,346.5106840000,57,19756.4454990000,19.7500000000,7.0000000000,1125.7500000000,399.0000000000,0.3544303797,326.7850000000,353.5350000000,FORCED_EOD,101,2.5650000000,7.9015110000,0.3990000000,8.3005110000,-5.7355110000
TSLA,QQQ,2025-08-26 15:12:00-04:00,2025-08-26 15:13:00-04:00,2025-08-26 15:59:00-04:00,SHORT,2.5685523339,348.7700000000,346.5079040918,571.5800000000,570.9187475680,347.7123850343,348.7900000000,348.7202420000,351.6800000000,351.7503360000,57,19877.0537940000,19.7500000000,7.0000000000,1125.7500000000,399.0000000000,0.3544303797,368.5400000000,341.7900000000,FORCED_EOD,46,-164.7300000000,7.9853580000,0.3990000000,8.3843580000,-173.1143580000
TSLA,QQQ,2025-08-27 11:03:00-04:00,2025-08-27 11:04:00-04:00,2025-08-27 15:59:00-04:00,SHORT,2.5015664775,352.6400000000,352.1732347270,572.9300000000,572.0832292884,353.9105034898,352.6700000000,352.5994660000,349.4800000000,349.5498960000,56,19745.5700960000,19.7500000000,7.0000000000,1106.0000000000,392.0000000000,0.3544303797,372.4200000000,345.6700000000,FORCED_EOD,295,178.6400000000,7.8640800000,0.3920000000,8.2560800000,170.3839200000
TSLA,QQQ,2025-08-28 12:56:00-04:00,2025-08-28 12:57:00-04:00,2025-08-28 15:59:00-04:00,SHORT,2.5945109483,343.8850000000,345.9888110296,576.5801000000,575.1840515212,348.6954717103,343.8890000000,343.8202222000,345.9000000000,345.9691800000,58,19941.5728876000,19.7500000000,7.0000000000,1145.5000000000,406.0000000000,0.3544303797,363.6390000000,336.8890000000,FORCED_EOD,182,-116.6380000000,8.0015524000,0.4060000000,8.4075524000,-125.0455524000
TSLA,QQQ,2025-08-29 10:18:00-04:00,2025-08-29 10:19:00-04:00,2025-08-29 15:59:00-04:00,LONG,-2.9985568225,337.5600000000,343.2370165822,569.9800000000,571.9450741093,340.0076018128,337.5650000000,337.6325130000,334.0000000000,333.9332000000,59,19920.3182670000,19.7500000000,7.0000000000,1165.2500000000,413.0000000000,0.3544303797,317.8150000000,344.5650000000,FORCED_EOD,340,-210.3350000000,7.9244670000,0.4130000000,8.3374670000,-218.6724670000
TSLA,QQQ,2025-09-02 11:58:00-04:00,2025-09-02 11:59:00-04:00,2025-09-02 15:59:00-04:00,SHORT,2.6160653534,328.1200000000,330.1290952035,559.9599000000,562.7158214991,327.5101498138,328.0800000000,328.0143840000,329.3700000000,329.4358740000,60,19680.8630400000,19.7500000000,7.0000000000,1185.0000000000,420.0000000000,0.3544303797,347.8300000000,321.0800000000,FORCED_EOD,240,-77.4000000000,7.8894000000,0.4200000000,8.3094000000,-85.7094000000
TSLA,QQQ,2025-09-03 13:47:00-04:00,2025-09-03 13:48:00-04:00,2025-09-03 15:59:00-04:00,LONG,-3.2346479451,340.4100000000,337.8105853012,568.2800000000,569.4990552013,336.5813798710,340.4000000000,340.4680800000,334.0400000000,333.9731920000,58,19747.1486400000,19.7500000000,7.0000000000,1145.5000000000,406.0000000000,0.3544303797,320.6500000000,347.4000000000,FORCED_EOD,131,-368.8800000000,7.8235040000,0.4060000000,8.2295040000,-377.1095040000
TSLA,QQQ,2025-09-04 10:46:00-04:00,2025-09-04 10:47:00-04:00,2025-09-04 15:59:00-04:00,LONG,-2.6870710571,332.8286000000,334.1237450761,571.4100000000,570.6943877921,334.8316540772,332.8200000000,332.8865640000,338.5645000000,338.4967871000,60,19973.1938400000,19.7500000000,7.0000000000,1185.0000000000,420.0000000000,0.3544303797,313.0700000000,339.8200000000,FORCED_EOD,312,344.6700000000,8.0566140000,0.4200000000,8.4766140000,336.1933860000
