kind,fold,train_blocks,train_start_session,train_end_session_exclusive,exact_train_metrics_sha256,test_block,chosen_stop_usd,chosen_target_usd,test_net_pnl,test_pnl_over_dd,reason
anchored,1,0+1+2,0,63,5a6fa801895acdf6aefcca5b61a674085aa75fe5b4810faa66b8c97d2cb5aeaa,3,22.2500000000,7.2500000000,-180.6814297000,-0.1495130536,SELECTED
anchored,2,0+1+2+3,0,84,2d77f5ed21c8bb52d58558d34ebbe25c2b17a8f50122268aedc9437287762c9c,4,,,,,NO_STABLE_PARETO
anchored,3,0+1+2+3+4,0,105,9128f015ac25c948afa11b31533dfebe32ea290c1bdf509b3be142bec28f23fa,5,,,,,NO_STABLE_PARETO
anchored,4,0+1+2+3+4+5,0,126,638fc550b141fdf6c8b9f8edb4daf308de915a65e65fa2d2af0610c534bd72d3,6,,,,,NO_STABLE_PARETO
anchored,5,0+1+2+3+4+5+6,0,147,1426a4f2498ecdb1cd69867bf9953d7eb5b706302d1b207d3bb08930737d7e1d,7,22.0000000000,7.2500000000,1704.2855277200,1.4748541921,SELECTED
anchored,6,0+1+2+3+4+5+6+7,0,168,46115c12652772eaa9c2bd8a38f6f5595bfc5e87f1df45c516ebfbbaf542cff6,8,21.5000000000,7.2500000000,-1809.9847858200,-0.7105598583,SELECTED
rolling,1,0+1+2,0,63,5a6fa801895acdf6aefcca5b61a674085aa75fe5b4810faa66b8c97d2cb5aeaa,3,22.2500000000,7.2500000000,-180.6814297000,-0.1495130536,SELECTED
rolling,2,1+2+3,21,84,8f5f0036263e06e445ee18c596ad7332d1bb0515584f012c1c8bf54197365766,4,13.0000000000,24.5000000000,-1050.4799305200,-0.7376420943,SELECTED
rolling,3,2+3+4,42,105,e1ceeab438e08d2561f3e8d43228af99d3dc1a92dc09e3b0734ebb8972c62cc7,5,,,,,NO_STABLE_PARETO
rolling,4,3+4+5,63,126,327d1a106f56214fd74d2c18c166c87e866d31bda4bf642fd43ac9006197115f,6,8.0000000000,10.7500000000,727.3194284400,1.0802017995,SELECTED
rolling,5,4+5+6,84,147,e1031d8a69bb77044c21fac98e3a616511490b618cff57e77bdcfec6d0f3007c,7,11.5000000000,5.2500000000,1341.1428275200,1.1605978512,SELECTED
rolling,6,5+6+7,105,168,f2ffc334557ace0e7e49e4ef936996f2272f6152791ec8d5a86be1f56ad00659,8,10.7500000000,6.7500000000,-1813.5370615200,-0.7387189763,SELECTED
