period,stop_usd,max_holding_bars,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,net_sharpe,net_sortino,profit_factor,positive_net_pnl_mass_usd,trade_cvar5_loss_usd,worst_trade_loss_usd,win_rate_pct,max_drawdown_usd_mtm,max_drawdown_pct_mtm,return_over_mtm_dd,avg_net_trade,avg_duration_bars,stops,targets,time_stops,forced_eod,final_equity,base_winner_count,matched_base_winner_count,base_winner_net_usd,base_winner_gross_usd,retained_base_winner_net_usd,retained_base_winner_gross_usd,core_winner_net_retention_pct,core_winner_gross_retention_pct,clipped_base_winner_net_usd,clipped_base_winner_gross_usd,overlay_net_on_base_winners_usd,base_loser_count,matched_base_loser_count,base_loser_net_usd,overlay_net_on_base_losers_usd,avoided_base_loser_loss_usd,avoided_worst5_base_loser_loss_usd,net_pnl_delta_vs_base,net_pnl_pct_of_base,sharpe_delta_vs_base,profit_factor_delta_vs_base,mdd_reduction_usd_vs_base,mdd_reduction_pct_vs_base,trade_cvar5_reduction_usd_vs_base,trade_cvar5_reduction_pct_vs_base,worst_trade_reduction_usd_vs_base,worst_trade_reduction_pct_vs_base,positive_net_pnl_mass_delta_vs_base,return_over_dd_delta_vs_base,utility_delta_usd,development_net_non_degradation_gate,is_baseline
development,5.250000000000,,125,48390,210,210,1394,3850.475899999987,1831.689938979812,159.047000000000,1672.642938979812,2018.785961020174,2.018785961020,1.156294717453,1.541964187974,1.167244274404,14089.668316840107,499.268509850908,602.093605999999,61.904761904762,1725.556642279989,1.696855766102,1.169933174928,9.613266481048,131.519047619048,6,102,0,102,102018.785961020170,130,130,14089.668316840107,15223.666399999993,14089.668316840107,15223.666399999993,100.000000000000,100.000000000000,0.000000000000,0.000000000000,14089.668316840107,80,80,-12070.882355819933,-12070.882355819933,0.000000000000,0.000000000000,0.000000000000,100.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,True,True
development,4.500000000000,,125,48390,217,217,1387,3923.015899999987,1892.581418979807,164.332000000000,1728.249418979807,2030.434481020178,2.030434481020,1.118258342391,1.451428224616,1.163128667379,14477.262580840108,465.895179741817,517.326655999997,61.290322580645,1937.719740899949,1.918173612519,1.047847342504,9.356840926360,127.023041474654,9,105,0,103,102030.434481020173,130,128,14089.668316840107,15223.666399999993,13838.435398840105,14954.916399999993,98.216899700189,98.234656534513,251.232918000002,268.750000000000,13838.435398840105,80,79,-12070.882355819933,-11332.125642859934,738.756712959999,873.930872719999,11.648520000004,100.577006192084,-0.038036375062,-0.004115607025,-212.163098619960,-12.295342466395,33.373330109091,6.684445233499,84.766950000002,14.078699583467,387.594264000001,-0.122085832423,-48.111558401452,True,False
development,5.000000000000,,125,48390,210,210,1394,3794.900899999986,1831.532609259816,159.033000000000,1672.499609259816,1963.368290740168,1.963368290740,1.113298313087,1.473044823506,1.163578916429,13965.943766840104,492.030910330908,573.837955999997,61.428571428571,1820.542513279986,1.790049669586,1.078452316504,9.349372813048,131.747619047619,8,101,0,101,101963.368290740167,130,128,14089.668316840107,15223.666399999993,13840.894792840107,14957.416399999993,98.234355001085,98.251078334192,248.773524000000,266.250000000000,13840.894792840107,80,79,-12070.882355819933,-11457.696141099936,613.186214719997,656.887472719998,-55.417670280007,97.254901146033,-0.042996404366,-0.003665357975,-94.985870999997,-5.504651002038,7.237599520000,1.449640699783,28.255650000002,4.692899861156,-123.724550000003,-0.091480858424,-169.194899976007,False,False
development,5.500000000000,,125,48390,210,210,1394,3690.975899999987,1831.623640979812,159.040000000000,1672.583640979812,1859.352259020174,1.859352259020,1.049362232255,1.383237794082,1.152042848215,14088.485564840106,513.654959850908,630.349255999998,61.904761904762,1729.057941039981,1.706968396978,1.075355669054,8.854058376287,131.390476190476,6,102,0,102,101859.352259020176,130,129,14089.668316840107,15223.666399999993,13964.633680840107,15089.916399999993,99.112579280163,99.121433717176,125.034636000000,133.750000000000,13964.633680840107,80,80,-12070.882355819933,-12229.133305819934,-158.250950000001,-108.011000000001,-159.433702000001,92.102496001140,-0.106932485197,-0.015201426189,-3.501298759991,-0.202908364420,-14.386450000000,-2.881505585901,-28.255649999999,-4.692899861155,-1.182752000001,-0.094577505874,-284.468338000001,False,False
development,4.000000000000,,125,48390,221,221,1383,3528.344099999989,1927.496192619797,167.377000000000,1760.119192619797,1600.847907380191,1.600847907380,0.851295276091,1.078009366697,1.121764995641,14747.876730840111,439.717170166665,460.815355999996,61.538461538462,2204.534215159991,2.174062636082,0.726161515830,7.243655689503,122.638009049774,13,107,0,101,101600.847907380186,130,129,14089.668316840107,15223.666399999993,13965.929428840105,15091.166399999993,99.121775720922,99.129644617016,123.738888000002,132.500000000000,13965.929428840105,80,80,-12070.882355819933,-11803.054192459924,267.828163360009,658.338652000003,-417.938053639984,79.297554980579,-0.304999441362,-0.045479278763,-478.977572880001,-27.757858603072,59.551339684243,11.927717953216,141.278250000003,23.464499305778,658.208414000004,-0.443771659097,-380.233541397863,False,False
development,5.750000000000,,125,48390,208,208,1396,3587.597699999990,1814.189708939814,157.542000000000,1656.647708939814,1773.407991060175,1.773407991060,0.989837278774,1.294261818529,1.145942976481,13924.784054680107,506.586119650908,658.604905999999,61.538461538462,1781.047541039981,1.758784412032,0.995710642302,8.525999957020,132.980769230769,5,101,0,102,101773.407991060172,130,128,14089.668316840107,15223.666399999993,13924.784054680109,15041.327199999994,98.829750577145,98.802264873592,164.884262159998,182.339199999999,13924.784054680109,80,80,-12070.882355819933,-12151.376063619933,-80.493707800000,19.986192199999,-245.377969959999,87.845270638003,-0.166457438679,-0.021301297924,-55.490898759992,-3.215825977562,-7.317609800000,-1.465666200775,-56.511300000000,-9.385799722311,-164.884262160000,-0.174222532625,-406.264993679997,False,False
development,3.500000000000,,125,48390,223,223,1381,3397.416299999988,1944.907488179790,168.896000000000,1776.011488179789,1452.508811820198,1.452508811820,0.771552492702,0.975563124779,1.109020308332,14775.795399840110,393.448962733331,407.841155999999,61.434977578475,2128.071216359996,2.102795736602,0.682547088017,6.513492429687,121.017937219731,17,107,0,99,101452.508811820197,130,129,14089.668316840107,15223.666399999993,13965.929428840105,15091.166399999993,99.121775720922,99.129644617016,123.738888000002,132.500000000000,13965.929428840105,80,80,-12070.882355819933,-11667.861283659924,403.021072160009,928.371452000001,-566.277149199977,71.949619219969,-0.384742224750,-0.058223966073,-402.514574080007,-23.326650903106,105.819547117577,21.194917169756,194.252450000000,32.262832234761,686.127083000003,-0.487386086910,-451.431973241190,False,False
development,3.750000000000,,125,48390,221,221,1383,3389.952299999991,1927.530602979804,167.398000000000,1760.132602979804,1462.421697020185,1.462421697020,0.763789731965,0.955682800810,1.111111983131,14624.113674840111,413.733264333332,432.559705999998,61.085972850679,2260.381059159990,2.228739481140,0.646980158984,6.617292746698,122.995475113122,14,106,0,101,101462.421697020181,130,129,14089.668316840107,15223.666399999993,13965.929428840105,15091.166399999993,99.121775720922,99.129644617016,123.738888000002,132.500000000000,13965.929428840105,80,80,-12070.882355819933,-11548.966572459933,521.915783360000,793.355051999999,-556.364263999990,72.440651225906,-0.392504985487,-0.056132291273,-534.824416880001,-30.994312430876,85.535245517576,17.132113047370,169.533900000001,28.157399166933,534.445358000004,-0.522953015943,-478.664518841204,False,False
development,5.250000000000,330.000000000000,125,48390,214,214,1390,3426.374899999983,1866.430578379805,161.987000000000,1704.443578379805,1559.944321620176,1.559944321620,0.888924502210,1.176740799035,1.124716548922,14067.861956440105,499.023006214544,602.093605999999,60.747663551402,1914.881539280002,1.883031655824,0.814642728347,7.289459446823,128.630841121495,6,101,7,100,101559.944321620176,130,130,14089.668316840107,15223.666399999993,14067.861956440105,15201.864399999991,99.845231556133,99.856788769360,21.806360400002,21.802000000001,14067.861956440105,80,80,-12070.882355819933,-12249.170206819932,-178.287850999999,2.700540000002,-458.841639399998,77.271407258641,-0.267370215242,-0.042527725482,-189.324897000013,-10.971815839662,0.245503636364,0.049172665914,0.000000000000,0.000000000000,-21.806360400002,-0.355290446581,-479.985139981818,False,False
development,5.250000000000,300.000000000000,125,48390,218,218,1386,3528.809699999978,1901.303858619802,165.053000000000,1736.250858619801,1627.505841380176,1.627505841380,0.931675038412,1.237586305473,1.129007560231,14243.090838640106,494.064790578180,602.093605999999,60.550458715596,2110.243689979994,2.069396018756,0.771240709833,7.465623125597,125.188073394495,6,103,14,95,101627.505841380174,130,130,14089.668316840107,15223.666399999993,13983.076002640104,15117.095399999989,99.243471799314,99.299964954566,106.592314200003,106.571000000004,13983.076002640104,80,80,-12070.882355819933,-12263.520596759932,-192.638240939999,66.973392000000,-391.280119639998,80.618048312449,-0.224619679041,-0.038236714174,-384.687047700005,-22.293504500189,5.203719272728,1.042268673080,0.000000000000,0.000000000000,153.422521799999,-0.398692465095,-481.875895803637,False,False
