portfolio_symbol,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,signal_target_close,signal_target_vwap,signal_qqq_close,signal_qqq_vwap,signal_fair_target,entry_reference,entry_price,exit_reference,exit_price,shares,notional_usd,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,reward_to_risk,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl,portfolio_gross_pnl,portfolio_slippage,portfolio_commissions,portfolio_costs,portfolio_net_pnl
NVDA,NVDA,QQQ,2025-08-22 10:00:00-04:00,2025-08-22 10:01:00-04:00,2025-08-22 10:08:00-04:00,LONG,-3.8630347323,175.7150000000,173.4805398330,569.3700000000,565.6508213340,177.1508523346,175.7200000000,175.7551440000,176.9700000000,176.9346060000,113,19860.3312720000,5.2500000000,1.2500000000,593.2500000000,141.2500000000,0.2380952381,170.4700000000,176.9700000000,TAKE_PROFIT_BRACKET,7,141.2500000000,7.9707940000,0.7910000000,8.7617940000,132.4882060000,35.3125000000,1.9926985000,0.1977500000,2.1904485000,33.1220515000
NVDA,NVDA,QQQ,2025-08-22 12:56:00-04:00,2025-08-22 12:57:00-04:00,2025-08-22 15:59:00-04:00,SHORT,2.9933425246,176.9650000000,176.2867099032,570.7300000000,570.8724329871,176.1451811303,176.9700000000,176.9346060000,178.0200000000,178.0556040000,113,19993.6104780000,5.2500000000,1.2500000000,593.2500000000,141.2500000000,0.2380952381,182.2200000000,175.7200000000,FORCED_EOD,182,-118.6500000000,8.0227740000,0.7910000000,8.8137740000,-127.4637740000,-29.6625000000,2.0056935000,0.1977500000,2.2034435000,-31.8659435000
NVDA,NVDA,QQQ,2025-08-25 11:02:00-04:00,2025-08-25 11:03:00-04:00,2025-08-25 15:59:00-04:00,SHORT,2.6512405667,180.2950000000,178.4907445458,572.3535000000,570.8527353299,179.2377336748,180.2900000000,180.2539420000,179.0400000000,179.0758080000,110,19827.9336200000,5.2500000000,1.2500000000,577.5000000000,137.5000000000,0.2380952381,185.5400000000,179.0400000000,TAKE_PROFIT_BRACKET,296,137.5000000000,7.9052600000,0.7700000000,8.6752600000,128.8247400000,34.3750000000,1.9763150000,0.1925000000,2.1688150000,32.2061850000
NVDA,NVDA,QQQ,2025-08-26 13:35:00-04:00,2025-08-26 13:36:00-04:00,2025-08-26 15:59:00-04:00,SHORT,2.7338644824,181.5950000000,180.7505659863,571.1200000000,570.8223222661,180.8952837242,181.6000000000,181.5636800000,181.7000000000,181.7363400000,110,19972.0048000000,5.2500000000,1.2500000000,577.5000000000,137.5000000000,0.2380952381,186.8500000000,180.3500000000,FORCED_EOD,143,-11.0000000000,7.9926000000,0.7700000000,8.7626000000,-19.7626000000,-2.7500000000,1.9981500000,0.1925000000,2.1906500000,-4.9406500000
NVDA,NVDA,QQQ,2025-08-27 12:20:00-04:00,2025-08-27 12:21:00-04:00,2025-08-27 15:59:00-04:00,LONG,-2.6000943297,181.5900000000,181.0922860972,572.6100000000,572.3575849027,181.1589014161,181.5946000000,181.6309189200,181.6000000000,181.5636800000,110,19979.4010812000,5.2500000000,1.2500000000,577.5000000000,137.5000000000,0.2380952381,176.3446000000,182.8446000000,FORCED_EOD,218,0.5940000000,7.9902812000,0.7700000000,8.7602812000,-8.1662812000,0.1485000000,1.9975703000,0.1925000000,2.1900703000,-2.0415703000
NVDA,NVDA,QQQ,2025-08-28 11:54:00-04:00,2025-08-28 11:55:00-04:00,2025-08-28 12:53:00-04:00,LONG,-2.6146474324,178.6950000000,179.5831745208,575.2400000000,574.9347668339,179.6584996275,178.6900000000,178.7257380000,179.9400000000,179.9040120000,111,19838.5569180000,5.2500000000,1.2500000000,582.7500000000,138.7500000000,0.2380952381,173.4400000000,179.9400000000,TAKE_PROFIT_BRACKET,58,138.7500000000,7.9615860000,0.7770000000,8.7385860000,130.0114140000,34.6875000000,1.9903965000,0.1942500000,2.1846465000,32.5028535000
NVDA,NVDA,QQQ,2025-08-28 13:09:00-04:00,2025-08-28 13:10:00-04:00,2025-08-28 13:29:00-04:00,LONG,-2.5411680565,178.7150000000,179.5349854051,576.4100000000,575.2211120629,179.8281531287,178.7150000000,178.7507430000,179.9650000000,179.9290070000,111,19841.3324730000,5.2500000000,1.2500000000,582.7500000000,138.7500000000,0.2380952381,173.4650000000,179.9650000000,TAKE_PROFIT_BRACKET,19,138.7500000000,7.9626960000,0.7770000000,8.7396960000,130.0103040000,34.6875000000,1.9906740000,0.1942500000,2.1849240000,32.5025760000
NVDA,NVDA,QQQ,2025-08-28 14:24:00-04:00,2025-08-28 14:25:00-04:00,2025-08-28 15:59:00-04:00,SHORT,3.2565388979,180.6800000000,179.5814682517,577.2200000000,575.4426491033,180.0196896799,180.6817000000,180.6455636600,180.2000000000,180.2360400000,110,19871.0120026000,5.2500000000,1.2500000000,577.5000000000,137.5000000000,0.2380952381,185.9317000000,179.4317000000,FORCED_EOD,94,52.9870000000,7.9393974000,0.7700000000,8.7093974000,44.2776026000,13.2467500000,1.9848493500,0.1925000000,2.1773493500,11.0694006500
NVDA,NVDA,QQQ,2025-08-29 10:50:00-04:00,2025-08-29 10:51:00-04:00,2025-08-29 11:21:00-04:00,LONG,-2.6093495340,173.5999000000,175.0686612512,569.2700000000,571.4858511130,174.7438504305,173.5942000000,173.6289188400,174.8442000000,174.8092311600,115,19967.3256666000,5.2500000000,1.2500000000,603.7500000000,143.7500000000,0.2380952381,168.3442000000,174.8442000000,TAKE_PROFIT_BRACKET,30,143.7500000000,8.0140832000,0.8050000000,8.8190832000,134.9309168000,35.9375000000,2.0035208000,0.2012500000,2.2047708000,33.7327292000
NVDA,NVDA,QQQ,2025-08-29 13:05:00-04:00,2025-08-29 13:06:00-04:00,2025-08-29 15:59:00-04:00,LONG,-3.2425928835,173.6601000000,174.7565185928,569.2493000000,570.8863741420,174.5167241908,173.6600000000,173.6947320000,174.2800000000,174.2451440000,115,19974.8941800000,5.2500000000,1.2500000000,603.7500000000,143.7500000000,0.2380952381,168.4100000000,174.9100000000,FORCED_EOD,173,71.3000000000,8.0026200000,0.8050000000,8.8076200000,62.4923800000,17.8250000000,2.0006550000,0.2012500000,2.2019050000,15.6230950000
NVDA,NVDA,QQQ,2025-09-02 12:08:00-04:00,2025-09-02 12:09:00-04:00,2025-09-02 12:42:00-04:00,LONG,-2.5711063911,167.2600000000,169.5876989519,559.9900000000,562.6263565751,168.2502751874,167.2500000000,167.2834500000,168.5000000000,168.4663000000,119,19906.7305500000,5.2500000000,1.2500000000,624.7500000000,148.7500000000,0.2380952381,162.0000000000,168.5000000000,TAKE_PROFIT_BRACKET,33,148.7500000000,7.9908500000,0.8330000000,8.8238500000,139.9261500000,37.1875000000,1.9977125000,0.2082500000,2.2059625000,34.9815375000
NVDA,NVDA,QQQ,2025-09-02 15:31:00-04:00,2025-09-02 15:32:00-04:00,2025-09-02 15:59:00-04:00,SHORT,2.6818945216,170.5850000000,169.3928758935,564.7100000000,562.7049708649,170.4087167816,170.5801000000,170.5459839800,170.7500000000,170.7841500000,117,19953.8801256600,5.2500000000,1.2500000000,614.2500000000,146.2500000000,0.2380952381,175.8301000000,169.3301000000,FORCED_EOD,27,-19.8783000000,7.9871243400,0.8190000000,8.8061243400,-28.6844243400,-4.9695750000,1.9967810850,0.2047500000,2.2015310850,-7.1711060850
NVDA,NVDA,QQQ,2025-09-03 11:03:00-04:00,2025-09-03 11:04:00-04:00,2025-09-03 15:59:00-04:00,LONG,-2.5312683527,171.5881000000,171.1109569771,571.3200000000,569.5748970395,172.0859498621,171.5850000000,171.6193170000,170.6200000000,170.5858760000,116,19907.8407720000,5.2500000000,1.2500000000,609.0000000000,145.0000000000,0.2380952381,166.3350000000,172.8350000000,FORCED_EOD,295,-111.9400000000,7.9391560000,0.8120000000,8.7511560000,-120.6911560000,-27.9850000000,1.9847890000,0.2030000000,2.1877890000,-30.1727890000
